article,ProblemeLocalisation ?
DT02-00324,commune de Lempire.,commune de l'Empire.
DT02-00506,commune de Saint-Christophe-à-Berry.,commune de S        t-Christophe-à-Berry.
DT02-01938,"Chezy-l'Abbaye, et afflue à la Marne, après avoir alimenté dix moulins à blé dans un parcours de 11,280 mètres.","Chézy-l'Abbaye, et afflue à la Marne, après avoir alimenté dix moulins à blé dans un parcours de 11,280 mètres."
DT02-02046,"Catelet, alimente le canal de ","Câtelet, alimente le canal de "
DT02-02137,Chivy-lez-Etouvelles.,Chivy-lez-Étouvelles.
DT02-02280,Vezaponin.,Vézaponin.
DT02-02300,Bethancourt-en-Vaux.,Béthancourt-en-Vaux.
DT02-02521,"Armentieres, où il alimente un moulin à blé et un moulin à battre, et se jette dans l’Ourcq, après un parcours de 7,420 mètres.","Armentières, où il alimente un moulin à blé et un moulin à battre, et se jette dans l'Ourcq, après un parcours de 7,420 mètres."
DT02-02525,Rozieres.,Rozières.
DT02-02776,Chery-Chartreuve.,Chéry-Chartreuve.
DT02-02971,"Montloue, ","Montloué, "
DT02-03326,commune d’Erlon.,commune d'Erloy.
DT02-03412,Bievres dans le ruisseau du Bassinot.,Bièvres dans le ruisseau du Bassinot.
DT02-03455,Bethancourt-en-Vaux et se jette dans le ruisseau de Marest-Dampcourt.,Béthancourt-en-Vaux et se jette dans le ruisseau de Marest-Dampcourt.
DT02-03925,Etreaupont.,Étréaupont.
DT02-04384,"Epieds, passe à ","Épieds, passe à "
DT02-04384,"Brecy, à ","Brécy, à "
DT02-04473,communes d’Artonges et de Connigis.,communes d'Astonges et de Connigis.
DT02-04509,"Nouvion-Catillon après un cours de 3,350 mètres.","Nouvion-Câtillon après un cours de 3,350 mètres."
DT02-04671,communes de Montreuil-aux-Lions et de Sainte-Aulde (Seine-et-Marne).,communes de Montreuil-aux-Lions et de Saint-Aulde (Seine-et-Marne).
DT02-04988,"communes de Sorbais, Lerzy, Erlon, Englancourt, Buironfosse.","communes de Sorbais, Lerzy, Erloy, Englancourt, Buironfosse."
DT02-05064,"Blerancourt, ","Blérancourt, "
DT02-05356,Vivieres et traverse le ,Vivières et traverse le 
DT02-05428,Vezaponin.,Vézaponin.
DT02-05591,Etreux.,Étreux.
DT02-05595,Saint-Martin-Riviere pour entrer ensuite dans le ,Saint-Martin-Rivière pour entrer ensuite dans le 
DT02-05657,"Villers-en-Prayeres ; il n’alimente qu’un seul moulin à blé dans un parcours de 7,430 mètres.","Villers-en-Prayères ; il n'alimente qu'un seul moulin à blé dans un parcours de 7,430 mètres."
DT02-05732,Herie.,Hérie.
DT02-05739,Chivy-lez-Etouvelles.,Chivy-lez-Étouvelles.
DT02-05914,Blerancourt et s’y jette dans celui des Feuillants.,Blérancourt et s'y jette dans celui des Feuillants.
DT02-06041,"Mont-Saint-Pere, après un cours de 2 kilomètres.","Mont-Saint-Père, après un cours de 2 kilomètres."
DT02-06190,Crepy et ,Crépy et 
