Article,Vedette,Type vedette,Candidat,INSEE,Définition,Commentaire
DT02-00018,"Achery,",vassal,abbaye d’Origny-Sainte-Benoîte,non,"petit fief, commune de Neuvillette ; vassal de l’abbaye d’Origny-Sainte-Benoîte.",
DT02-00351,"Baucaisne,",vassal,abbaye d’Origny-Sainte-Benoîte,non,"petit fief, commune d’Origny-Sainte-Benoîte ; vassal de l’abbaye d’Origny-Sainte-Benoîte.",
DT02-02142,"Faux-Beauregard (La),",fief,abbaye de Nogent,non,fief relevant autrefois de l’abbaye de Nogent.,
DT02-06207,"Villette (La),",quartier,abbaye de Saint-Vincent,non,"quartier de la ville de Laon avoisinant l’abbaye de Saint-Vincent et détruit, en 1359, par les Anglais.",
DT02-02314,"Fontaine-du-Léger (La),",petit ruisseau,Agnicourt,02004,"petit ruisseau, affluent de la Serre à Agnicourt, où il alimente le moulin du Léger.",
DT02-05623,"Serre (La),",rivière,Anguilcourt-le-Sart,02017,"rivière qui prend sa source à la Férée (Ardennes), traverse les territoires de Sainte-Geneviève et de Rouvroy, sépare ce dernier de celui de Rozoy-sur-Serre, qu’elle traverse, passe à Chery-lez-Rozoy et à Montcornet, limite les territoires de Chaourse et d’Agnicourt-et-Séchelles, passe ensuite à Saint-Pierremont, Erlon, Dercy, Mortiers, Crecy-sur-Serre, Assis-sur-Serre, Pont-a-Bucy, Anguilcourt-le-Sart, et se jette dans l’Oise, à Danizy, après un cours de 104,930 mètres pendant lequel elle alimente vingt moulins à blé, une taillanderie, un moulin à huile et trois filatures.",
DT02-06084,"Vermandois,",petite province,Artois,non,"petite province bornée au nord par le Cambrésis et l’Artois, à l’ouest par le Santerre, au sud par le Noyonnais et la Thiérache, et à l’est par cette dernière province, qui en avait été en partie, au moyen âge, une dépendance.",
DT02-05650,"Somme,",rivière,au-dessous de Fonsomme,02319,"rivière qui prend sa source au-dessous de Fonsomme, vers Essigny-le-Petit, traverse le territoire de cette commune et ceux de Lesdins, Morcourt, Saint-Quentin, Castres, Fontaine-les-Clercs, Seraucourt-le-Grand, Happencourt, Artemps, Tugny-et-Pont, Dury et Pithon.",
DT02-01925,"Dhuis (La),",rivière,au-dessus de Montigny-lez-Condé,02515,"rivière qui prend sa source à Artonges, traverse Pargny et Conde, fait encore tourner six moulins dans un parcours de 8 kilomètres, et se jette dans le ru de Verdon au-dessus de Montigny-lez-Condé.",
DT02-00036,"Aisne,",rivière,au-dessus de Neufchâtel,02541,"rivière qui prend sa source à Vaubecourt (Meuse), devient navigable au-dessus de Neufchâtel et afflue à l’Oise près de Compiègne.",
DT02-00177,"Aubilly,",vassal,baronnie de Connigis,non,"fief, commune de Connigis ; vassal de la baronnie de Connigis.",
DT02-00334,"Bastards (Les),",vassal,baronnie de la Ferté-sur-Péron,non,"fief, commune de la Ferté-Chevresis ; vassal de la baronnie de la Ferté-sur-Péron.",
DT02-01543,"Cohayon,",vassal,baronnie de la Ferté-sur-Péron,non,"petit fief, commune de Mesbrecourt-Richecourt ; vassal de la baronnie de la Ferté-sur-Péron (baill. de Ribemont).",
DT02-01000,"Cambronne,",vassal,baronnie de Rognac,non,"fief, commune de Coulonges ; vassal de la baronnie de Rognac.",
DT02-02755,"Grèves (Ru des),",ruisseau,Basse-Forêt de Coucy,non,"ruisseau qui prend sa source dans la Basse-Forêt de Coucy, au territoire d’Amigny-Rouy, traverse les territoires de Sinceny, de Pierremande et de Bichancourt, et n’alimente aucune usine dans un parcours de 7,100 mètres.",
DT02-04377,"Omignon,",rivière,Béhicourt,non,"rivière qui prend sa source à Pontru, forme l’étang de Vadencourt, alimente les usines de Béhicourt, Vermand, Villevêque et Caulaincourt, et se jette dans la Somme à Saint-Christ (Somme).",
DT02-00149,"Artoise (L’),",rivière,Belgique,non,"rivière prenant sa source dans le bois de Chimay et limitant, sous le nom de Ruisseau des Warnelles, la France et la Belgique.",
DT02-05064,"Rivière (La),",archidiaconé,Béthizy,non,"archidiaconé du diocèse de Soissons comprenant les doyennés ruraux de Béthizy, Blerancourt, Coyolles et Vic-sur-Aisne.",
DT02-02570,"Gland (Le),",petite rivière,bois de Beaulieu,non,"petite rivière qui prend sa source à la Chapelle-des-Glands, dans le bois de Beaulieu (Ardennes), traverse dans le département de l’Aisne le territoire d’Any-Martin-Rieux, où il prend le nom de rivière des Champs, limite les territoires de Wattigny, Leuze et Martigny, et traverse ceux de Saint-Michel et d’Hirson avant de se jeter dans la rivière d’Oise à Hirson.",
DT02-00149,"Artoise (L’),",rivière,bois de Chimay,non,"rivière prenant sa source dans le bois de Chimay et limitant, sous le nom de Ruisseau des Warnelles, la France et la Belgique.",
DT02-00437,"Beine,",forêt,"bois de Frières-Faillouel, de Liez, de Genlis",02336/02431/,"nom d’une forêt dont les bois de Frières-Faillouel, de Liez, de Genlis, et le bois Venet sont des restes.",
DT02-01342,"Château-Julien (Le),",lieu-dit,bois de Monceau-lez-Leups,02492,"lieu-dit, couvert de ruines dans le bois de Monceau-lez-Leups, du côté de Versigny.",
DT02-01617,"Corbiaulchaine,",petit ruisseau,bois des Ronces,non,"petit ruisseau 
      (
        xiv
        e siècle, cart. de la seign. de Guise, f° 78) qui prend sa source au bas du bois des Ronces, sur le territoire d’Origny, où il fait tourner le moulin du Routy avant de se jeter dans le Ton.",
DT02-02521,"Garnier (Ru),",ruisseau,bois du Châtelet,non,"ruisseau qui prend sa source dans le bois du Châtelet, passe à Rocourt, puis à Armentieres, où il alimente un moulin à blé et un moulin à battre, et se jette dans l’Ourcq, après un parcours de 7,420 mètres.",
DT02-00127,"Ardon (L’),",ruisseau,bois du Sauvoir,non,"ruisseau qui prend sa source dans le bois du Sauvoir, à l’est de Laon, traverse les territoires de Laon, de Chivy, d’Étouvelles, de Laval, de Vaucelles-et-Beffecourt, d’Urcel et de Royaucourt-et-Chailvet et afflue dans la rivière d’Ailette à Royaucourt-et-Chailvet, après un parcours de 13,950 mètres.",
DT02-00437,"Beine,",forêt,bois Venet,non,"nom d’une forêt dont les bois de Frières-Faillouel, de Liez, de Genlis, et le bois Venet sont des restes.",
DT02-01401,"Chemin des Rois,",chemin,Bordet,non,"chemin entre Penancourt et Bordet, qui séparait le comté d’Anizy du duché de Laonnois.",
DT02-02588,"Gobert (Ru),",ruisseau,Bouresche,2105,"ruisseau qui prend sa source à l’extrémité du territoire de Marigny-en-Orxois, passe à Bouresche, Belleau, Torcy, et se jette dans le Clignon à l’extrémité du territoire de Torcy.",
DT02-06058,"Veaux-de-Place,",ruisseau,Caillouël,2139,ruisseau qui prend sa source à Caillouël et traverse le territoire de Marest-Dampcourt.,
DT02-05742,"Thiérache,",petite province ou contrée limitée,Cambrésis,non,"petite province ou contrée limitée au nord par le Cambrésis et le Hainaut, à l’est par la Champagne, au sud par le Laonnois et à l’ouest par le Vermandois.",
