Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire	
DT10-00005	Abondance (L'),	Brévonnes	10061			
DT10-00014	Ajou,	Brienne-Napoléon	10064			
DT10-00015	Ajou,	Brienne-Napoléon	10064			
DT10-00018	Aletin,	Armentières	non			
DT10-00019	Allemagne (L'),	Saint-Thibaut	10363			
DT10-00032	Anné (L'),	Virey-sur-Bar	10437			
DT10-00044	Arduçon,	Bernières	non			
DT10-00055	Armance (L'),	Loge-Pontblain	10201	La Loge-Pomblin		
DT10-00057	Armançon (L'),	Joigny	89206			
DT10-00061	Arpillerie (Étang de l'),	Chauffour	10092			
DT10-00079	Aujon (L'),	Perrogney	52384			
DT10-00090	Auxon,	Ervy	10140			
DT10-00109	Bac,	Dommartin	10127			
DT10-00116	Bailly,	Chauffour	10092			
DT10-00117	Bailly (Bois de),	Chauffour	10092			
DT10-00156	Barrisel,	Pargnes	10278	Pargues		
DT10-00161	Bas-de-la-Côte (Le),	Vendeuvre	10401			
DT10-00195	Beaulieu,	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00196	Beaulieu,	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00197	Beaulieu,	Berville	non			
DT10-00197	Beaulieu,	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00198	Beaulieu (Bois de),	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00225	Bécassière (La),	Villy-en-Trodes	10433			
DT10-00226	Bécassière (La),	Villy-en-Trodes	10433			
DT10-00228	Bécherel (Moulin de),	Sommefontaine-Saint-Lupien	10348			
DT10-00233	Bel-Air,	Jully	10181			
DT10-00246	Belle-Étoile (La),	Vallant-Saint-Georges	10392		Commune de Vallant-Saint-Georges non reconnue dans le DT	
DT10-00247	Bellefayte (La),	Maraye	10222			
DT10-00249	Belle-Idée (La),	Pars-lez-Chavanges	10279			
DT10-00262	Belle-Vue,	Villiers-sous-Praslain	10432			
DT10-00277	Bergerie-des-Pièces-aux-Dames (La),	Bordes-d'Isle-Aumont	10049			
DT10-00291	Bertoche (La),	Ville-aux-Bois-lez-Soulaines	10411			
DT10-00294	Berville, Bervilla,	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00295	Berville,	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00296	Berville (Forêt de),	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00309	Bidan (Bois de),	Chauffour	10092			
DT10-00349	Bois-du-Roi,	Rumilly	10331			
DT10-00367	Borde (Étang de la),	Petit-Mesnil	10286		Commune de Petit-Mesnil non reconnue dans le DT	
DT10-00371	Borde (La),	Fresnois	10162			
DT10-00409	Boulais (Le),	Jessains	10178			
DT10-00423	Bourgetais,	Vendeuvre	10401			
DT10-00433	Bout-d'en-Haut (Le),	Davrey	10122		Commune de Davrey non reconnue dans le DT	
DT10-00447	Branles (Les),	Fresnois	10162			
DT10-00454	Bray (Le),	Loge-Pont-Belin	10201	La Loge-Pomblin		
DT10-00470	Breviande,	Fresnois	10162			
DT10-00475	Brevonne (La),	Notre-Dame-du-Chêne	non			
DT10-00487	Briquerne,	Vendeuvre	10401			
DT10-00501	Brouillieux (Le),	Magnifouchard	10215	Magny-Fouchard		
DT10-00508	Bruyères (Les),	Bagneux-la-Fosse	10025			
DT10-00513	Bucey (Bois de),	Bucey	10066			
DT10-00574	Cernay (Fontaine du Petit-),	Dosches				
DT10-00575	Cernay (Le Grand-),	Dosches	10129	Doches		
DT10-00576	Cernay (Le Petit-),	Dosches	10129	Doches		
DT10-00586	Chaillots (Les),	Ervy	10140			
DT10-00595	Chalmetz-sur-Vougrey,	Vougré	10443			
DT10-00598	Chamblain,	Ervy	10140			
DT10-00600	Chamoy,	Ervy	10140			
DT10-00625	Champ-Lalot (Le),	Fresnois	10162			
DT10-00627	Champ-Michaud,	Saint-Thibaut	10363			
DT10-00686	Charmesseaux,	Trancault	10383			
DT10-00707	Chassois,	Herbisse	10172			
DT10-00709	Château (Le),	Arrentières	10011			
DT10-00719	Château-Chinon (Le),	Ervy	10140			
DT10-00736	Chauffour (Bois du),	Cérilly	89065			
DT10-00750	Chemin (Le Haut-),	Brienne	10064			
DT10-00751	Chemin d'Auxerre,	Chevillelle	10340			
DT10-00755	de Semivaux,	Colombey-la-Fosse	10102	Colombé-la-Fosse		
DT10-00761	Chemin de Lorris,	Davrey	10122		Commune de Davrey non reconnue dans le DT	
DT10-00763	Chemin de Pont-sur-Seine :	Saint-Martin	10351			
DT10-00783	Chemin des Romains,	Trannes	10384		Commune de Trannes non reconnue dans le DT	
DT10-00815	Chêne-Merlin (Le),	Ervy	10140			
DT10-00825	Chessy,	Ervy	10140			
DT10-00861	Cimetière antique,	Vallant-Saint-Georges	10392		Commune de Vallant-Saint-Georges non reconnue dans le DT	
DT10-00864	Cimetière gallo-romain,	Bordes-d'Isle-Aumont	10049			
DT10-00869	Cimetière gallo-romain,	Vendeuvre	10401			
DT10-00913	Commanderie de Saint-Flavit (La),	Belleville	10308			
DT10-00943	Cornées (Les),	Ville-au-Bois-lez-Vendeuvre	10005			
DT10-00947	Cornet,	Saulcy	10366		Commune de Saulcy non reconnue dans le DT	
DT10-00979	Cour (La Basse-),	Trancault	10383			
DT10-00981	Cour-Bureau (La),	Fresnois	10162			
DT10-00993	Cour-de-Châtillon,	Vendeuvre	10401			
DT10-01000	Courgain (Bois de),	Montier-en-l'Isle	10250	Montier-en-l’Île		
