Vedette Longue (>30chars)
out:DT11-00826	Bauzeille-Basse, Bauzeille-Haute,
out:DT11-02608	Castagnet-Bas (Le), Castagnet-Haut (Le),
out:DT11-02775	Cauno-del-Planol-de-Trappo-Counils (La),
out:DT11-03056	Chercorb, Kercorb, Quercorb, Quiercorb,
out:DT11-03057	Chercorbès, Chercorbez, Kercorbès, Quercorbès ou 
out:DT11-03078	Cimetière-de-Saint-Vincent (Le),
out:DT11-03304	Combelles-Basses, Combelles-Hautes,
out:DT11-03530	Coumbo-Sourdo-Basse, Coumbo-Sourdo-Haute,
out:DT11-04148	Enserres-Basses, Enserres-Hautes,
out:DT11-04294	Estagnol (L’), Estagnolet (L’), Estagnols (Les), Estaignol (L’), Estaignols (Les).
out:DT11-04343	Étang-Salin (Canal de l’) ou de 
out:DT11-07941	Métairie-des-Trois-Fontaines (La),
out:DT11-08749	Moulin-de-la-Porte-Sainte-Croix (Le),
out:DT11-13296	Sarrat-de-la-Couillade de Tuilla (Le),
out:DT11-14233	Tuilerie-de-la-Croix-Bourbon (La),
out:DT11-14742	Villepascal-Bas, Villepascal-Haut,

