Article,Vedette,Type vedette,Candidat,INSEE,Définition,
DT11-12278,"Sainte-Marie,",ancienne chapelle rurale,Alauzes,non,"
ancienne chapelle rurale, au nord des Alauzes, commune d’Arzens.",
DT11-10953,"Carrefour de Bezons,",croisement des routes,Alby,non,"
croisement des routes de Conques, du Minervois, d’Alby et de Carcassonne, commune de Villemoustaussou.",
DT11-02627,"Castel (Le),",ruines,ancien château féodal du Bézu,11350,"
ruines de l’ancien château féodal du Bézu, 1594 
(arch. Aude, C, rech. dioc. Alet, f. 175), qu’il faut distinguer du hameau moderne de ce nom.",
DT11-13096,"Saint-Stapin,",ancienne chapelle,ancien cimetière de ,non,"
ancienne chapelle de l’ancien cimetière de 421Saint-Vincent, près l’église de ce nom, commune de Carcassonne, Ville-Basse.",
DT11-12162,"Sainte-Catherine,",ancienne chapelle,ancien collège de Narbonne,11262,"
ancienne chapelle dans l’ancien collège de Narbonne.",
DT11-10853,"« Primuliacus »,",localité,ancien diocèse de Narbonne,non,"
localité de l’ancien diocèse de Narbonne, dont la position est inconnue, et où Sulpice Sévère se retira, d’après saint Paulin (Epist. 31, 32), pour y embrasser la vie monastique ; ce fut un des premiers monastères de la Narbonnaise.",
DT11-03044,"Chemin-de-la-Montagne,",route,ancien diocèse de Saint-Papoul,non,"
route qui donnait accès de la plaine du Lauraguais à la montagne dans l’ancien diocèse de Saint-Papoul.",
DT11-04595,"Favarelle (La),",ferme,ancien domaine de Preisse,non,"
ferme, partie de l’ancien domaine de Preisse, commune d’Ouveillan.",
DT11-03711,"Crébasse,",rigole de dessèchement,ancien étang de Marseillette,non,"
rigole de dessèchement de l’ancien étang de Marseillette, commune de Blomac.",
DT11-04646,"Ferran,",ferme,ancien étang de Marseillette,non,"
ferme, commune d’Aiguesvives, formée sur une partie de l’ancien étang de Marseillette.",
DT11-01665,"Bousquet (Le),",lieu dit,ancien faubourg de Narbonne,11262,"
lieu dit, ancien faubourg de Narbonne, quartier de Cité.",
DT11-02956,"Célade (La),",quartier,ancien faubourg Saint-Vincent,non,"
quartier de l’ancien faubourg Saint-Vincent, à la Cité de Carcassonne.",
