Vedette Longue (>30chars)
out:DT14-01254	Bois-de-la-Motte-et-de-Turnel (Le),
out:DT14-01697	Bout-de-Dessous-les-Frênes (Le),
out:DT14-02089	Bruyères-des-Longs-Champs (Les),
out:DT14-02286	Buttes de Saint-Martin-Don (Les),
out:DT14-02595	Carrefour-des-Champs-Saint-Martin (Le),
out:DT14-02598	Carrefour-des-Vignes-aux-Gendres (Le),
out:DT14-03076	Chemin-de-Grande-Communication (Le),
out:DT14-03906	Cour-de-la-Croix-de-Pierre (La),
out:DT14-03922	Cour-de-l’Ancien-Presbytère (La),
out:DT14-03958	Cour-de-l’Office-de-la-Prévôté (La),
out:DT14-03981	Cour-des-Champs-de-la-Croix (La),
out:DT14-04779	Demoiselles-de-Fontenailles (Les),
out:DT14-05317	Ferme-des-Dames-Bénédictines (La),
out:DT14-06060	Friches-de-la-Belle-Place (Les),
out:DT14-07645	Hubinière (La Haute, la Basse et 
out:DT14-08042	Landes-la-Bruyère (Les Petites-),
out:DT14-08397	Lieu-de-la-Belle-Étoilerie (Le),
out:DT14-09289	Maison-des-Petits-Carreaux (La),
out:DT14-11568	Petite-Cour-Saint-Hippolyte (La),
out:DT14-11912	Pointe du Château d’Englesqueville (La),
out:DT14-12398	Quartier-de-la-Croix-Hauvel (Le),
out:DT14-13208	Rue-de-la-Fontaine-Saint-Martin (La),
out:DT14-13361	Saint-Aubin-de-Fontenay-le-Pesnel.
out:DT14-13406	Saint-Denis-de-Mailloc, anciennement 
out:DT14-13431	Saint-Germain-de-la-Blanche-Herbe,
out:DT14-13433	Saint-Germain-de-Livet, anciennement 
out:DT14-13448	Saint-Hippolyte (La Petite-Cour de),
out:DT14-13548	Saint-Martin-de-Fontenay-le-Pesnel.
out:DT14-13555	Saint-Martin-des-Besaces,, aussi appelé les 
out:DT14-13576	Saint-Ouen-du-Château-de-Bayeux.
out:DT14-14072	Tilly-sur-Seulle,, anciennement

