Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT14-13553,"Saint-Martin-de-Mieux,",commune,2,non,"
commune formée en 1858 de 
Saint-Vigor-de-Mieux
 et de Saint-Martin-du-But, 2e canton de Falaise."
DT14-09801,"Martinville,",fief,"
",non,"
fief d’
Auvillers
, 1620 (fiefs de la vicomté d’Auge)."
DT14-13355,"Sainte-Anne-d’Entremonts,",commune,"
Ailly
",14064,"
commune réunie à 
Ailly
 en 1831."
DT14-13702,"Saussay,",fief,"
Argouges-sur-Mosles
",14551,"membre de fief assis à 
Argouges-sur-Mosles
, relevant de la baronnie de Neuville."
DT14-11337,"Patry,",fief,"
Arry
",14373,"
fief assis à 
Arry
, relevant de la baronnie de Douvre, 1475 (temp. de l’év. de Bayeux)."
DT14-03289,"Clos-des-Malades (Le),",,"
Beaulieu
",14052,"à 
Beaulieu
, 1474 (limites des paroisses de Caen)."
DT14-00059,"Ailly,",commune,"
Bernières
",14064,"
commune réunie en 1858 à 
Bernières
, qui prend le nom de Bernières-d’Ailly."
DT14-15068,"Viesson,",ruisseau,"
Berrolles
",non,"
ruisseau à 
Berrolles
, commune de Longraye."
DT14-04902,"Douet-d’Esquemedouit (Le),",fief,"
Blangy
",14077,"
fief de 
Blangy
, cité dans le pouillé de Lisieux, p. 36."
DT14-01456,"Bosquet (Le),",fief,"
Bonneville
",non,"
fief sis à 
Bonneville
, 1620 (fiefs de la vicomté de Caen)."
DT14-13577,"Saint-Ouen-de-Villers,",paroisse,"
Bourg-l’Abbé
",non,"
paroisse du 
Bourg-l’Abbé
 à Caen."
DT14-12510,"Quilly,",commune,"
Bretteville-sur-Laize
",14100,"
commune réunie en 1856 à 
Bretteville-sur-Laize
."
DT14-01630,"Bourg-l’Abbé (Le),",faubourg,"
Caen
",14118,"
faubourg de 
Caen
."
DT14-01632,"Bourg-l’Abbesse,",,"
Caen
",14118,"à 
Caen
."
DT14-02392,"Calvados,",département,"
Caen
",non,"nom du département dont 
Caen
 est le chef-lieu."
DT14-02465,"Canal Robert,",dérivation,"
Caen
",14118,"
dérivation de l’Orne à 
Caen
."
DT14-04436,"Crapaudière (La),",moulins,"
Caen
",14118,"
moulins à 
Caen
, démolis en 1430, pour fortifier la ville."
DT14-04740,"Darnestal,",moulin,"
Caen
",14118,"
moulin à 
Caen
, sur l’Odon, au pont Saint-Pierre."
DT14-06207,"Gémare,",moulin,"
Caen
",14118,"
moulin à 
Caen
."
DT14-06808,"Guyère (La),",territoire,"
Caen
",14118,"
territoire de 
Caen
, près de l’Hôtel-Dieu, 1474 (papier terrier de Saint-Étienne de Caen)."
DT14-10694,"Moulin-de-la-Crapaudière,",,"
Caen
",14118,"à 
Caen
, démoli en 1430 pour fortifier la ville."
DT14-10997,"Noë (La),",cours d’eau,"
Caen
",14118,"
cours d’eau à 
Caen
."
DT14-11414,"Pémagnie,",rue,"
Caen
",14118,"nom d’une rue de 
Caen
."
DT14-11779,"Place du Vieux-Marché,",quartier,"
Caen
",14118,"
quartier à 
Caen
, aujourd’hui place Saint-Sauveur."
DT14-13415,"Saint-Étienne-de-Vieux,",église,"
Caen
",14118,"
église de 
Caen
."
DT14-13630,"Abbaye-aux-Dames,",abbaye,"
Caen
",14118,"
abbaye de 
Caen
, monasterium Sanctissimœ Trinitatis Cadomensis, fondée en 1066 par Guillaume le Conquérant et sa femme Mathilde."
DT14-14627,"Vallée-de-la-Croix (La),",,"
Caen
",14118,"à 
Caen
, mentionnée dans une charte de l’abb. d’Ardennes, n° 24."
DT14-14809,"Vaucelles,",faubourg,"
Caen
",14118,"
faubourg de 
Caen
."
DT14-00804,"Belles-Portes (Les),",,"
Calix
",non,"à 
Calix
, commune d’Hérouville."
DT14-01189,"Bocage (Le),",territoire,"
Calvados
",non,"
territoire dont une partie est comprise dans le 
Calvados
 et qui devait son nom aux immenses forêts dont il était couvert."
DT14-07729,"Îles de Bernières (Les),",partie du rocher,"
Calvados
",non,"nom donné à une partie du rocher du 
Calvados
 devant Bernières."
DT14-12861,"Rocher-Germain (Le),",plateau,"
Calvados
",non,"nom donné au plateau du 
Calvados
, devant le chenal de la Seulle."
DT14-12869,"Rochers du Calvados (Les),",rocher,"
Calvados
",non,"nom particulier que prend le rocher du 
Calvados
, vers Arromanches."
DT14-12876,"Roches de Lion (Les),",plateau,"
Calvados
",non,"nom particulier que prend le plateau du 
Calvados
 devant Lion-sur-Mer."
DT14-14456,"Valcongrain,",commune,"
Campandré
",14128,"
commune réunie en 1835 à 
Campandré
, qui prend le nom de Campandré-Valcongrain.
      "
DT14-03209,"Cinglais,",circonscription territoriale,"
Cingal
",14455,"
circonscription territoriale dont 
Cingal
 était le chef-lieu."
DT14-03199,"Chouquier,",bois,"
Cinglais
",non,"nom d’un bois du 
Cinglais
."
DT14-01797,"Brébeuf,",quart de fief,"
Condé-sur-Vire
",50139,"
quart de fief assis à 
Condé-sur-Vire
, 1595 (aveux de la vicomté de Bayeux)."
DT14-12531,"Rabut,",commune,"
Coudray
",14185,"
commune réunie à 
Coudray
 qui prend le nom de Coudray-Rabut.
      "
DT14-00906,"Bernières-Bocage,",commune,"
Couvert
",14346,"
commune réunie en 1857 à 
Couvert
 et à Juaye."
DT14-02708,"Caudemuche,",commune,"
Cresseveuille
",14198,"
commune réunie à 
Cresseveuille
 en 1837."
DT14-13517,"Saint-Maclou-en-Auge,",commune,"
Doux-Marais
",14422,"
commune réunie en 1836 à 
Doux-Marais
, sous le nom de Sainte-Marie-aux-Anglais.
      "
DT14-11410,"Pellevillain,",fief,"
Écoville
",14246,"
fief sis à 
Écoville
, 1234 
(lib. rub. Troarn. p. 33)."
DT14-01946,"Brucourt,",fief,"
Estrées
",14474,"
fief assis à 
Estrées
 (rôles de la vicomté d’Auge), possédé en 1620 par messire Antoine de Longaunay, seigneur de Franqueville."
DT14-11301,"Parcs-Fontaines (Les),",commune,"
Fierville
",14269,"
commune réunie à 
Fierville
 sous le nom de Fierville-les-Parcs en 1853."
DT14-10766,"Moulineaux (Les),",commune,"
Fontaine-Henri
",14275,"
commune réunie à 
Fontaine-Henri
 en 1827."
DT14-13414,"Saint-Étienne de Fontenay,",abbaye,"
Fontenay-le-Tesson
",14556,"
abbaye de l’ordre de Saint-Benoît, fondée à 
Fontenay-le-Tesson
, aujourd’hui Saint-Andre-de-Fontenay."
DT14-14867,"Vaux (Les),",commune,"
Hermival
",14326,"
commune réunie à 
Hermival
, qui prend le nom d’Hermival-les-Vaux.
      "
DT14-03690,"Coupigny,",ancienne commune,"
Landelles
",14352,"
ancienne commune réunie à 
Landelles
, qui a pris depuis lors le nom de Landelles-et-Coupigny.
      "
DT14-03113,"le Chêne-en-Auge,",commune,"
Lessard
",14362,"
commune réunie à 
Lessard
, qui prend le nom de Lessard-et-le-Chêne."
DT14-04349,"Courtes-Terres (Les),",,"
Lion-sur-Mer
",14365,"à 
Lion-sur-Mer
."
DT14-12507,"Quichot (Le),",partie des roches,"
Lion-sur-Mer
",14365,"nom d’une partie des roches de 
Lion-sur-Mer
, servant de passage sur la mer."
DT14-01874,"Brèvedent,",fief,"
Manneville
",14399,"
fief sis à 
Manneville
, 1620 
(fiefs de la vicomté d’Auge, p. 357)."
DT14-14078,"Tirards (Les),",vavassorie,"
Maréquet
",non,"
vavassorie assise au 
Maréquet
, 1481 (aveux de l’abb. d’Aunay)."
DT14-04477,"Crèvecœur,",un des moulins,"
Montaigu
",non,"nom d’un des moulins de 
Montaigu
, à Caen."
DT14-01573,"Boulle,",fief,"
Montchauvet
",14443,"
fief assis à 
Montchauvet
."
DT14-05721,"Forges (Les),",hameau,"
Montchauvet
",14443,"
hameau de 
Montchauvet
."
DT14-03676,"Petit-),",commune,"
Morteaux
",14452,"
commune réunie en 1857 à 
Morteaux
, qui prend le nom de Morteaux-Coulibœuf.
      "
DT14-11803,"Plainville,","village, commune","
Percy-en-Auge
",14493,"
village, commune réunie à 
Percy-en-Auge
."
DT14-13116,"Rouville,",prieuré,"
Périers-en-Auge
",14494,"
prieuré de 
Périers-en-Auge
."
DT14-10947,"Ners,",commune,"
Pertheville
",14498,"
commune réunie en 1858 à 
Pertheville
 qui prend le nom de Pertheville-Ners.
      "
DT14-00187,"Aon,",fief,"
Putot-en-Auge
",14524,"
fief dont le chef était assis à 
Putot-en-Auge
, s’étendant à Goustranville et à Salenelles, 1455 
(Preuves de la maison d’Harcourt, t. III, p. 771)."
DT14-12551,"Raioles,",fief,"
Sacy
",14669,"nom du fief à 
Sacy
, 1230 
(ch. de Saint-André-en-Gouffern, n° 215)."
DT14-00308,"les Authieux-en-Auge,",commune,"
Saint-Bazile
",14029,"
commune réunie le 25 décembre 1831 à 
Saint-Bazile
 ou Saint-Bazile-sur-Monne, qui prend le nom de les Autels-Saint-Bazile, réunie pour le culte à Montpincon."
DT14-00225,"Asnières,",quart de fief,"
Saint-Clair
",14308,"
quart de fief assis à 
Saint-Clair
, relevant du fief de Corbon, 1620 
(rôles de la vicomté d’Auge, p. 361)."
DT14-01284,"Bois-Feroult (Le),",huitième de fief,"
Saint-Clair
",14308,"
huitième de fief à 
Saint-Clair
, 1620 (aveux de la vicomté d’Auge)."
DT14-01656,"Bouron,",huitième de fief,"
Saint-Clair
",14308,"
huitième de fief assis à 
Saint-Clair
 et Saint-Samson, 1620 (fiefs de la vicomté d’Auge)."
DT14-13397,"Saint-Cloud-sur-Touque,",commune,"
Saint-Étienne-la-Thillaye
",14575,"
commune réunie en 1827 à 
Saint-Étienne-la-Thillaye
."
DT14-13596,"Saint-Pierre-de-Canteloup,",commune,"
Saint-Hippolyte-de-Canteloup
",14293,"
commune réunie à 
Saint-Hippolyte-de-Canteloup
 en 1825."
DT14-05217,"Fains,",prébende,"
Saint-Jacques-de-Lisieux
",non,"
prébende de 
Saint-Jacques-de-Lisieux
, avec haute justice."
DT14-11541,"Pesnel,",prébende,"
Saint-Jacques-de-Lisieux
",non,"
prébende de 
Saint-Jacques-de-Lisieux
."
DT14-11162,"Ouilly-la-Ribaude,",commune,"
Saint-Léger-du-Houlley
",14484,"
commune réunie à 
Saint-Léger-du-Houlley
, qui a pris en 1825 le nom d’Ouilly-du-Houlley."
DT14-00412,"Banville,",quart de fief,"
Saint-Louet
",14607,"
quart de fief sis à 
Saint-Louet
."
DT14-10092,"Mesnil-Oury (Le),",commune,"
Saint-Martin-des-Noyers
",14633,"
commune réunie en 1831 à celle de 
Saint-Martin-des-Noyers
, sous le nom de Saint-Martin-du-Mesnil-Oury."
DT14-13638,"Saint-Vigor-de-Mieux,",commune,"
Saint-Martin-du-Bû
",14627,"
commune réunie à 
Saint-Martin-du-Bû
, qui prend le nom de Saint-Martin-de-Mieux (1858)."
DT14-14815,"Vauculet,",moulin,"
Saint-Ouen-de-Villers
",non,"
moulin, à 
Saint-Ouen-de-Villers
, paroisse du Bourg-l’Abbé, à Caen, 1479 (ch. de l’abb. de Saint-Étienne)."
DT14-13965,"Tassilly,",commune,"
Saint-Quentin-de-la-Roche
",non,"
commune qui, accrue de 
Saint-Quentin-de-la-Roche
, a pris le nom de Saint-Quentin-Tassilly ; supprimée en 1833, elle a été réunie à Bons et à Soûmont (voir ces mots)."
DT14-01800,"Mont Joly,",rocher et éminence,"
Saint-Quentin-Tassilly
",14678,"
rocher et éminence à 
Saint-Quentin-Tassilly
, sur lequel a été construit le mausolée de Marie Joly."
DT14-13553,"Saint-Martin-de-Mieux,",commune,"
Saint-Vigor-de-Mieux
",non,"
commune formée en 1858 de 
Saint-Vigor-de-Mieux
 et de Saint-Martin-du-But, 2e canton de Falaise."
DT14-13562,"Saint-Martin-du-Bû,",commune,"
Saint-Vigor-de-Mieux
",non,"
commune accrue de 
Saint-Vigor-de-Mieux
 en 1858, sous le nom de Saint-Martin-de-Mieux.
      "
DT14-00744,"Beissinière (La),",vavassorie,"
Sainte-Croix-Grand-Tonne
",14568,"
vavassorie tenue de l’évêque de Bayeux à 
Sainte-Croix-Grand-Tonne
, 1637 
(fiefs de l’évêché, p. 434)."
DT14-05818,"Fosse Grippesulle (La),",une des fosses,"
Soucy
",non,"nom d’une des fosses de 
Soucy
."
DT14-13613,"Saint-Quentin-Tassilly,",commune,"
Soûmont
",14678,"
commune partagée en deux sections, dont l’une (Saint-Quentin) est réunie à 
Soûmont
, sous le nom de Soûmont-Saint-Quentin, l’autre (Tassilly) est réunie à Bons, qui prend le nom de Bons-Tassilly.
      "
DT14-13612,Saint-Quentin-de-la-Roche,commune,"
Tassilly
",14678,"
commune réunie à 
Tassilly
, qui prend le nom de Saint-Quentin-Tassilly.
      "
DT14-01850,"Bretteville-sur-Bordel,",commune,"
Tessel
",14684,"
commune réunie à 
Tessel
 en 1834."
DT14-07867,"Jouvine (La),",rivière,"
Truttemer-le-Petit
",14718,"
rivière, affluent du Noireau, prend sa source sur la limite du Calvados et borne ce département sur 
Truttemer-le-Petit
."
DT14-00313,"Authieux-sur-Corbon (Les),",commune,"
Victot
",14743,"
commune réunie, ainsi que Pontfol, en 1858, à 
Victot
, qui prend le nom de Victot-Pontfol."
DT14-12062,"Pontfol,",commune,"
Victot
",14743,"
commune réunie en 1858 en partie à 
Victot
, sous le nom de Victot-Pontfol, et en partie aux Authieux-sur-Corbon."
DT14-02487,"Canivet,",commune,"
Villers
",14753,"
commune réunie à 
Villers
."
DT14-02158,"Buissons (Les),",village,"
Villons
",14758,"
village réuni à 
Villons
, sous le nom de Villons-les-Buissons.
      "
DT14-10045,"Mesnil-Aumont (Le),",manoir,abbaye de Barbery,non,"
hameau, commune de Barbery, manoir ayant appartenu à l’abbaye de Barbery."
DT14-00056,"Aiguillon,",fief,abbaye de Fontenay,non,"
fief de l’abbaye de Fontenay."
DT14-00575,"Baudouin,",fief,abbaye de Longues,non,"
fief de l’abbaye de Longues, 1456 (aveux de l’abb. de Longues)."
DT14-02200,"Burons (Les),",fief,abbaye de Saint-André-en-Gouffern,non,"
fief de l’abbaye de Saint-André-en-Gouffern."
DT14-09108,"Lortial,",chapelle,abbaye de Saint-Étienne,non,"nom d’une chapelle de Rots, appartenant à l’abbaye de Saint-Étienne."
DT14-14425,"Val (Le),",ruines,abbaye de Sainte-Marie-du-Val,non,"
ruines de l’abbaye de Sainte-Marie-du-Val, commune de Saint-Omer."
DT14-13395,"Saint-Clair-de-la-Pommeraye,",fief,abbaye du Val,non,"
fief assis à Saint-Omer, appartenant à l’abbaye du Val."
DT14-00329,"Avaugour,",fief,Anfernet,non,"
fief mouvant de la vicomté de Vire
, ayant son chef à Anfernet, commune de Truttemer-le-Grand."
DT14-07423,"Exmois,",un des ,archidiaconé d’Hiesmes,non,"l’un des pagi ou comtés de l’époque franque ; il forma l’archidiaconé d’Hiesmes, au diocèse de Bayeux."
DT14-01327,"Bois-Roger (Le),",hameau,Argences et Saint-Martin-de-Villers,14020/,"
hameau, commune de Cléville, fief s’étendant à Méry, Argences et Saint-Martin-de-Villers, 1607 (aveux de la vicomté de Caen)."
DT14-01404,"Bordel (Le),",rivière,"au-dessus de Tilly
",14692,"
rivière qui se jette dans la Seulle, au-dessus de Tilly
."
DT14-04873,"Dorette (La),",rivière,"Auvillars, Repentigny, Léaupartie, Rumesnil, Cambremer, Victot-Pontfol",14033/14533/14358/14550/14126/14743,"
rivière, affluent de droite de la Dive, prend sa source à Bonnebosq et se réunit à la Dive près de Hottot-en-Auge, après avoir arrosé Auvillars, Repentigny, Léaupartie, Rumesnil, Cambremer, Victot-Pontfol."
DT14-12602,"Ravine (Banc de la),",,"baie du Vey
",non,"dans la baie du Vey
."
DT14-00044,"Aiguillon,",demi-fief de chevalier,bailliage de Caen,non,"
demi-fief de chevalier, dont le chef était assis en la paroisse de Bougy
 ; il mouvait du bailliage de Caen, 1396 (Brussel)."
DT14-01952,"Brumonnière (La),",fief,"baronnie d’Annebecq
",non,"
fief de la baronnie d’Annebecq
."
DT14-05940,"Franche-Aumône (La),",fief,"baronnie de Beaufour et Beuvron
",non,"
fief de la baronnie de Beaufour et Beuvron
, 1620 (fiefs de la vicomté d’Auge)."
DT14-04263,"Couronne (La),",fief,"baronnie de Bernières-sur-Mer
",non,"
fief de la baronnie de Bernières-sur-Mer
, 1377 
(rôles du chapitre de Bayeux, n° 102)."
DT14-14468,"Val-de-Putot (Le),",delle,"baronnie de Bretteville-l’Orgueilleuse
",non,"
delle de la baronnie de Bretteville-l’Orgueilleuse
, 1066 (papier terrier de Bretteville)."
DT14-06095,"Fumichon,",fief,baronnie de Cambremer,non,"
fief assis à Saint-Aubin-sur-Algot, relevant du fief de la Planche en la baronnie de Cambremer, 1620 (fiefs de la vicomté d’Auge)."
DT14-10489,"Mont-Rôti,",fief,baronnie de Cambremer,non,"au Pre-d'Auge, fief de la baronnie de Cambremer."
DT14-05085,"Épée (L’),",fief,"baronnie de Cambremer
",non,"
fief de la baronnie de Cambremer
, sis au Pre-d'Auge, 1460 (temp. de l’évêché de Bayeux)."
