Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT15-14168,Saint-Cernin,chef-lieu de canton,Arrondissement d'Aurillac,non,"
chef-lieu de canton, Arrondissement d'Aurillac
      "
DT15-14027,Ruynes-en-Margeride,chef-lieu de canton et château féodal en ruines,Arrondissement de Saint-Flour,non,"
chef-lieu de canton et château féodal en ruines, Arrondissement de Saint-Flour
      "
DT15-04840,Conqueste ,chapelle détruite,"bourg de Cassaniouze
",15029,"
chapelle détruite, bourg de Cassaniouze

      "
DT15-09030,Lioulat,tannerie,"bourg de Fontanges
",15070,"
tannerie, bourg de Fontanges

      "
DT15-11627,Peyral (Le),moulin,"bourg de Fontanges
",15070,"
moulin, bourg de Fontanges

      "
DT15-13096,Reclus (Le) ,ancien jardin,"bourg de Thiézac
",15236,"
ancien jardin, bourg de Thiézac

      "
DT15-04197,Cheylade,chef-lieu de commune,canton Murat,15138,"
chef-lieu de commune, canton Murat
      "
DT15-07891,Giou-de-Mamou,château fort détruit et chef-lieu de commune,canton nord d'Aurillac,15014,"
château fort détruit et chef-lieu de commune, canton nord d'Aurillac
      "
DT15-08712,Laroquevieille,chef-lieu de commune et château féodal détruit,canton nord d'Aurillac,15014,"
chef-lieu de commune et château féodal détruit, canton nord d'Aurillac
      "
DT15-08719,Lascelle,chef-lieu de commune,canton nord d'Aurillac,15014,"
chef-lieu de commune, canton nord d'Aurillac
      "
DT15-09488,Mandailles,chef-lieu de commune,canton nord d'Aurillac,15014,"
chef-lieu de commune, canton nord d'Aurillac
      "
DT15-09608,Marmanhac,Chef-lieu de commune et château détruit,canton nord d'Aurillac,15014,"
Chef-lieu de commune et château détruit, canton nord d'Aurillac
      "
DT15-14174,Saint-Cirgues-de-Jordanne,chef-lieu de commune,canton nord d'Aurillac,15014,"
chef-lieu de commune, canton nord d'Aurillac
      "
DT15-14241,Saint-Julien-de-Jordanne,"chef-lieu de commune, fusionné avec Mandailles en 1973, sous le nom de Mandailles-Saint-Julien",canton nord d'Aurillac,15014,"
chef-lieu de commune, fusionné avec Mandailles en 1973, sous le nom de Mandailles-Saint-Julien, canton nord d'Aurillac
      "
DT15-14310,Saint-Simon,chef-lieu de commune,canton nord d'Aurillac,15014,"
chef-lieu de commune, canton nord d'Aurillac
      "
DT15-15866,Velzic,chef-lieu de commune,canton nord d'Aurillac,15014,"
chef-lieu de commune, canton nord d'Aurillac
      "
DT15-00187,Andelat,Chef-lieu de commune,canton nord de Saint-Flour,15187,"
Chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-00231,Anglards-de-Saint-Flour,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-04548,Coltines,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-04878,Coren,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-08729,Lastic,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-09972,Mentières,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-10366,Montchamp,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-13265,Rezentières,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-13687,Roffiac,chef-lieu de commune et châteaux détruits,canton nord de Saint-Flour,15187,"
chef-lieu de commune et châteaux détruits, canton nord de Saint-Flour
      "
DT15-14211,Saint-Georges,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-15023,Talizat,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-15236,Tiviers,chef-lieu de commune,canton nord de Saint-Flour,15187,"
chef-lieu de commune, canton nord de Saint-Flour
      "
DT15-16354,Vieillespesse,chef-lieu de commune et moulin,canton nord de Saint-Flour,15187,"
chef-lieu de commune et moulin, canton nord de Saint-Flour
      "
DT15-00359,Arpajon-sur-Cère,chef-lieu de commune,canton sud d'Aurillac,15014,"
chef-lieu de commune, canton sud d'Aurillac
      "
DT15-05232,Crandelles,chef-lieu de commune,canton sud d'Aurillac,15014,"
chef-lieu de commune, canton sud d'Aurillac
      "
DT15-12621,Prunet,chef-lieu de commune,canton sud d'Aurillac,15014,"
chef-lieu de commune, canton sud d'Aurillac
      "
DT15-13157,Reilhac,chef-lieu de commune,canton sud d'Aurillac,15014,"
chef-lieu de commune, canton sud d'Aurillac
      "
DT15-14282,Saint-Paul-des-Landes,chef-lieu de commune,canton sud d'Aurillac,15014,"
chef-lieu de commune, canton sud d'Aurillac
      "
DT15-14460,Sansac-de-Marmiesse,chef-lieu de commune,canton sud d'Aurillac,15014,"
chef-lieu de commune, canton sud d'Aurillac
      "
DT15-15100,Teissières-de-Cornet,chef-lieu de commune et château féodal détruit,canton sud d'Aurillac,15014,"
chef-lieu de commune et château féodal détruit, canton sud d'Aurillac
      "
DT15-16207,Vézac,chef-lieu de canton et château fort détruit,canton sud d'Aurillac,15014,"
chef-lieu de canton et château fort détruit, canton sud d'Aurillac
      "
DT15-02364,Bravedier,domaine ruiné,"canton sud d'Aurillac
",15014,"
domaine ruiné, canton sud d'Aurillac

      "
DT15-00139,Alleuze,Chef-lieu de commune,canton sud de Saint-Flour,15187,"
Chef-lieu de commune, canton sud de Saint-Flour
      "
DT15-05467,Cussac,chef-lieu de commune,canton sud de Saint-Flour,15187,"
chef-lieu de commune, canton sud de Saint-Flour
      "
DT15-08809,Lavastrie,chef-lieu de commune,canton sud de Saint-Flour,15187,"
chef-lieu de commune, canton sud de Saint-Flour
      "
DT15-10974,Neuvéglise,chef-lieu de commune,canton sud de Saint-Flour,15187,"
chef-lieu de commune, canton sud de Saint-Flour
      "
DT15-11410,Paulhac,"chef-lieu de commune, château et marais ou narse",canton sud de Saint-Flour,15187,"
chef-lieu de commune, château et marais ou narse, canton sud de Saint-Flour
      "
DT15-14636,Sériers,chef-lieu de commune et château féodal détruit,canton sud de Saint-Flour,15187,"
chef-lieu de commune et château féodal détruit, canton sud de Saint-Flour
      "
DT15-15031,Tanavelle,chef-lieu de commune et château féodal détruit,canton sud de Saint-Flour,15187,"
chef-lieu de commune et château féodal détruit, canton sud de Saint-Flour
      "
DT15-15123,Ternes (Les),chef-lieu de commune et château,canton sud de Saint-Flour,15187,"
chef-lieu de commune et château, canton sud de Saint-Flour
      "
DT15-15559,Ussel,chef-lieu de commune,canton sud de Saint-Flour,15187,"
chef-lieu de commune, canton sud de Saint-Flour
      "
DT15-15692,Valuéjols,chef-lieu de commune et château féodal détruit,canton sud de Saint-Flour,15187,"
chef-lieu de commune et château féodal détruit, canton sud de Saint-Flour
      "
DT15-16447,Villedieu,chef-lieu de commune et château fort détruit,canton sud de Saint-Flour,15187,"
chef-lieu de commune et château fort détruit, canton sud de Saint-Flour
      "
DT15-06791,Forêt (La),écart,commune Boisset,15021,"
écart, commune Boisset
      "
DT15-16370,Vigairie (La),village,commune Boisset,15021,"
village, commune Boisset
      "
DT15-12929,Pyronée (La),moulin et source thermale,"commune Chanet, réunie à Allanche en 1964",15001,"
moulin et source thermale, commune Chanet, réunie à Allanche en 1964
      "
DT15-09132,Loubinoux,village et montagne à vacherie,commune Chanterelle,15040,"
village et montagne à vacherie, commune Chanterelle
      "
DT15-07262,Irieix,domaine ruiné,commune Girgols,15075,"
domaine ruiné, commune Girgols
      "
DT15-08481,Irieix,domaine ruiné,commune Girgols,15075,"
domaine ruiné, commune Girgols
      "
DT15-04430,Clédou (Le),domaine ruiné,commune Jaleyrac,15079,"
domaine ruiné, commune Jaleyrac
      "
DT15-06795,Forêt (La),écart,commune Laroquebrou,15094,"
écart, commune Laroquebrou
      "
DT15-00958,Bartassou (Le),"ruisseau, affluent du ruisseau de Ruols, cours de 1300 mètres. On le nomme aussi le Châtaignal.",commune Montsalvy,15134,"
ruisseau, affluent du ruisseau de Ruols, cours de 1300 mètres. On le nomme aussi le Châtaignal., commune Montsalvy
      "
DT15-10750,Moulin-de-Roannes (Le),moulin et martinet,commune Roannes-Saint-Mary,15163,"
moulin et martinet, commune Roannes-Saint-Mary
      "
DT15-06016,Estadieu (L'),domaine ruiné,commune Saint-Constant,15181,"
domaine ruiné, commune Saint-Constant
      "
DT15-00327,Arjaliès (Les),hameau,commune Saint-Martin-sous-Vigouroux,15201,"
hameau, commune Saint-Martin-sous-Vigouroux
      "
DT15-00314,Ardenne,domaine ruiné,commune Saint-Santin-Cantalès,15211,"
domaine ruiné, commune Saint-Santin-Cantalès
      "
DT15-02687,Cabane-des-Sabotiers (La),écart,communede Bonnac,15022,"
écart, communede Bonnac
      "
DT15-13496,Robinet (Le),"ruisseau, affluent du Célé ; cours de 1000 mètres",coule à la limite des départements du Cantal et du Lot,non,"
ruisseau, affluent du Célé ; cours de 1000 mètres, coule à la limite des départements du Cantal et du Lot
      "
DT15-10116,Mieyssines (Las) ,domaine ruiné,"prévôté de Saint-Flour
",non,"
domaine ruiné, prévôté de Saint-Flour

      "
DT15-14138,Saint-Abon ,prieuré (?),"prévôté de Saint-Flour
",non,"
prieuré (?), prévôté de Saint-Flour

      "
