Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT15-00002,Abcède,Eglise,15013,Auriac-l’Église,
DT15-00021,Agé (L'),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-00025,Agraillou,Collandres,15052,,
DT15-00026,Agrelle,Condat,15054,,
DT15-00027,Agulier (L'),Lacapelle-Viescamp,15088,,
DT15-00038,Aiguayres (Les),Monteil,15131,,Commune non reconnue dans le DT
DT15-00055,Air (L'),Laurie,15098,,Commune non reconnue dans le DT
DT15-00056,Air (L'),Laurie,15098,,Commune non reconnue dans le DT
DT15-00063,Aizergues,Pierrefort,15152,,Commune non reconnue dans le DT
DT15-00074,Alary ou La Gazane (L'),Chanet,15001,,Commune non reconnue dans le DT
DT15-00084,Albars,Saint-lllide,15191,,
DT15-00085,Albepierre ,Albepierre-Bredons,15025,,
DT15-00086,Alberoche ,Collandres,15052,,
DT15-00105,Aldières (Les),Saint-Vincent-de-Salers,15218,,
DT15-00106,Aldières (Les),Saint-Vincent-de-Salers,15218,,
DT15-00118,Alfaric,Montmurat,15133,,
DT15-00141,Alleval,Lacapelle-Barrez,15086,Capelle-Barrez,
DT15-00167,Amblard (Le Puech d') ,Labesserette,15084,,
DT15-00168,Amblardie (L'),Labesserette,15084,,
DT15-00169,Amblardie (L'),Montmurat,15133,,
DT15-00171,Ambort,Champs-sur-Tarentaine-Marchal,15038,,
DT15-00184,Ancilhac,Albepierre-Bredons,15025,,
DT15-00192,Andraud,Collandres,15052,,
DT15-00195,Andrelou,Sainl-Paul-de-Salers,15205,,
DT15-00197,Andrieu,Claviers,15051,Clavières,
DT15-00198,Andrieu,Ruynes-en-Margeride,15168,,
DT15-00211,Angelas,Lacapelle-Barrez,15086,Capelle-Barrez,
DT15-00212,Angelas,Lacapelle-Barrez,15086,Capelle-Barrez,
DT15-00216,Anglade (L'),Ally,15003,,Commune non reconnue dans le DT
DT15-00217,Anglade (L'),Ally,15003,,Commune non reconnue dans le DT
DT15-00218,Anglade (L'),Ally et de Barriac-les-Bosquets,15003,Ally,Commune non reconnue dans le DT
DT15-00228,Anglards (Le Puech d'),Ruynes-en-Margeride,15168,,
