Vedette Longue (>30chars)
out:DT18-01080	Belle-Agnès (La Fontaine-de-la-),
out:DT18-01376	Bessiot-d’en-Bas-et-d’en-Haut (Les),
out:DT18-01422	Beury (Le Grand-) et le Petit-Beury,
out:DT18-01957	Boissonnats (Les Grands-) et les Petits-Boissonnats,
out:DT18-01990	Bondhuie (La Grande-) et la Petite-Bondhuie,
out:DT18-02029	Bonnefond (Le Grand-) et le Petit Bonnefond,
out:DT18-02493	Bourg-de-Neuvy (Le Ruisseau-du-),
out:DT18-02645	Brandes-de-Saint-Saturnin (Les),
out:DT18-03106	Buttes-de-la-Grosse-Forge (Les),
out:DT18-03502	Chaintres-de-la-Fontinelle (Les),
out:DT18-03804	Chapelle-de-Notre-Dame-de-la-Grâce (La),
out:DT18-06125	Domaine-d’En-Haut (Le), le Domaine-d’en-Bas et le Petit-Domaine,
out:DT18-06198	Doues (La Grande-) et La Petite-Doues,
out:DT18-06696	La Grande-Feuille et la Petite-Feuille,
out:DT18-07261	Fort-de-la-Garenne-de-Boiroux (Le),
out:DT18-08482	Grosse-Pierre-de-Fond-Moreau (La),
out:DT18-09113	Lac-de-la-Fontaine-des-Rois (Le),
out:DT18-09475	Loge-de-la-Brande-du-Breuil (La),
out:DT18-09478	Loge-de-la-Font-des-Pondailles (La),
out:DT18-09499	Loge-des-Saules-de-Venesmes (La),
out:DT18-09596	Loges-des-Brandes-de-Rossine (Les),
out:DT18-09600	Loges-des-Champs-Riffards (Les),
out:DT18-09601	Loges-des-Chaumes-Vignolles (Les),
out:DT18-09613	Loges-du-Champ-de-la-Thaumette (Les),
out:DT18-09850	Maison-de-Chavannes (La Grande-),
out:DT18-09874	Maison-de-Vallières (La Grande-),
out:DT18-10064	Maisons-des-Chaumes-de-Buy (Les),
out:DT18-11601	Notre-Dame-des-Eaux (Le ruisseau de),
out:DT18-12799	Pré-de-Saint-Maur (Le Ruisseau du),
out:DT18-12827	le Ruisseau du Pré-de-Saint-Maur,
out:DT18-12841	Prés-de-Cours (Le Ruisseau des),
out:DT18-12842	Prés-des-Chattes (Le Ruisseau des),
out:DT18-13778	Ruisseaux (Les Grands-) et Les Petits-Ruisseaux,
out:DT18-13867	Saint-Augustin (Le Ruisseau de),
out:DT18-13888	Saint-Doulchard (La Fontaine de),
out:DT18-13904	Sainte-Chapelle (Les Étangs de la),
out:DT18-14040	Saint-Martin (Le Moulin-de-) ou 
out:DT18-14100	Saint-Symphorien (La Fontaine de),
out:DT18-15076	Usages-de-la-Maison-Catin (Les),
out:DT18-15079	Usages-de-Verneuil (Les Grands) et les Petits-Usages-de-Verneuil,
out:DT18-15471	Vignonneries-de-la-Villeneuve (Les),
out:DT18-15510	Village-des-Vignes (Le Ruisseau du),
