Vedette Longue (>30chars)
out:DT21-00804	Bordes-Charbonnières (Les Petites-),
out:DT21-00953	Brebis-Haute, Brebis-Basse (La),
out:DT21-01205	Cave-à-la-Chèvre, aux-Chevaux, aux Deux-Rochons, au Grenier, à la Toilette,
out:DT21-01347	Champeaux (Les Grands, les Petits),
out:DT21-02031	Combrainboeuf (Haut, Bas), mieux : 
out:DT21-02414	Douillotte-de-Saint-Pierre (La),
out:DT21-02585	Étang-de-Chaume (Ruisseau de l’),
out:DT21-02586	Étang-de-Santenay (Grange de l’),
out:DT21-02764	Fontaine-au-Bois (Ruisseau de la),
out:DT21-02774	Fontaine-aux-Malades (Ruisseau de la),
out:DT21-02775	Fontaine-aux-Malades (Ruisseau de la),
out:DT21-02783	Fontaine-de-Cirey (Ruisseau de la),
out:DT21-02784	Fontaine-de-Courchamp (Ruisseau de la),
out:DT21-02793	Fontaine-d’Orain (Ruisseau de la),
out:DT21-03591	Issues (Les Grandes, Les Petites-),
out:DT21-03639	Jonchère (Ruisseau de l’étang de),
out:DT21-04183	Marcilly-sous-Mont-Saint-Jean ou 
out:DT21-04374	Meuselles (Les Hautes, Basses-),
out:DT21-05612	Prés-de-la-Comme (Ruisseau des),
out:DT21-06267	Saint-Georges (Ruisseau du Pré-),
out:DT21-06888	Tiers-du-Bas, Tiers-du-Dessus, Tiers-du-Milieu (Le),
out:DT21-07330	Verrerie (La) (Bois, Ruisseau de la),
