ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT22-00001	Allineuc	ALLINEUC		22001	ALLINEUC
DT22-00002	Andel	ANDEL		22002	ANDEL
DT22-00003	Aucaleuc	AUCALEUC		22003	AUCALEUC
DT22-00004	Bégard	BEGARD		22004	BEGARD
DT22-00005	Belle-Isle-en-Terre	BELLE-ISLE-EN-TERRE		22005	BELLE-ISLE-EN-TERRE
DT22-00006	Berhet	BERHET		22006	BERHET
DT22-00007	Binic	BINIC		22007	BINIC
DT22-00008	Bobital	BOBITAL		22008	BOBITAL
DT22-00011	Boqueho	BOQUEHO		22011	BOQUEHO
DT22-00013	Bourbriac	BOURBRIAC		22013	BOURBRIAC
DT22-00014	Bourseul	BOURSEUL		22014	BOURSEUL
DT22-00015	Bréhand	BREHAND		22015	BREHAND
DT22-00018	Brélidy	BRELIDY		22018	BRELIDY
DT22-00019	Bringolo	BRINGOLO		22019	BRINGOLO
DT22-00020	Broons	BROONS		22020	BROONS
DT22-00021	Brusvily	BRUSVILY		22021	BRUSVILY
DT22-00023	Bulat-Pestivien	BULAT-PESTIVIEN		22023	BULAT-PESTIVIEN
DT22-00024	Calanhel	CALANHEL		22024	CALANHEL
DT22-00025	Callac	CALLAC		22025	CALLAC
DT22-00026	Calorguen	CALORGUEN		22026	CALORGUEN
DT22-00028	Camlez	CAMLEZ		22028	CAMLEZ
DT22-00029	Canihuel	CANIHUEL		22029	CANIHUEL
DT22-00030	Caouënnec-Lanvézéac	CAOUENNEC-LANVEZEAC		22030	CAOUENNEC-LANVEZEAC
DT22-00031	Carnoët	CARNOET		22031	CARNOET
DT22-00032	Caulnes	CAULNES		22032	CAULNES
DT22-00033	Caurel	CAUREL		22033	CAUREL
DT22-00034	Cavan	CAVAN		22034	CAVAN
DT22-00038	Châtelaudren	CHATELAUDREN		22038	CHATELAUDREN
DT22-00040	Coadout	COADOUT		22040	COADOUT
DT22-00041	Coatascorn	COATASCORN		22041	COATASCORN
DT22-00042	Coatréven	COATREVEN		22042	COATREVEN
DT22-00043	Coëtlogon	COETLOGON		22043	COETLOGON
DT22-00044	Coëtmieux	COETMIEUX		22044	COETMIEUX
DT22-00045	Cohiniac	COHINIAC		22045	COHINIAC
DT22-00046	Collinée	COLLINEE		22046	COLLINEE
DT22-00047	Corlay	CORLAY		22047	CORLAY
DT22-00048	Corseul	CORSEUL		22048	CORSEUL
DT22-00049	Créhen	CREHEN		22049	CREHEN
DT22-00050	Dinan	DINAN		22050	DINAN
DT22-00051	Dolo	DOLO		22051	DOLO
DT22-00052	Duault	DUAULT		22052	DUAULT
DT22-00053	Eréac	EREAC		22053	EREAC
DT22-00054	Erquy	ERQUY		22054	ERQUY
DT22-00055	Étables-sur-Mer	ETABLES-SUR-MER		22055	ETABLES-SUR-MER
DT22-00056	Évran	EVRAN		22056	EVRAN
DT22-00060	Gausson	GAUSSON		22060	GAUSSON
DT22-00061	Glomel	GLOMEL		22061	GLOMEL
DT22-00062	Gomené	GOMENE		22062	GOMENE
DT22-00063	Gommenec’h	GOMMENEC’H		22063	GOMMENEC’H
DT22-00064	Gouarec	GOUAREC		22064	GOUAREC
DT22-00065	Goudelin	GOUDELIN		22065	GOUDELIN
DT22-00067	Grâces	GRACES		22067	GRACES
DT22-00068	Grâce-Uzel	GRACE-UZEL		22068	GRACE-UZEL
DT22-00069	Guenroc	GUENROC		22069	GUENROC
DT22-00070	Guingamp	GUINGAMP		22070	GUINGAMP
DT22-00071	Guitté	GUITTE		22071	GUITTE
DT22-00072	Gurunhuel	GURUNHUEL		22072	GURUNHUEL
DT22-00075	Hémonstoir	HEMONSTOIR		22075	HEMONSTOIR
DT22-00076	Hénanbihen	HENANBIHEN		22076	HENANBIHEN
DT22-00077	Hénansal	HENANSAL		22077	HENANSAL
DT22-00078	Hengoat	HENGOAT		22078	HENGOAT
DT22-00079	Hénon	HENON		22079	HENON
DT22-00081	Hillion	HILLION		22081	HILLION
DT22-00083	Illifaut	ILLIFAUT		22083	ILLIFAUT
DT22-00084	Jugon-les-Lacs	JUGON-LES-LACS		22084	JUGON-LES-LACS
DT22-00085	Kerbors	KERBORS		22085	KERBORS
DT22-00086	Kerfot	KERFOT		22086	KERFOT
DT22-00087	Kergrist-Moelou	KERGRIST-MOELOU		22087	KERGRIST-MOELOU
DT22-00088	Kerien	KERIEN		22088	KERIEN
DT22-00090	Kermaria-Sulard	KERMARIA-SULARD		22090	KERMARIA-SULARD
DT22-00091	Kermoroc’h	KERMOROC’H		22091	KERMOROC’H
DT22-00092	Kerpert	KERPERT		22092	KERPERT
DT22-00093	Lamballe	LAMBALLE		22093	LAMBALLE
DT22-00094	Lancieux	LANCIEUX		22094	LANCIEUX
DT22-00095	Landebaëron	LANDEBAERON		22095	LANDEBAERON
DT22-00096	Landébia	LANDEBIA		22096	LANDEBIA
DT22-00098	Landéhen	LANDEHEN		22098	LANDEHEN
DT22-00099	Lanfains	LANFAINS		22099	LANFAINS
DT22-00100	Langast	LANGAST		22100	LANGAST
DT22-00101	Langoat	LANGOAT		22101	LANGOAT
DT22-00102	Langourla	LANGOURLA		22102	LANGOURLA
DT22-00103	Langrolay-sur-Rance	LANGROLAY-SUR-RANCE		22103	LANGROLAY-SUR-RANCE
DT22-00104	Languédias	LANGUEDIAS		22104	LANGUEDIAS
DT22-00105	Languenan	LANGUENAN		22105	LANGUENAN
DT22-00106	Langueux	LANGUEUX		22106	LANGUEUX
DT22-00107	Laniscat	LANISCAT		22107	LANISCAT
DT22-00108	Lanleff	LANLEFF		22108	LANLEFF
DT22-00109	Lanloup	LANLOUP		22109	LANLOUP
DT22-00110	Lanmérin	LANMERIN		22110	LANMERIN
DT22-00111	Lanmodez	LANMODEZ		22111	LANMODEZ
DT22-00112	Lannebert	LANNEBERT		22112	LANNEBERT
DT22-00113	Lannion	LANNION		22113	LANNION
DT22-00114	Lanrelas	LANRELAS		22114	LANRELAS
DT22-00115	Lanrivain	LANRIVAIN		22115	LANRIVAIN
DT22-00116	Lanrodec	LANRODEC		22116	LANRODEC
DT22-00117	Lantic	LANTIC		22117	LANTIC
DT22-00118	Lanvallay	LANVALLAY		22118	LANVALLAY
DT22-00119	Lanvellec	LANVELLEC		22119	LANVELLEC
DT22-00121	Lanvollon	LANVOLLON		22121	LANVOLLON
DT22-00122	Laurenan	LAURENAN		22122	LAURENAN
DT22-00123	Léhon	LEHON		22123	LEHON
DT22-00124	Lescouët-Gouarec	LESCOUET-GOUAREC		22124	LESCOUET-GOUAREC
DT22-00127	Lézardrieux	LEZARDRIEUX		22127	LEZARDRIEUX
DT22-00128	Locarn	LOCARN		22128	LOCARN
DT22-00129	Loc-Envel	LOC-ENVEL		22129	LOC-ENVEL
DT22-00131	Loguivy-Plougras	LOGUIVY-PLOUGRAS		22131	LOGUIVY-PLOUGRAS
DT22-00132	Lohuec	LOHUEC		22132	LOHUEC
DT22-00133	Loscouët-sur-Meu	LOSCOUET-SUR-MEU		22133	LOSCOUET-SUR-MEU
DT22-00134	Louannec	LOUANNEC		22134	LOUANNEC
DT22-00135	Louargat	LOUARGAT		22135	LOUARGAT
DT22-00136	Loudéac	LOUDEAC		22136	LOUDEAC
DT22-00137	Maël-Carhaix	MAEL-CARHAIX		22137	MAEL-CARHAIX
DT22-00138	Maël-Pestivien	MAEL-PESTIVIEN		22138	MAEL-PESTIVIEN
DT22-00139	Magoar	MAGOAR		22139	MAGOAR
DT22-00141	Mantallot	MANTALLOT		22141	MANTALLOT
DT22-00143	Matignon	MATIGNON		22143	MATIGNON
DT22-00145	Mégrit	MEGRIT		22145	MEGRIT
DT22-00146	Mellionnec	MELLIONNEC		22146	MELLIONNEC
DT22-00147	Merdrignac	MERDRIGNAC		22147	MERDRIGNAC
DT22-00148	Mérillac	MERILLAC		22148	MERILLAC
DT22-00149	Merléac	MERLEAC		22149	MERLEAC
DT22-00151	Meslin	MESLIN		22151	MESLIN
DT22-00152	Minihy-Tréguier	MINIHY-TREGUIER		22152	MINIHY-TREGUIER
DT22-00153	Moncontour	MONCONTOUR		22153	MONCONTOUR
DT22-00154	Morieux	MORIEUX		22154	MORIEUX
DT22-00156	Moustéru	MOUSTERU		22156	MOUSTERU
DT22-00158	Mûr-de-Bretagne	MUR-DE-BRETAGNE		22158	MUR-DE-BRETAGNE
DT22-00160	Noyal	NOYAL		22160	NOYAL
DT22-00161	Pabu	PABU		22161	PABU
DT22-00162	Paimpol	PAIMPOL		22162	PAIMPOL
DT22-00163	Paule	PAULE		22163	PAULE
DT22-00164	Pédernec	PEDERNEC		22164	PEDERNEC
DT22-00165	Penguily	PENGUILY		22165	PENGUILY
DT22-00166	Penvénan	PENVENAN		22166	PENVENAN
