Vedette Longue (>30chars)
out:DT24-01572	Bonne-Ville-et-Saint-Avit-de-Fumadières,
out:DT24-02411	Brousse (Forêt de Puymartin, dite 
out:DT24-03273	Cercles-et-la-Chapelle-Montabourlet,
out:DT24-03521	Champeaux-et-la-Chapelle-Pommier,
out:DT24-03694	Chapelle du Général Talbot (La).
out:DT24-04224	Claud-de-l'Église-de-Brenac (Le).
out:DT24-05636	Enclos-des-Prêtres-de-la-Mission,
out:DT24-05757	Évêché de Périgueux (Temporel de l').
out:DT24-05758	Évêché de Sarlat (Temporel de l').
out:DT24-05931	Fajilieras (Lou Soou de las) ou 
out:DT24-11363	Mortemar-et-Saint-Félix-de-Reillac,
out:DT24-11486	Mouleydier (Grande et Petite forêt de).
out:DT24-11626	Nauves-du-Loup-aux-Levées (Les),
out:DT24-13234	Ponts (Anciens) dans le département :
out:DT24-14292	Raysses de l'Albarède, de Canille, de la Peyre, du Roc de Badeau, de Sereine,
out:DT24-14451	Rey (L'Alba, le Loungarisse, Longauné del),
out:DT24-14640	Roche-Beaucourt-et-Argentine (La),
out:DT24-15407	Saint-Christophe-de-Montbazillac,
out:DT24-15463	Sainte-Eulalie-et-Saint-Pardoux-d'Ans,
out:DT24-15471	Saint-Félix-de-Reillac-et-Mortemart,
out:DT24-15504	Saint-Geniez (Le chapitre du Pont-),
out:DT24-15627	Saint-Laurent-des-Bâtons-et-Saint-Maurice,
out:DT24-15651	Saint-Loup (Croix et Fontaine de),
out:DT24-15696	Saint-Martial-Cubas-et-Cherveix,
out:DT24-15717	Saint-Martin (A la Fontaine-de-),
out:DT24-15747	Saint-Mayme-de-Rauzan-et-Mauzac,
out:DT24-15766	Saint-Michel-l'Écluse-et-Lesparon,
out:DT24-15790	Saint-Pardoux-d'Ans-et-Sainte-Eulalie,
out:DT24-15885	Saint-Saury, Champ de Burrié ou 
out:DT24-16121	Sarladais (Le), Bas-Périgord ou 
