Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT26-11748,"Trabuech,",torrent,"
Aiglière
",non,"
torrent qui, venant de l'
Aiglière
, traverse la commune de Lus-la-Croix-Haute et, réuni au Lunel, forme le Buesch."
DT26-04559,"Fontcorps,",ruisseau,"
Bessant
",non,"
ruisseau qui, joint à 
Bessant
, forme l'Olagnier, après un parcours de 3,100 mètres sur la commune de Cliousclat."
DT26-06599,"Malapata,",ravin,"
Brescuègne
",non,"
ravin dont la source est à 
Brescuègne
, commune de Saint-Dizier, et qui se jette dans l'Oulle, sur la commune de Sainte-Marie (Hautes-Alpes)."
DT26-02012,"Chanos-Curson,",commune,"
Chanos
",non,"
commune du canton de Tain, correspondant à l'ancienne communauté et paroisse de 
Chanos

"
DT26-11795,"Trente-Pas,",ruisseau,"
Col-de-Garreau
",non,"
ruisseau qui a sa source au 
Col-de-Garreau
, traverse la commune de Chaudebonne et se jette dans le Bentrix, sur celle de Saint-Ferreol."
DT26-03255,"Combe-Maret,",ruisseau,"
Col-Plat
",non,"
ruisseau qui a sa source au 
Col-Plat
, traverse la commune de Vesc et se jette dans la Veyssanne."
DT26-06145,"Lance (La),",ruisseau,"
Couspeau
",non,"
ruisseau qui a sa source à 
Couspeau
, commune du Petit-Paris, et se jette dans la Roanne, à Saint-Nazaire-le-Desert, après un cours de 2,900m."
DT26-04001,"Druzieux,",marais et canal,"
Herbasse
",non,"
marais et canal de 750 mètres de long aboutissant à l'
Herbasse
, commune de Saint-Donat."
DT26-09005,"Préaux (Les),",ruisseau,"
Juillanne
",non,"
ruisseau faisant tête à celui de 
Juillanne
, commune de Valdrôme."
DT26-03951,"Dolure (Le),",rivière,"
Marcolin
",38219,"
rivière qui a sa source à 
Marcolin
 (Isère), traverse les communes de Lens-Lestang et de Moras et se jette dans les Claires après 1,180m de cours dans notre département."
DT26-03209,"Combe-de-Valouse (La),",ruisseau,"
Mialandre
",non,"
ruisseau qui a sa source à 
Mialandre
, traverse la commune de Valouse et se jette dans le ruisseau de Trente-Pas."
