Vedette Longue (>30chars)
out:DT27-00112	Anciens Quinconces (Prairie des),
out:DT27-00173	Arcoussis (Les) ou Coutumes des villes de Bleu, 
out:DT27-00212	Arrantiers (La cousture des hayes des),
out:DT27-00368	Barbançons (Les) (Brabançons ?),
out:DT27-01037	Bois le Comte-de-Saint-Soupplice (Les),
out:DT27-01117	Bois-Toustain (Saint-Ouen-du-) ou 
out:DT27-02442	Champ-Durant (Moulin et Rue du),
out:DT27-02653	Chenappeville (qu’il ne faut pas confondre avec 
out:DT27-02976	Conches (Saint-Pierre et Saint-Paul de),
out:DT27-03308	Cour-Saint-Quentin-Village (La),
out:DT27-03464	Croix-de-l’Ourmet (Carrefour de la),
out:DT27-03465	Croix-de-Monseigneur-Baudry (La),
out:DT27-03472	Croix-des-Hautes-Chaussées (La),
out:DT27-03492	Croix-Peinte-de-Herbert-le-Tort,
out:DT27-03503	Croix-Saint-Leufroi (Canton de la),
out:DT27-03504	Croix-Saint-Leufroi (Les Filles de la) :
out:DT27-03646	Deux-Amants (La montagne ou plutôt 
out:DT27-03707	Doult-de-la-Belle-Herbe (Le) ou 
out:DT27-03847	Entre-Eure-et-Seine (Plateau d’),
out:DT27-03848	Entre-Risle-et-Seine (Vicomté d’),
out:DT27-03907	Ermitage du Château-Gaillard (L’),
out:DT27-03937	Espringale (Tour, Rue et Ruisseau de l’),
out:DT27-04258	Fontaine-aux-Malades (Côte de la),
out:DT27-04267	Fontaine-de-Cloporte (Ruisseau de la),
out:DT27-04288	Fontaine-Jambard (Ruisseau de la),
out:DT27-04314	Fontaines-du-Mont-Poignant (Les),
out:DT27-04772	Gargantua (La Pierre, le Siége ou 
out:DT27-04999	Grammont-près-Gaillon (Notre-Dame de),
out:DT27-05079	Grandes-Fieffes-Saint-Luc (Les),
out:DT27-05377	Halles (Ancien Chapitre des) ou 
out:DT27-05538	Haut-de-la-Côte-du-Vieux-Port (Le),
out:DT27-06246	Lierru (Saint-Pierre et Saint-Paul de),
out:DT27-06311	Lisière-de-Saint-Michel-de-la-Haye (La),
out:DT27-06368	Londe (Sergenterie de la forêt de la),
out:DT27-06389	Longchamps (Verderie de) et de Bleu,
out:DT27-06422	Longuemare (Saint-Christophe de),
out:DT27-06557	Maison du Bois-de-Saint-Michel (La),
out:DT27-06589	Maladerie-de-Saint-Symphorien (La),
out:DT27-06596	Maladrerie-de-Saint-Antoine (La),
out:DT27-06776	Mare-aux-Brosses (Plateau de la),
out:DT27-07909	Neuville-sous-Beaumont-le-Perreux,
out:DT27-08004	Notre-Dame-de-Bonne-Espérance-lez-Gaillon,
out:DT27-08297	Pâtissiers (Petite rivière des),
out:DT27-08500	Petites-Fieffes-Saint-Luc (Les),
out:DT27-08686	Pisse-Argent (Moulin de), dit aussi 
out:DT27-08699	Place-Friche-Victor (Rue de la),
out:DT27-08856	Pont-Audemer (Arrondissement de),
out:DT27-08936	Poses (Barrage, fief et passage de),
out:DT27-09114	Quatre-Maisons-de-Tillières (Les),
out:DT27-09468	Rouen (Faubourg de la Porte de),
out:DT27-09690	Saint-Antoine de Pont-de-l’Arche,
out:DT27-09696	Saint-Aquilin (Petit Séminaire de),
out:DT27-09744	Sainte-Catherine-du-Mont-d’Heurgival,
out:DT27-09792	Saint-Denis (Les trois villes de),
out:DT27-09839	Saint-François-Xavier (Orphelinat de),
out:DT27-09856	Saint-Georges-du-Vièvre (Canton de),
out:DT27-09916	Saint-Jacques-du-Roule-Balenson,
out:DT27-09917	Saint-Jacques-et-Saint-Christophe,
out:DT27-09957	Saint-Julien-du-Bois-de-la-Queue,
out:DT27-10005	Saint-Léonard (La chapelle de la maladrerie de),
out:DT27-10008	Saint-Leufroy (Petit séminaire de),
out:DT27-10022	Saint-Louis-de-l’Hôpital-de-Vernon,
out:DT27-10058	Sainte-Marguerite-de-Bretteville,
out:DT27-10068	Sainte-Marie-et-Saint-Jean-Baptiste,
out:DT27-10162	Saint-Nicolas-de-la-Neufville-sous-Beaumont-le-Pérreux,
out:DT27-10167	Saint-Nicolas-de-Pont-Saint-Pierre,
out:DT27-10176	Saint-Nicolas-du-Mesnil-Doucerain,
out:DT27-10180	Sainte-Opportune-près-Vieux-Port,
out:DT27-10211	Saint-Philbert-sur-Boisset (Boisset-le-Châtel),
out:DT27-10234	Saint-Pierre (Pont, Porte, Rivière et 
out:DT27-10258	Saint-Pierre-Saint-Paul de Conches ou 
out:DT27-10259	Saint-Potentien-et-Saint-Savinien,
out:DT27-10285	Saint-Sébastien-du-Bois-Gencelin,
out:DT27-10323	Sainte-Trinité de Beaumont-le-Roger (La),
out:DT27-10647	Tête-d’Homme (Les Tourelles de la),
out:DT27-10880	Trinité-du-Mesnil-Josselin (La),
out:DT27-10894	Trois Villes Saint-Denis (Fief des),
out:DT27-11311	Vauvray (Sergenterie noble de) et 
out:DT27-11550	Villette (Fief et porte marinière de la),
