Vedette Longue (>30chars)
out:DT28-00204	Bal-des-Dames-de-Bainville (Le),
out:DT28-01387	Chamars (Prieuré Saint-Martin de),
out:DT28-02122	Croix-de-la-Pierre (Bois de la),
out:DT28-02398	Étangs (Rivière des), dite aussi 
out:DT28-02475	Ferme-Neuve-du-Bois-de-Ménil (La),
out:DT28-02584	Fontaine-de-la-Mairie (Ruisseau de la),
out:DT28-02587	Fontaine-Enragée (Ruisseau de la),
out:DT28-02603	Fontaines-de-Poulain (Ruisseau des),
out:DT28-02719	Fourmainville (Rivière et îles de),
out:DT28-03043	Gland-de-la-Maricauderie (Bois du),
out:DT28-03311	Guay (Ruisseau de la fontaine du),
out:DT28-04239	Marais (Fontaine Notre-Dame-des-),
out:DT28-05539	Pointe-à-Massot (Ruisseau de la),
out:DT28-05545	Poirier-de-Haute-Branche (Sente du),
out:DT28-06129	Sablonnière (La), la Carrière ou 
out:DT28-06194	Saint-Éliph et Saint-Félix (Fontaine de),
out:DT28-06251	Saint-Lin (Ruisseau de la Fontaine-),
out:DT28-06815	Tuilerie-du-Pont-des-Nouettes (La),
out:DT28-06877	Vallée (Ruisseau de la Petite-),
out:DT28-06885	Vallée-des-Brandes (Ruisseau de la), dit aussi 
out:DT28-07021	Vieille-Rivière (La), et plus souvent 

