 id 	old	new	
186	Plouezoc’h	Plouézoc'h	
208	Plourin-Ploudalmezeau	Plourin-Ploudalmézeau	
299	Trézelidé	Trézélidé	
303	Cameros	Caméros	
312	Kelerec	Kélérec	
321	Kerguelen	Kerguélen	
326	Kerneron	Kernéron	
327	Kernevez	Kernévez	
336	Lezargol	Lézargol	
340	Menez-Meur	Ménez-Meur	
343	Menez (Ar)	Ménez (Ar)	
359	Trinite (La)	Trinité (La)	
360	Troveoc	Trovéoc	
368	Dreneach	Drénéach	
370	Folgoet (Le)	Folgoët (Le)	
375	Keraneour	Keranéour	
376	Kerangouezen	Kerangouézen	
387	Lestrevenez	Lestrévénez	
407	Toramenez	Toraménez	
415	Bodve	Bodvé	
419	Branderien	Brandérien	
430	Goales (Le)	Goalès (Le)	
432	Guernevez Lann	Guernévez Lann	
434	Keralve	Keralvé	
450	Kerhoel	Kerhoël	
465	Kerstephan	Kerstéphan	
467	Kervegant	Kervégant	
474	Lande de Buzedou (La)	Lande de Buzédou (La)	
478	Lesle	Leslé	
480	Menebere	Ménébéré	
503	Stang ar Reo	Stang ar Réo	
509	Villerit	Villérit	
519	Kervarenel	Kervarénel	
525	Pont de Branderien	Pont de Brandérien	
533	Coste Cleden	Costé Cléden	
538	Kerguelen (rue de)	Kerguélen	
544	Kervreac’h	Kervréac'h	
545	Menez Bihan	Ménez Bihan	
547	Roz ar Brefet	Roz ar Bréfet	
563	Berot	Bérot	
573	Castel Helou	Castel Hélou	
577	Coateriac	Coatériac	
583	Corbe	Corbé	
586	Cosqueriou (Saint Mathieu / Saint Cado)	Cosquériou	
590	Dourguelen	Dourguélen	
593	Foret Quimerc’h (La)	Forêt Quimerc'h (La)	
609	Kerancreac’h	Kerancréac'h	
615	Kerantrevoux	Kerantrévoux	
617	Kerbelegou	Kebélégou	
618	Kerbernes	Kerbernès	
619	Kerberonnet	Kerbéronnet	
632	Kereren	Keréren	
633	Kerferon	Kerféron	
638	Kergleren	Kergléren	
640	Kergoalabre	Kergoalabré	
651	Keridre	Keridré	
671	Kermerour Boulben	Kermérour Boulben	
672	Kermerour Pont Kereon	Kermérour Pont Kéréon	
678	Kernaour Trébalay	Kernaour Trébalay	
683	Keromnes	Keromnès	
684	Kerouelec	Kerouélec	
688	Kerroue	Kerroué	
695	Kerseac’h	Kerséac'h	
696	Kerseveon	Kersévéon	
700	Kervely	Kervély	
708	Kerzelen	Kerzélen	
709	Kerzeniel	Kerzéniel	
710	Kerzeval	Kerzéval	
712	Lan Penoues	Lan Penouès	
719	Loge Begoarem	Loge Bégoarem	
724	Loge Nahenou	Loge Nahénou	
727	Loge Taeron	Loge Taëron	
732	Menec (Le)	Ménec (Le)	
733	Menez Kersclippon	Ménez Kersclippon	
740	Moulin Menec	Moulin Ménec	
747	Moustoir Menec	Moustoir Ménec	
752	Penquelen	Penquélen	
756	Pont Glaeres	Pont Glaërès	
758	Pont Kereon	Kéréon	
763	Pont Tromelin	Pont Tromélin	
772	Rosquerou	Rosquérou	
777	Rumerou	Rumérou	
797	Stang Tremeur	Stang Trémeur	
800	Trébalay	Trébalay	
801	Tremeur	Trémeur	
803	Tromelin	Tromélin	
806	Ty Névez Berot	Ty Névez Bérot	
807	Ty Névez Kerbelegou	Ty Névez Kerbélégou	
815	Veronique (La)	Véronique (La)	
825	Foret Sainte Anne	Forêt Sainte Anne	
865	Menec Huet	Ménec Huet	
875	Pratlez	Pratléz	
899	Garzerin	Garzérin	
907	Kernevez	Kernévez	
908	Kerveadou	Kervéadou	
913	Poul Treo	Poul Tréo	
914	Tachen Louedec	Tachen Louédec	
926	Allee ar Gall	Allée ar Gall	
928	Bouillenou	Bouillènou	
932	Creac’h Conard (impasse)	Créac'h Conard	
937	Guenodou (- / vian)	Guénodou	
943	Kerambechennec	Kerambéchennec	
944	Kerambouillenou	Kerambouillènou	
945	Kerangales	Kerangalès	
947	Keranguyon (- / nevez / vihan)	Keranguyon (- / névez /  vihan)	
951	Kercreven (avenue de)	Kercréven	
957	Kerlenar	Kerlénar	
959	Kerliezec	Kerlièzec	
965	Kerneost	Kernéost	
967	Kerorie	Kerorié	
968	Kersale	Kersalé	
976	Meneyer (rue du)	Méneyer	
977	Menez Frost (rue de)	Ménez Frost	
978	Menez Groas	Ménez Groas	
979	Menez Kerholven	Ménez Kerholven	
980	Menez Lae (chemin de)	Ménez Laé	
981	Menez Kernun	Ménez Kernun	
982	Menez Kerorie	Ménez Kerorié	
988	Park Kerezen	Parc Kérézen	
990	Pen ar Creac’h (- / nevez / vihan)	Penar Créac'h (-névez / vihan)	
1000	Pre Bas (rue du)	Pré Bas	
1006	Trevourda	Trévourda	
1007	Trez (rue du)	Trèz	
1014	Ty Névez Guenodou	Ty Névez Guénodou	
1015	Ty Névez Kerangales	Ty Névez Kerangalès	
1016	Ty Névez Kerorie	Ty Névez Kerorié	
1019	Ty Ven Dero	Ty Ven Déro	
1022	Vouerec	Vouérec	
1047	Menez Keraven Vian	Ménez Keraven Vian	
1061	Ty Veret	Ty Véret	
1062	Arquelen	Arquélen	
1068	Croix Stephan (La)	Croix Stéphan (La)	
1074	Goenidou	Goënidou	
1076	Guerdeval	Guerdéval	
1083	Kergreac’h	Kergréac'h	
1086	Kernevez	Kernévez	
1092	Lestrezec	Lestrézec	
1098	Mezermit	Mézermit	
1101	Moulin de Goasselen	Moulin de Goassélen	
1125	Tredudon	Trédudon	
1138	Bicetre	Bicêtre	
1147	Kerberennes	Kerbérennès	
1152	Kerehant	Keréhant	
1154	Kereon	Keréon	
1161	Kerguenec	Kerguénec	
1169	Kerleac’h	Kerléac'h	
1174	Kernaet	Kernaët	
1175	Kerneis	Kernéis	
1176	Kernevez	Kernévez	
1186	Kerseon	Kerséon	
1193	Kerville	Kervillé	
1205	Lezelguen	Léselguen	
