P17510991	DT29-00001
P98670669	DT29-00002
P60415470	DT29-00003
P22184967	DT29-00004
P26426617	DT29-00005
P65591071	DT29-00006
P96222721	DT29-00007
P32463433	DT29-00008
P01918032	DT29-00009
P83648060	DT29-00010
P62334816	DT29-00011
P96754331	DT29-00012
P27945491	DT29-00013
P61034500	DT29-00014
P05184724	DT29-00015
P59202427	DT29-00016
P43456639	DT29-00017
P58846436	DT29-00018
P37928273	DT29-00019
P89428917	DT29-00020
P36927478	DT29-00021
P90349718	DT29-00022
P16017595	DT29-00023
P47084120	DT29-00024
P63054108	DT29-00025
P23950187	DT29-00026
P15834590	DT29-00027
P32740066	DT29-00028
P78875233	DT29-00029
P13298958	DT29-00030
P19026723	DT29-00031
P27183777	DT29-00032
P64530929	DT29-00033
P06419364	DT29-00034
P15110515	DT29-00035
P82307099	DT29-00036
P05427807	DT29-00037
P73316239	DT29-00038
P22495561	DT29-00039
P79674450	DT29-00040
P35817126	DT29-00041
P73985881	DT29-00042
P90101007	DT29-00043
P48123253	DT29-00044
P37506735	DT29-00045
P91285960	DT29-00046
P11752799	DT29-00047
P66579400	DT29-00048
P19629719	DT29-00049
P10223644	DT29-00050
P39356719	DT29-00051
P28182236	DT29-00052
P00289669	DT29-00053
P69106716	DT29-00054
P26094702	DT29-00055
P72967158	DT29-00056
P91427962	DT29-00057
P74633151	DT29-00058
P42224502	DT29-00059
P42023741	DT29-00060
P41847121	DT29-00061
P69153026	DT29-00062
P06383525	DT29-00063
P43797951	DT29-00064
P13865555	DT29-00065
P51227722	DT29-00066
P60542641	DT29-00067
P80912314	DT29-00068
P47355177	DT29-00069
P83230242	DT29-00070
P75036674	DT29-00071
P85347933	DT29-00072
P37028454	DT29-00073
P16285842	DT29-00074
P86966645	DT29-00075
P10241015	DT29-00076
P84300454	DT29-00077
P60549468	DT29-00078
P32006836	DT29-00079
P46760412	DT29-00080
P17119165	DT29-00081
P14387485	DT29-00082
P13367156	DT29-00083
P83928338	DT29-00084
P66193742	DT29-00085
P11344077	DT29-00086
P48689050	DT29-00087
P75182886	DT29-00088
P22259312	DT29-00089
P94102531	DT29-00090
P73148742	DT29-00091
P42169048	DT29-00092
P42849990	DT29-00093
P25269127	DT29-00094
P97370360	DT29-00095
P01789750	DT29-00096
P05687093	DT29-00097
P30168637	DT29-00098
P85771153	DT29-00099
P26880822	DT29-00100
P34030914	DT29-00101
P03680409	DT29-00102
P06672596	DT29-00103
P72843133	DT29-00104
P84362410	DT29-00105
P16950086	DT29-00106
P93654969	DT29-00107
P21850553	DT29-00108
P70657240	DT29-00109
P70338604	DT29-00110
P82071865	DT29-00111
P61666726	DT29-00112
P42390969	DT29-00113
P69098497	DT29-00114
P12104022	DT29-00115
P13511121	DT29-00116
P62207392	DT29-00117
P57475080	DT29-00118
P61115168	DT29-00119
P99645948	DT29-00120
P19882670	DT29-00121
P36709854	DT29-00122
P19427720	DT29-00123
P65867009	DT29-00124
P81958425	DT29-00125
P38096029	DT29-00126
P91126540	DT29-00127
P58739869	DT29-00128
P78532682	DT29-00129
P54512437	DT29-00130
P96951394	DT29-00131
P97855540	DT29-00132
P80201403	DT29-00133
P92224470	DT29-00134
P65247421	DT29-00135
P17387378	DT29-00136
P53666983	DT29-00137
P73732013	DT29-00138
P29155084	DT29-00139
P99352195	DT29-00140
P35897591	DT29-00141
P38165525	DT29-00142
P72051373	DT29-00143
P71366393	DT29-00144
P87037852	DT29-00145
P41727315	DT29-00146
P83137662	DT29-00147
P73318924	DT29-00148
P29692371	DT29-00149
P14950671	DT29-00150
P84526585	DT29-00151
P09640314	DT29-00152
P60724132	DT29-00153
P18392146	DT29-00154
P39622374	DT29-00155
P41409623	DT29-00156
P98445666	DT29-00157
P86290088	DT29-00158
P56256325	DT29-00159
P96171925	DT29-00160
P49980032	DT29-00161
P62607616	DT29-00162
P95101305	DT29-00163
P24482542	DT29-00164
P92338326	DT29-00165
P84535488	DT29-00166
P02336390	DT29-00167
P49393259	DT29-00168
P08764690	DT29-00169
