Vedette Longue (>30chars)
out:DT30-00464	Barraque-de-la-Font-Saint-Peyre,
out:DT30-00634	Bégude-de-Sernhac (Ruiss. de la),
out:DT30-01657	Château-de-Saint-Sébastien (Le),
out:DT30-01675	Chemins anciens, connus au moyen âge :
out:DT30-04597	Moulin de l'Observance-de-Saint-Gilles,
out:DT30-04604	Moulin de Saint-Michel-de-Varanègues,
out:DT30-04858	Ouradou du Chemin-de-Vauvert (L'),
out:DT30-05602	Quatre-Chevaliers (Chapelle des),
out:DT30-06112	Saint-Christophe-des-Trestoulières,
out:DT30-06183	Saint-Étienne-entre-deux-Églises,
out:DT30-06187	Sainte-Victoire-et-Sainte-Brune,
out:DT30-06208	Saint-Germain-de-Montaigu-lez-Alais,
out:DT30-06228	Saint-Jacques-de-Porte-Couverte,
out:DT30-06254	Saint-Jean-et-Saint-Louis-entre-deux-Fossés,
out:DT30-06380	Saint-Pierre-ès-Liens-de-Laugnac,
