Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT34-00052	Aigues-Vives,	Baillargues	34022		
DT34-00084	Alizieu,	Balaruc	34023		
DT34-00126	Angle (Étang de l’),	Balaruc	34023		
DT34-01604	Colobre,	Balaruc	34023		
DT34-02080	Enversac,	Balaruc	34023		
DT34-03307	Lissanca,	Balaruc	34023		
DT34-03815	Montarbossier,	Balaruc	34023		
DT34-04107	des Eaux,	Balaruc	34023		
DT34-04735	Puech-Méjan,	Balaruc	34023		
DT34-05102	Roquerols,	Balaruc	34023		
DT34-06215	Valras,	Balaruc	34023		
DT34-01918	Décamps,	Bassan	34025		"Commune non reconnue (article id=""DT34-00424"""
DT34-04385	Peyral (Le),	Bassan	34025		
DT34-06121	Tuilerie (La),	Bassan	34025		
DT34-06444	Vincent,	Bassan	34025		
DT34-06445	Vinches,	Bassan	34025		
DT34-01267	Cartels,	Bosc	34036		
DT34-01268	Cartels,	Bosc	34036		
DT34-01269	Cartels (Baraque du pont de),	Bosc	34036		
DT34-01686	Consul (Baraque du),	Bosc	34036		
DT34-02391	Fontaine (Auberge de la),	Bosc	34036		
DT34-03007	Jourdan,	Bosc	34036		
DT34-03159	Laulo,	Bosc	34036		
DT34-03197	Lavaire (Mas),	Bosc	34036		
DT34-03315	Loiras,	Bosc	34036		
DT34-04100	Notre-Dame,	Bosc	34036		
DT34-04438	Pigeons (Les),	Bosc	34036		
DT34-04964	Rivernoux (Le),	Bosc	34036		
DT34-05181	Saint-Alban,	Bosc	34036		
DT34-05341	Saint-Frichoux,	Bosc	34036		
DT34-05420	Saint-Julien,	Bosc	34036		
DT34-05500	Saint-Martin-du-Bosc,	Bosc	34036		
DT34-05628	Saint-Vincent-de-Mauzonis,	Bosc	34036		
DT34-05647	Salamane,	Bosc	34036		
DT34-05652	Salelles,	Bosc	34036		
DT34-06340	Viala (Le),	Bosc	34036		
DT34-04955	Riols,	Castanet	34055		
DT34-00329	Fraisse,	Castelnau	34057		
DT34-00477	Bazille,	Castelnau	34057		
DT34-00532	Bellaud,	Castelnau	34057		
DT34-00608	Serres,	Castelnau	34057		
DT34-00639	Léenhardt,	Castelnau	34057		
DT34-00839	Bourillou,	Castelnau	34057		
DT34-01088	Cambon,	Castelnau	34057		
DT34-01098	Cambrenous,	Castelnau	34057		
DT34-01959	Dessalle,	Castelnau	34057		
DT34-02859	Guillems (Les),	Castelnau	34057		
DT34-03778	Monplaisir,	Castelnau	34057		
DT34-03940	des Trois-Roues,	Castelnau	34057		
DT34-04062	Naviteau,	Castelnau	34057		
DT34-04531	Pons Ærarius,	Castelnau	34057		
DT34-04585	Léenhardt,	Castelnau	34057		
DT34-05101	Rouquerol,	Castelnau	34057		
DT34-05646	Salaizon,	Castelnau	34057		
DT34-05894	Substantion,	Castelnau	34057		
DT34-06073	Trembles (Les),	Castelnau	34057		
DT34-06110	Tubeuf,	Castelnau	34057		
DT34-03027	Juze,	Ceilhes	34071		
DT34-04986	Rocozels,	Ceilhes	34071		
DT34-03143	Latour,	Celleneuve	non		
DT34-03628	Mausson (La),	Celleneuve	non		
DT34-01394	Caylet,	Cers	34073		"Commune non reconnue (article id=""DT34-01456"""
DT34-01509	Cazottes,	Cers	34073		
DT34-05551	Saint-Pierre,	Cers	34073		
DT34-04883	Rhonel,	Clermont-l’Hérault	34079		
DT34-02962	Jardin de Boudeil,	Colombiers-lez-Béziers	34081		
DT34-03526	Martine (La),	Colombiers-lez-Béziers	34081		
DT34-06353	Viargues (Bergerie de),	Colombiers-lez-Béziers	34081		
DT34-01484	Chartreuse (La),	Corneilhan	34084		"Commune non reconnue (article id=""DT34-01699"""
DT34-02199	Fabregat,	Corneilhan	34084		
DT34-02590	Garriguette (La),	Corneilhan	34084		
DT34-03640	Mazassy,	Corneilhan	34084		
DT34-03669	la Madaille,	Corneilhan	34084		
DT34-04206	Ortaliche (L’),	Corneilhan	34084		
DT34-00106	Amazones (Les),	Cournonsec	34087		"Commune non reconnue (article id=""DT34-01783"""
DT34-00241	Avène,	Cournonsec	34087		
DT34-00716	Bonnel (Mas de),	Cournonsec	34087		
DT34-02821	Grémian,	Cournonsec	34087		
DT34-03755	Mirabel,	Cournonsec	34087		
DT34-04477	Plagnol,	Cournonsec	34087		
DT34-00486	Beaulieu,	Cournonterral	34088		
DT34-00731	Bonnier,	Cournonterral	34088		"Commune non reconnue (article id=""DT34-01784"""
DT34-02297	Fertilières,	Cournonterral	34088		
DT34-03033	Labarthe,	Cournonterral	34088		
DT34-03698	Merdanson (Le),	Cournonterral	34088		
DT34-05416	Saint-Julian-de-Scafiac,	Cournonterral	34088		
DT34-05491	Saint-Martin-de-Scafiac,	Cournonterral	34088		
DT34-06197	Valette (Tuilerie-de-),	Cournonterral	34088		
DT34-01820	Crès (Le),	Galargues	34110		
DT34-03377	Magasin (Le),	Galargues	34110		
DT34-03933	Moulin Bas (Le),	Galargues	34110		
DT34-00256	Aygarelles,	Juvénal	non		
DT34-06027	Tivoli,	Laroque	34128		
DT34-05487	Saint-Martin-de-Podio,	Monts	non		
DT34-00457	Baucels,	Moulès	34174		
DT34-00005	Abbes (Les),	Mourcairol	non		
DT34-03147	Latour,	Mourcairol	non		
DT34-03418	Malou (La),	Mourcairol	non		
