Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-00003,"Abbaye (l’),","ferme, commune du Grand-Pressigny.",Grand-Pressigny
DT37-00012,"Abilly,","commune du canton de la Haye, arrondissement de Loches,",Haye
DT37-00014,"Abime (ravin et courance de l’),","près de Perrières, commune de Perrusson.",Perrières
DT37-00039,"Aigremont,","métairie, paroisse de Saint-Benoît-du-Lac-Mort, est mentionnée dans un acte de 1580.",Saint-Benoît-du-Lac-Mort
DT37-00042,"l’Égronne,","ruisseau, prend sa source près de Cléré-du-Bois (Indre), passe dans les communes d’Obterre (Indre), Charnizay (Indre-et-Loire), le Petit-Pressigny, et se jette dans le Remillon.",Obterre
DT37-00042,"l’Égronne,","ruisseau, prend sa source près de Cléré-du-Bois (Indre), passe dans les communes d’Obterre (Indre), Charnizay (Indre-et-Loire), le Petit-Pressigny, et se jette dans le Remillon.",Petit-Pressigny
DT37-00064,"Aireau des Baudrées,","ferme, commune de Cinq-Mars ;",Cinq-Mars
DT37-00072,"Aireau des Marquets (l’),","ferme, commune de Saint-Michel-sur-Loire.",Saint-Michel-sur-Loire
DT37-00074,"Aireau-du-Bois (l’),","ferme, commune de Cinq-Mars.",Cinq-Mars
DT37-00075,"le Chêne,",(dans l’ancienne paroisse de Sainte-Julitte).,Sainte-Julitte
DT37-00084,"Aitre-André-Meschin (l’),",paroisse de Joué.,Joué
DT37-00101,"Aitre des Chidaine,","paroisse de Saint-Cyr, mentionné dans un titre de 1578 ;",Saint-Cyr
DT37-00115,"la Gagneraie,","près de l’Aubraye, paroisse de Joué (1791).",Aubraye
DT37-00115,"la Gagneraie,","près de l’Aubraye, paroisse de Joué (1791).",Joué
DT37-00119,"Aitre-Peschereau (l’),","ferme, commune de Villedômer, dans le village de la Houssaie.",Houssaie
DT37-00126,"Ajoncs (les),","hameau, commune de Marigny,",Marigny
DT37-00137,"la Bournelle,","paroisse de Saint-Jean-sur-Indre,",Saint-Jean-sur-Indre
DT37-00145,"Allets (fontaine des),","commune de Saint-Branchs, près de la ferme des Allets et du ruisseau de Saint-Branchs.",Allets
DT37-00150,"Allier (l’),","ferme, commune du Grand-Pressigny ;",Grand-Pressigny
DT37-00163,"Amandiers (les),","ferme, commune de Saint-Cyr.",Saint-Cyr
DT37-00171,Amboise (Forêt d’).,"Elle s’étend sur les communes de Saint-Denis-hors, Lussault, Saint-Martin-le-Beau, Dierres, La Croix, Civray, Chisseaux, Chenonceau, Saint-Règle, Souvigny, Chissay et Vallières-les-Grandes (Loir-et-Cher). Autrefois la forêt de Montrichard en faisait partie.",Dierres
DT37-00171,Amboise (Forêt d’).,"Elle s’étend sur les communes de Saint-Denis-hors, Lussault, Saint-Martin-le-Beau, Dierres, La Croix, Civray, Chisseaux, Chenonceau, Saint-Règle, Souvigny, Chissay et Vallières-les-Grandes (Loir-et-Cher). Autrefois la forêt de Montrichard en faisait partie.",Croix
DT37-00171,Amboise (Forêt d’).,"Elle s’étend sur les communes de Saint-Denis-hors, Lussault, Saint-Martin-le-Beau, Dierres, La Croix, Civray, Chisseaux, Chenonceau, Saint-Règle, Souvigny, Chissay et Vallières-les-Grandes (Loir-et-Cher). Autrefois la forêt de Montrichard en faisait partie.",Civray
DT37-00171,Amboise (Forêt d’).,"Elle s’étend sur les communes de Saint-Denis-hors, Lussault, Saint-Martin-le-Beau, Dierres, La Croix, Civray, Chisseaux, Chenonceau, Saint-Règle, Souvigny, Chissay et Vallières-les-Grandes (Loir-et-Cher). Autrefois la forêt de Montrichard en faisait partie.",Chisseaux
DT37-00171,Amboise (Forêt d’).,"Elle s’étend sur les communes de Saint-Denis-hors, Lussault, Saint-Martin-le-Beau, Dierres, La Croix, Civray, Chisseaux, Chenonceau, Saint-Règle, Souvigny, Chissay et Vallières-les-Grandes (Loir-et-Cher). Autrefois la forêt de Montrichard en faisait partie.",Chissay
DT37-00172,"Ambray (la fontaine d’),","près de la ferme des Landes, commune de Louestault.",Landes
DT37-00174,"Amérique (le lieu de l’),","près de la ferme de la Tremerie, commune de Saint-Paterne.",Tremerie
DT37-00176,"les Trois-Petits-Arpents (le lieu des),",commune de Saint-Cyr.,Saint-Cyr
DT37-00194,"Angé, Angé-sur-Cher (Loir-et-Cher),","commune du canton de Montrichard, arrondissement de Blois,",Blois
DT37-00207,"Angleterre (le lieu d’),","commune de Chemillé-sur-Dême, près du chemin de Chemillé à Bois-Robert.",Chemillé
DT37-00208,"Anglicherie (le lieu de l’),","commune de Chemillé-sur-Indrois, près du moulin des Roches.",Roches
DT37-00219,"Lanjardière,","ferme, commune de la Membrolle, près de la Petite-Choisille.",Petite-Choisille
DT37-00222,"Sainte-Anne,","commune de La Riche-extra,",Riche-extra
DT37-00224,"Sainte-Anne (closerie de),",commune de La Riche-extra.,Riche-extra
DT37-00234,"Saint-Antoine (la Chapelle de),","commune de Marcé-sur-Esves, près du moulin de Liannay.",Marcé-sur-Esves
DT37-00234,"Saint-Antoine (la Chapelle de),","commune de Marcé-sur-Esves, près du moulin de Liannay.",Liannay
DT37-00257,"Arche (bois de l’),","près de la Chatonnière, commune de Charentilly.",Chatonnière
DT37-00270,"Arche de la Ganoire (le lieu de l’),","commune de Notre-Dame-d’Oë, près du Coteau.",Notre-Dame-d’Oë
DT37-00270,"Arche de la Ganoire (le lieu de l’),","commune de Notre-Dame-d’Oë, près du Coteau.",Coteau
DT37-00271,"Arche du Lude (l’),","hameau, commune de Joué,",Joué
DT37-00273,"Arche du Pin (l’),","ferme, commune de Joué.",Joué
DT37-00282,"Archers (le lieu des),","près du Vau-d’Enfer et du ruisseau de l’Étang, commune de Langeais.",Vau-d’Enfer
DT37-00310,Arènes (le lieu des).,"Un acte de 1740 donne ce nom à trois arpents de terre situés dans l’ancienne commune de Saint-Étienne-lez-Tours, près du pavé conduisant de Tours à Saint-Avertin.",Saint-Étienne-lez-Tours
DT37-00317,"Argenterie (Vinea apud),","près de la Roche, paroisse de Chanceaux-sur-Choisille (1469).",Roche
DT37-00342,"Arnière (l’),","ferme, commune de Marigny.",Marigny
DT37-00343,"Arnon (l’),","ferme, commune de la Celle-Guenand.",Celle-Guenand
