Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT37-00018,"Abysme (fief et hébergement de l’),",,Candes,,à Candes.
DT37-00024,"Ad his,",propriété,viguerie de Mougon,,propriété située dans la viguerie de Mougon et dans la paroisse de Parçay-sur-Vienne.
DT37-00030,"Aguillon (le petit),",ancien fief,châtellenie de l’Ile-Bouchard,,"ancien fief, relevant de la châtellenie de l’Ile-Bouchard."
DT37-00045,Aiguevive (forêt d’).,Forêt,"entre les paroisses de Ceré, de Faverolles, de Saint-Georges et d’Épeigné",,"Forêt qui s’étendait entre les paroisses de Ceré, de Faverolles, de Saint-Georges et d’Épeigné."
DT37-00052,"Ainulfus,",lieu,environs de Colombiers,,"lieu mentionné dans une charte de Marmoutier (1064) et qui était situé dans les environs de Colombiers (aujourd’hui Villandry). (Bibliothèque de Tours, fonds Salmon. Titres de Marmoutier, II)."
DT37-00147,"Alleux (les),",métairie,faubourg de Guigné,,"métairie située près du faubourg de Guigné (Gueigneium), paroisse de Beaulieu."
DT37-00166,"Amasse (l’),",rivière,au-dessus de Vallières-les-Grandes (Loir-et-Cher),,"rivière, prend sa source au-dessus de Vallières-les-Grandes (Loir-et-Cher), traverse les communes de Souvigny et de Saint-Règle, et se jette dans la Loire, près d’Amboise."
DT37-00207,"Angleterre (le lieu d’),",,Bois-Robert,,"commune de Chemillé-sur-Dême, près du chemin de Chemillé à Bois-Robert."
DT37-00223,Sainte-Anne (chapelle de).,,à Chinon,,"Elle était desservie dans la chapelle du Pont, à Chinon."
DT37-00229,"Anon (la fosse de l’),",,landes du Ruchard,,"située dans les landes du Ruchard, commune d’Avon."
DT37-00236,"Saint-Antoine (la Fontaine de),",,bourg de Saint-Antoine-du-Rocher,,dans le bourg de Saint-Antoine-du-Rocher.
DT37-00247,Aquilonarium ,forêt,"paroisses de Nazelles, Noizay, Reugny, Neuillé-le-Lierre, Autrèche, Montreuil et Saint-Ouen",,"Cette forêt s’étendait sur les paroisses de Nazelles, Noizay, Reugny, Neuillé-le-Lierre, Autrèche, Montreuil et Saint-Ouen."
DT37-00274,"Archeraye (l’), ou Larcheraye,",,paroisses de Druye et de Vallères,,paroisses de Druye et de Vallères.
DT37-00287,"Archevêque (Ruisseau de l’), ou le Filet,",bras du ruisseau,Feuillarde,,"bras du ruisseau du Filet, duquel il se détache à peu de distance de la Feuillarde, commune de Saint-Pierre-des-Corps."
DT37-00318,Argouges (le fief d’).,,paroisses de Noizay et de Vernou,,Il consistait en cens et rentes dans les paroisses de Noizay et de Vernou et relevait à foi et hommage simple de la châtellenie du Bas-Pocé et de la prévôté de la Basse-Rochère.
DT37-00360,"Arthèses (le lieu des),",,Saint-Germain,,"commune de Saint-Germain-sur-Vienne, près du chemin de la Gaudrée à Saint-Germain."
DT37-00363,Artis villa.,Villa,du côté de Truyes,,Villa probablement située du côté de Truyes ; mais aujourd’hui on n’en trouve aucune trace.
DT37-00369,"Asprées, ou Aspraies (le lieu des),",,Grammont,,"près de Tours, entre Grammont et Saint-Avertin."
DT37-00415,"Aubigny (ruisseau d’),",,Taille-du-Bois-aux-Bœufs,,"prend sa source dans la paroisse de Loché, près de la Perreterie, et passe dans la commune de Chemillé-sur-Indrois, où il se joint au ruisseau des étangs de Villiers, au lieu appelé la Taille-du-Bois-aux-Bœufs."
DT37-00460,"Aucard (Ile),",,en face de Tours,,"située dans la Loire, en face de Tours."
DT37-00488,"Auguis (les bois),",,Mans,,"commune de Neuillé-Pont-Pierre, près de la route de Tours au Mans."
DT37-00523,"Aumônerie (le lieu de l’),",,Paris,,"commune de Saint-Mars, près de la route de Nantes à Paris."
DT37-00529,"Aumônerie de Seuilly (l’),",domaine,moulin de Vrilly,,"domaine situé près du moulin de Vrilly, commune de Seuilly."
DT37-00532,"Aumônier (le fief de l’),",,bourg de Monnaie,,situé dans le bourg de Monnaie.
DT37-00620,"Azay-le-Féron,",commune,arrondissement du Blanc,,"commune du canton de Mézières-en-Brenne, arrondissement du Blanc (Indre),"
