Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT37-04271	Brouard (la forêt de), ou Brouart.	à la Belle-Étoile, commune de 	Non		
DT37-09535	Écluses (le lieu des),	Abbaye	Non		
DT37-20390	Pierrières d’Aigrefoin (le lieu des),	Aigrefoin	Non		
DT37-24779	Terres-Bordières (le lieu des),	Aigrefoin	Non		
DT37-08018	Corvées (le lieu des),	Aireau-de-la-Taille	Non		
DT37-01531	Bécassu (le lieu de),	Aireau-de-Loire	Non		
DT37-18489	Mouri (le lieu de),	Aireau-de-Loire	Non		
DT37-05685	Champ-de-la-Petite-Maison (le lieu du),	Aireau-des-Donaults	Non		
DT37-07537	Clos-Fouillot (le lieu du),	Aireau-des-Dubois	Non		
DT37-16340	Malinière (le lieu de la),	Aireau-des-Herpins	Non		
DT37-25527	Trois-Minées (le lieu des),	Aireau-Mumier	Non		
DT37-21932	Puits (le bois du),	Aître-aux-Jalles	Non		
DT37-03542	Bourdine (la fosse),	Aître-Dansault	Non		
DT37-11017	Fosses-des-Jards (le lieu des),	Aître-Dansault	Non		
DT37-22585	Renardières (le lieu des),	Aître-Fuseau	Non		
DT37-19208	Pajardrie (le lieu de la),	Ajoncs	Non		
DT37-10500	Fontaine-d’Aleth (la),	Aleth	Non		
DT37-00145	Allets (fontaine des),	Allets	Non		
DT37-08592	Croisette (le lieu de la),	Andigny	Non		
DT37-10913	Fosse-Moquée (le lieu de la),	Angelardière	Non		
DT37-17927	Morelles (le lieu des),	Angeliennerie	Non		
DT37-25969	Vallées (la croix des),	Angliers	Non		
DT37-20772	Planche-Billard (le lieu de la),	Anière	Non		
DT37-09596	Énaults (le lieu des),	Anière	Non		
DT37-04654	Cabernes (le lieu des),	Ansaudrie	Non		
DT37-10934	Fosse-Perrée (le lieu de la),	Ansaults	Non		
DT37-22194	Rabatières (le lieu des),	Ansigny	Non		
DT37-20163	Peux-Jacob (le lieu du),	Anzay	Non		
DT37-10252	Filliberts (le lieu des),	Archambaults	Non		
DT37-11999	Gautellière (la),	Archevêque	Non		
DT37-13187	Grenouilleau (le),	Archevêque	Non		
DT37-02655	Bois-du-Pavillon (le lieu du),	Argenson	Non		
DT37-21664	Prégoussière (le lieu de la),	Argrie	Non		
DT37-08755	Croix-de-l’Arlandière (le lieu de la),	Arlandière	Non		
DT37-16048	Maillerie (le lieu de la),	Armançay	Non		
DT37-05724	Champeigne (le lieu de la Petite-),	Arpentigny	Non		
DT37-25141	Touche-d’Artigny (le fief de la),	Artigny	Non		
DT37-12483	Gogant (le clos),	Artivière	Non		
DT37-19329	Parc-Beigné (le lieu du),	Artivière	Non		
DT37-23975	Saint-Marc (le clos de),	Artivière	Non		
DT37-07063	Chilloit (le lieu de),	Asnières	Non		
DT37-26036	Vanneries (le lieu des),	Asnières	Non		
DT37-26947	Vincendières (le lieu des),	Asnières	Non		
DT37-04004	Breton (le lieu de),	Aubarderie	Non		
DT37-06068	Chaperonnière (le mortier de la),	Aubier	Non		
DT37-12542	Gouffre (le lieu du),	Aubigny	Non		
