Article,Vedette,Type vedette,Candidat,INSEE,Définition,Problème
DT42-11356,"Sibriacensis, Sibranicensis",,"
",non,"— Subdivision du 
pagus Torvedonensis
.",
DT42-09571,"Pont-de-Saint-Germain-Laval,",,"
Aix
",non,"sur l'
Aix
.",
DT42-09572,"Pont de Saint Germain Laval de Pommiers,",,"
Aix
",non,"sur l'
Aix
.",
DT42-00130,"Annonaicensis, Annonagicensis","
","
Annonay
",non,"Cet 
ager
 dont le chef-lieu était 
Annonay
 (Ardèche) paraît avoir compris Roisey, Argental… Son étendue est mal connue.",
DT42-03872,"Croussapet,",ruisseau,"
Ardarèche
",non,"nom disparu d'un ruisseau appelé aussi l'
Ardarèche
, seul vocable qui ait persisté. Coule dans la commune de Jonzieux.",
DT42-11027,Saint-Rambert (Ruisseau de).,ruisseau,"
Bled
",non,"Ce ruisseau, formé par plusieurs petits cours d'eau, dont le Jareison, est surtout alimenté par un bief prenant l'eau du Bonson, au 
Bled
, près de Grillet, bief créé par les prieurs de Saint-Rambert, avant 1300, pour faire tourner leurs moulins et alimenter en eau cette petite ville qu'il traverse. Affluent du Bonson.",
DT42-03601,Crèches (Ruisseau des).,,"
Bois-des-Crèches
",non,"Source dans le 
Bois-des-Crèches
, commune des Noës. Affluent du Rouchain.",
DT42-09562,"Pont-de-Précieux,",,"
Curaize
",non,"sur la 
Curaize
.",
DT42-10250,"Richorey (Le),",ruisseau,"
Font-Choreyre
",non,"
ruisseau. Prend sa source à 
Font-Choreyre
, commune de La Valla-en-Gier, traverse ensuite la commune d’Izieux où il se jette dans le Janon.",
DT42-04139,"Dunerette (La),",ruisseau,"
Font-Dunière
",non,"
ruisseau. Prend sa source à 
Font-Dunière
 dans la commune de Saint-Régis-du-Coin qu'elle traverse, passe dans le département de la Haute-Loire où, grossie du Riotord, elle prend le nom de Dunière.",
DT42-03674,Creux-de-Pistrey (Ruisseau du).,,"
Fontmalard
",non,"Prend sa source à 
Fontmalard
, commune de Boisset-Saint-Priest. Affluent de la Mare.",
DT42-00062,"Albrius villa,",lieu indéterminé,"
Forez
",non,"
lieu indéterminé en 
Forez
.",
DT42-00063,"Albucennacus villa,",lieu indéterminé,"
Forez
",non,"
lieu indéterminé en 
Forez
, peut-être dans le canton de Feurs.",
DT42-00150,"Aquæ Segetæ,",localité indéterminée,"
Forez
",non,"
localité indéterminée, en 
Forez
. Il est possible qu'il s'agisse de Moingt qui possède de nombreux vestiges gallo-romains, en particulier les ruines importantes d'un théâtre, des sources d'eau minérales et où on a trouvé une inscription mutilée portant : Aqui [s].",
DT42-00161,"Arcoliacus,",lieu indéterminé,"
Forez
",non,"
lieu indéterminé en 
Forez
.",
DT42-00318,"Bagneriae,",lieu indéterminé,"
Forez
",non,"
lieu indéterminé en 
Forez
.",
DT42-01618,"Brociacus,",lieu détruit,"
Forez
",non,"
lieu détruit en 
Forez
, impossible à situer.",
DT42-01685,"Brunacus,",lieu détruit,"
Forez
",non,"
lieu détruit en 
Forez
, dont la position est impossible à déterminer.",
DT42-02953,"Chigneu,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
, dont la situation est inconnue.",
DT42-03443,"Costatiacus,","villa, lieu détruit","
Forez
",non,"
villa, lieu détruit en 
Forez
.",
DT42-05721,"Grainiacus,","villa, lieu détruit","
Forez
",non,"
villa, lieu détruit, en 
Forez
.",
DT42-06251,"Igniriaco,",lieu détruit,"
Forez
",non,"
lieu détruit, probablement en 
Forez
.",
DT42-06298,"Jahennacus,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
, dont la situation est inconnue et qui est cité avec Nervieux.",
DT42-06523,"Ladaniacus,",lieu détruit,"
Forez
",non,"
lieu détruit en 
Forez
 et dont la position est indéterminée. Signalé en 953 
(Cart. de Savigny, t. I, p. 60).",
DT42-06751,"Litgiacus,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
.",
DT42-06752,"Litiay,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
.",
DT42-06885,Lyonnais (Le).,Ancienne et vaste circonscription territoriale,"
Forez
",non,"
Ancienne et vaste circonscription territoriale dont Auguste Bernard a fixé l'étendue au 
x
e siècle par une carte (Cart. de Savigny, t. II). Le pagus ou comitatus Lugdunensis comprenait principalement, en ce qui concerne le département de la Loire : le 
Forez
 (ager Forensis), le Roannais (ager Rodanensis), le Jarez (ager Jarensis)… La formule consacrée par les actes des cartulaires de Savigny et de Cluny est généralement… in pago Lugdunense, in agro Forense… Rodanense… Jarense… Ces mentions disparaissent au 
xii
e siècle.",
DT42-07153,"Marcennacus villa,",lieu détruit,"
Forez
",non,"
lieu détruit en 
Forez
, dans l'ager Solobrensis.
      ",
DT42-07430,"Mediolanum,",localité,"
Forez
",non,"
localité non identifiée en 
Forez
.",
DT42-07589,"Minceu,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
, dans la région de Cleppé ?
      ",
DT42-07834,Monteniacus.,Localité,"
Forez
",non,"
Localité en 
Forez
.",
DT42-08360,"Nizecus,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
.",
DT42-08513,"Onisiacus,","villa, lieu détruit","
Forez
",non,"
villa, lieu détruit, en 
Forez
.",
DT42-08529,"Oriacus villa,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
.",
DT42-08980,"Pexolius,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
, impossible à situer.",
DT42-09697,"Posolis (Mansus ad),",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
.",
DT42-09897,"Punacus,",lieu détruit,"
Forez
",non,"
lieu détruit, en 
Forez
 
(Cart. de Savigny, t. I, p. 60).",
DT42-11171,"Sarmonacus,","villa, lieu détruit","
Forez
",non,"
villa, lieu détruit en 
Forez
, impossible à situer.",
DT42-11271,Ségusiaves.,tribu,"
Forez
",non,"Nom de la tribu qui habitait le 
Forez
 et le Lyonnais à l'époque gauloise.",
DT42-11404,"Solniacus,","villa, lieu détruit","
Forez
",non,"
villa, lieu détruit, en 
Forez
.",
DT42-11876,"Tromniacus,","villa, lieu détruit","
Forez
",non,"
villa, lieu détruit en 
Forez
. Impossible à situer dans l'ager Solobrensis.
      ",
DT42-11959,"Unisiacus,","villa, lieu détruit","
Forez
",non,"
villa, lieu détruit en 
Forez
, impossible à situer.",
DT42-09570,"Pont-de-Saint-Chamond,",,"
Gier
",non,"sur le 
Gier
.",
