Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT51-01554,"Cormontreuil,",,3,non,"
3e canton de Reims."
DT51-05938,"Taissy,",,3,non,"
3e canton de Reims."
DT51-06044,"Tourvoie,",moulin,"
Antenay
",51012,"
moulin, à 
Antenay
."
DT51-04995,"Planches (Les),",ancien écart,"
Aulnay-les-Planches
",51158,"
ancien écart d'
Aulnay-les-Planches
."
DT51-05212,"Racroche (La),",ancien écart,"
Beauvais
",non,"
ancien écart, uni à 
Beauvais
, commune de la Noue."
DT51-01676,"Cours-Louis (Les),",fief,"
Brandonvillers
",51080,"
fief, à 
Brandonvillers
."
DT51-02518,"Gascogne,",village détruit,"
Broussy
",non,"
village détruit dans les environs de 
Broussy
."
DT51-04097,"Moulin-à-Foulon (Le),",,"
Châlons
",51108,"à 
Châlons
 ; ce moulin était situé sur le Naud, à la Porte-Marne."
DT51-04634,"Naud (Le),",rivière,"
Châlons
",51108,"
rivière qui coule à travers 
Châlons
 et qui, à l'intérieur même de cette ville, joint ses eaux à celles du Maud."
DT51-00657,"Bouteillerie-aux-Bourgeois (La),",fief,"
Champagne
",non,"
fief, à 
Champagne
."
DT51-04032,"Motte-de-Mampus (La),",fief,"
Châtillon-sur-Marne
",non,"
fief mouvant de 
Châtillon-sur-Marne
."
DT51-06019,"Toulongeon,",fief,"
Cloyes
",51156,"
fief, à 
Cloyes
."
DT51-06054,"Travées (Les),",fief,"
Cloyes
",51156,"
fief, à 
Cloyes
."
DT51-04387,"Moulin-de-Pierre (Le),",moulin,"
Dommartin-l'Étrée
",51212,"
moulin, à 
Dommartin-l'Étrée
."
DT51-00837,"Cacquerel,",fief,"
Dormans
",non,"
fief mouvant de 
Dormans
."
DT51-04020,"Motte (La),",château,"
Dormans
",51217,"
château à 
Dormans
."
DT51-00077,"Armée (L'),",fief,"
Esternay
",51237,"
fief, à 
Esternay
."
DT51-00494,"Bois-Caillot (Le),",fief,"
Esternay
",non,"
fief relevant d'
Esternay
."
DT51-02424,"Fourchives (Les),",fief,"
Esternay
",non,"
fief relevant d'
Esternay
."
DT51-03129,"Lenharée (Fief de),",,"
Esternay
",non,"relevant d'
Esternay
."
DT51-05132,"Près-la-Boscherette,",fief,"
Esternay
",non,"
fief relevant d'
Esternay
."
DT51-03799,"Molarderie (La),",fief,"
Esternay-le-Franc
",51237,"
fief à 
Esternay-le-Franc
 
(hist. d'Esternay, p. 5)."
DT51-00817,"Bussy,",fief,"
Fismes
",51250,"
fief, à 
Fismes
."
DT51-02015,"Évry,",fief,"
Fismes
",51250,"
fief, à 
Fismes
."
DT51-02443,"Fours (Le Fief des),",,"
Fismes
",51250,"à 
Fismes
."
DT51-00463,"Blaise (La),",rivière,"
Gillancourt
",52221,"
rivière affluent de la Marne ; prend sa source à 
Gillancourt
 (Haute-Marne), pénètre dans le département de la Marne par le finage de Sainte-Livière et fait sa jonction avec la Marne en face de Larzicourt."
DT51-00685,"Brandouille (Ru de),",,"
Grigny
",non,"affluent de la Semoigne ; arrose 
Grigny
, hameau de la commune de Passy."
DT51-00111,"Auge-de-Chien (L'),",fief,"
Heiltz-le-Maurupt
",51289,"
fief, à 
Heiltz-le-Maurupt
."
DT51-04029,"Motte-Brouillard (La),",ferme détruite,"
Heiltz-le-Maurupt
",51289,"
ferme détruite vers 
Heiltz-le-Maurupt
."
DT51-00891,"Cave (La),",fief,"
Humbercourt
",non,"
fief, à 
Humbercourt
."
