Article	Vedette	Typologie	Localisation	INSEE_corrigé	Nom_corrigé	
DT52-01693	Germainelle (La),	ruisseau	Amorey			
DT52-02924	La Bourrique,	moulin, ancien bocard	Antigny-le-Grand	52029	Autigny-le-Grand	
DT52-00407	Bouloye (La),	ferme détruite	Arbigny	52015		
DT52-02122	Maison-Gaiffon (La),	ferme	Arbigny	52015		
DT52-03009	Preslots (Les),	moulin	Arbigny	52015		
DT52-00492	Bugnières,		Arc	52017		
DT52-00025	Amboise,	fief	Baudrecourt-la-Petite	52039		
DT52-01131	Dames (Les),	lieu détruit	Boulancourt			
DT52-00015	Aigremont,		Bourbonne	52060		
DT52-00075	Arnoncourt,		Bourbonne	52060		
DT52-00837	Chaufour (Le),	lieu dit	Bourbonne	52060		
DT52-01719	Goncourt,		Bourbonne	52060		
DT52-04023	Vieux-Fourneau (Le),	lieu dit	Bourbonne	52060		
DT52-00839	Chaufour (Le),	lieu dit	Brevanne	52074	Brevannes	
DT52-02612	Moulin-Neuf (Le),	moulin	Brevanne	52074	Brevannes	
DT52-01729	Grados,	moulin	Brevoine			
DT52-02823	Pâtis (Les),	ferme	Celle	52089	Celles	
DT52-00549	Carrières (Les),	maison isolée	Chalvraine	52095	Chalvraines	
DT52-01177	Dôme,	ferme	Chalvraine	52095	Chalvraines	
DT52-02084	Maison-Abandonnée (La),	lieu dit	Chalvraine	52095	Chalvraines	
DT52-02519	Moulin-à-Vent (Le),	maison isolée	Chalvraine	52095	Chalvraines	
DT52-03553	Saint-Roch,	chapelle	Champigneulle	52101	Champigneulles	
DT52-01900	Horre (La),	ruisseau	Chapelle-aux-Planches			
DT52-01975	Lassois (Le),	ancien 	Châtillon-sur-Seine			
DT52-00037	Andelot,	chef-lieu de canton	Chaumont	52121		
DT52-00062	Arc-en-Barrois,	chef-lieu de canton	Chaumont	52121		
DT52-00419	Bourmont,	chef-lieu de canton	Chaumont	52121		
DT52-00451	Bretenay,		Chaumont	52121		
DT52-00477	Brottes,		Chaumont	52121		
DT52-00548	Carrière-Roulot (La),	quartier	Chaumont	52121		
DT52-00737	Château-Paillot (Le),	quartier	Chaumont	52121		
DT52-00741	Châteauvillain,	chef-lieu de canton	Chaumont	52121		
DT52-01099	Croix-de-Mission (La),	lieu dit	Chaumont	52121		
DT52-01945	Jonchery,		Chaumont	52121		
DT52-01955	Juzennecourt,	chef-lieu de canton	Chaumont	52121		
DT52-02055	Lusy,		Chaumont	52121		
DT52-02691	Nogent-en-Bassigny,	chef-lieu de canton	Chaumont	52121		
DT52-02731	Notre-Dame-de-Bonne-Nouvelle,	chapelle détruite	Chaumont	52121		
DT52-03222	Saint-Blin,	chef-lieu de canton	Chaumont	52121		
DT52-03638	Semoutier,		Chaumont	52121		
DT52-01240	Espautères,	hameau détruit	Chavagne			
DT52-00359	Bonne-Maison (La),	lieu dit	Choignes	52125	Choigne	
DT52-03710	Teurie (La),	lieu dit	Cirey-le-Château	52129		
DT52-00209	Belle-Fontaine (La),	ferme	Crête	52061		! Vedette non identifiée comme commune
DT52-00405	Boulerot (Le),	ferme	Crête	52061		
DT52-00776	Châtelot (Le),	lieu dit	Crête	52061		
DT52-01430	Forge (La),	lieu dit	Crête	52061		
DT52-03802	Tuilerie (La),	maison isolée	Crête	52061		
DT52-04004	Vieille-Crête (La),	ferme	Crête	52061		
DT52-03877	Val-de-la-Joux,	hameau et château	Cultru			
DT52-01469	Forges (Les),	lieu dit	Dammartin-le-Saint-Père	52172	Dommartin-le-Saint-Père	
DT52-01929	Jaillery,	lieu dit	Dommartin	52170	Dommarien	
DT52-00428	Bouverie (La),	lieu dit	Domremy	52173		
DT52-00789	Châtillon,	lieu dit	Domremy	52173		
DT52-01110	Croix-Saint-Louis (La),	lieu dit	Domremy	52173		
DT52-01618	Fourneaux (Les),	lieu dit	Domremy	52173		
DT52-03090	Reugy,	lieu dit	Domremy	52173		
DT52-03805	Tuilerie (La),	lieu dit	Domremy	52173		
DT52-04065	Villainecourt,	village détruit	Domremy	52173		
DT52-01000	Corbeville,	lieu dit	Dongeux	52175	Donjeux	
DT52-00027	Ambonville,		Doulevant	52178		
DT52-00073	Arnancourt,		Doulevant	52178		
DT52-00165	Baudrecourt,		Doulevant	52178		
DT52-00276	Beurville,		Doulevant	52178		
DT52-00317	Blumerey,		Doulevant	52178		
DT52-00437	Bouzancourt,		Doulevant	52178		
DT52-00440	Brachay,		Doulevant	52178		
DT52-00696	Charmes-en-l'Angle,		Doulevant	52178		
DT52-00698	Charmes-la-Grande,		Doulevant	52178		
DT52-00928	Cirey-sur-Blaise,		Doulevant	52178		
DT52-01056	Courcelles-sur-Blaise,		Doulevant	52178		
DT52-01180	Dommartin-le-Saint-Père,		Doulevant	52178		
DT52-01323	Flammerécourt,		Doulevant	52178		
DT52-01992	Leschères,		Doulevant	52178		
DT52-02317	Mertrud,		Doulevant	52178		
DT52-02764	Nully,		Doulevant	52178		
DT52-03759	Trémilly,		Doulevant	52178		
DT52-04094	Villiers-au-Chêne,		Doulevant	52178		
DT52-02393	Montier de la Motte (Le),	lieu dit	Droyes	52180	Droye	
DT52-01570	Fourneau (Le),	lieu dit	Folie			
DT52-01768	Grange (La),	ferme	Fontaine	52203		
DT52-03589	Saint-Vincent,	lieu dit	Fresne	52208		
DT52-03694	Tannerie (La),	lieu dit	Fresne	52208		
DT52-01392	Fontaine-de-Sauce (La),	écart	Frette	70122	Frettes	
DT52-04123	Voisine (La),	ferme	Frette	70122	Frettes	
DT52-01493	Fouillot (Le),	moulin et bois disparus, ancien fief	Frôcourt			
DT52-00257	Bernard,	ferme	Gouttes			
DT52-00189	Beautemps,	moulin	Graffigny-Chemin	52227		! Insee code déjà inséré par Camille
DT52-00649	Chapelle (La),	lieu dit	Graffigny-Chemin	52227		! Insee code déjà inséré par Camille
DT52-00850	Chaufour (Le),	lieu dit	Graffigny-Chemin	52227		! Insee code déjà inséré par Camille
DT52-00891	Chemin,	hameau	Graffigny-Chemin	52227		! Insee code déjà inséré par Camille
DT52-01091	Croix-Bénite (La),	lieu dit	Graffigny-Chemin	52227		! Insee code déjà inséré par Camille
DT52-02533	Moulin-à-Vent (Le),	lieu dit	Graffigny-Chemin	52227		! Insee code déjà inséré par Camille
DT52-01105	Croix-des-Allemands (La),	lieu dit	Han			
DT52-01673	Gagnage-du-Baron (Le),	fief	Harmand	52251		
DT52-01437	Forge (La),	lieu dit	Heuilley-Cothon	52239	Heuilley-Coton	
DT52-01509	Foultot (Le),	colline	Heuilley-Cothon	52239	Heuilley-Coton	
DT52-01575	Fourneau (Le),	lieu dit	Heuilley-Cothon	52239	Heuilley-Coton	
DT52-02671	Nauroy,	colline	Heuilley-Cothon	52239	Heuilley-Coton	
DT52-01577	Fourneau (Le),	lieu dit	Isômes	52249		
DT52-02673	Neufchateau,	lieu dit	Isômes	52249		
DT52-00793	Châtillon,	lieu dit	Longchamp-lez-Millières	52291		
DT52-02743	Notre-Dame-de-Presle,	ferme et chapelle	Marcilly-lez-Langres	52311		
DT52-00857	Chaufour (Le),	lieu dit	Maulain	52332		! Vedette non identifiée (corrigé)
DT52-01026	Couelle (La),	lieu dit	Maulain	52332		
DT52-03329	Saint-Félix,	bois et fontaine	Maulain	52332		
DT52-03456	Saint-Martin,	lieu dit	Maulain	52332		
DT52-03865	Valangin,	fief	Maulain	52332		
DT52-01292	Fenderie (La),	lieu dit	Menois	52306	Manois	
DT52-01769	Grange (La),	lieu dit	Meslay	52318	Melay	
DT52-03683	Suizy,	ferme détruite	Mesnil			
DT52-00110	Bainvaux,	ferme détruite	Meures	52322	Meure	
DT52-02796	Outremont,	ferme	Mont-Saon	52469	Montsaon	
DT52-00530	Camp Romain (Le),	lieu dit	Montamary			
DT52-00043	Angoulancourt,	lieu détruit	Montigny	52311		
DT52-01351	Folie (La),	lieu dit	Montigny	52311		
DT52-01947	Joncourt,	lieu dit	Montigny	52311		
DT52-02686	Niécourt,	lieu dit	Montigny	52311		
DT52-00303	Blanchart,	étang	Morimond			
DT52-01248	Estavillon,	chapelle	Morimond			
DT52-03270	Sainte-Aragone,	chapelle détruite	Morins			
DT52-03193	Saint-Alarmont,	fief	Mothe			
DT52-03513	Saint-Père,	pont détruit	Mothe			
DT52-00861	Chaufour (Le),	lieu dit	Neuville-aux-Bois	52288	Neuville-au-Bois	
DT52-02937	Plessis (Le),	lieu dit	Neuville-aux-Bois	52288	Neuville-au-Bois	
DT52-01644	Borne de),		Pelongerot			
DT52-01481	Forteresse (La),	lieu dit	Perrusse	52385	Perrusses	
DT52-02651	Moulins (Les),	lieu dit	Perrusse	52385	Perrusses	
DT52-02548	Moulin-à-Vent (Le),	maison isolée	Plesnoy	52392	Plénoy	
DT52-00067	Arcourt,	lieu dit	Ravennefontaine	52332		
DT52-00661	Chapelle (La),	lieu dit	Ravennefontaine	52332		
DT52-03033	Prousey,	lieu dit	Ravennefontaine	52332		
DT52-03039	Pugey,	lieu dit	Ravennefontaine	52332		
DT52-00049	Antinoche,	source	Remonvaux			
DT52-00408	Bouloye (La),	ferme détruite	Remonvaux			
DT52-00706	Charmois (Le),	ferme	Rouelle	52437	Rouelles	
DT52-00778	Châtelot (Le),	lieu dit	Rouvre	52439		
DT52-01356	Folie (La),	lieu dit	Rouvre	52439		
DT52-02303	Mégny (Le),	lieu dit	Rouvre	52439		
DT52-00033	Ancienne cordellerie (L'),	ferme	Saint-Dizier	52448		! Vedette non identifiée comme commune
DT52-00211	Belle-Maison (La),	lieu dit	Saint-Dizier	52448		
DT52-00259	Bernardine (La),	maison isolée	Saint-Dizier	52448		
DT52-00271	Bettancourt-la-Ferrée,		Saint-Dizier	52448		
DT52-00466	Briquerie (La),	lieu dit	Saint-Dizier	52448		
DT52-00580	Chamouilley,		Saint-Dizier	52448		
DT52-00614	Chancenay,		Saint-Dizier	52448		
DT52-00738	Château-Renard (Le),	écart	Saint-Dizier	52448		
DT52-00953	Clos-Mortier (Le),	haut fourneau	Saint-Dizier	52448		
DT52-01003	Cordellerie (La),	usine	Saint-Dizier	52448		
DT52-01072	Crassées (Les),	fourneau	Saint-Dizier	52448		
DT52-01203	Éclaron,		Saint-Dizier	52448		
DT52-01357	Folie (La),	lieu dit	Saint-Dizier	52448		
DT52-01466	Forge-Neuve (La),	forge	Saint-Dizier	52448		
DT52-01487	Fosse-Cadet (La),	usine	Saint-Dizier	52448		
DT52-01491	Foudroyante (La),	ancienne forge	Saint-Dizier	52448		
DT52-01533	Four (Le),	lieu dit	Saint-Dizier	52448		
DT52-01756	Grand-Pont (Le),	maison isolée	Saint-Dizier	52448		
DT52-01849	Hallignicourt,		Saint-Dizier	52448		
DT52-01893	Hoéricourt,		Saint-Dizier	52448		
DT52-01913	Humbécourt,		Saint-Dizier	52448		
DT52-02045	Loubert (La),	ferme	Saint-Dizier	52448		
DT52-02261	Marnaval,	château et haut fourneau	Saint-Dizier	52448		
DT52-02345	Moëlain,		Saint-Dizier	52448		
DT52-02684	Neuville-au-Pont (La),		Saint-Dizier	52448		
DT52-02838	Pénissières (Les),	ferme	Saint-Dizier	52448		
DT52-02856	Perthe,		Saint-Dizier	52448		
DT52-03127	Roche-sur-Marne,		Saint-Dizier	52448		
DT52-03314	Sainte-Marie,	écart	Saint-Dizier	52448		
DT52-03413	Saint-Lazare,	chapelle détruite	Saint-Dizier	52448		
DT52-03461	Saint-Martin,	lieu dit	Saint-Dizier	52448		
DT52-03501	Saint-Nicolas,	chapelle détruite	Saint-Dizier	52448		
DT52-03505	Saint-Pantaléon,	ferme	Saint-Dizier	52448		
DT52-03575	Saint-Thiébaud,	fourneau	Saint-Dizier	52448		
DT52-03726	Tivoli,	maison isolée	Saint-Dizier	52448		
DT52-03837	Tuilerie (La),	lieu dit	Saint-Dizier	52448		
DT52-03872	Valcourt,		Saint-Dizier	52448		
DT52-04003	Vieille-Briquerie (La),	lieu dit	Saint-Dizier	52448		
DT52-04095	Villiers-en-Lieu,		Saint-Dizier	52448		
DT52-01597	Fourneau (Le),	lieu dit	Saint-Loup	52450		
DT52-02153	Maison-Rouge (La),	lieu dit	Saint-Loup	52450		
DT52-02636	Moulin-Pont (Le),	lieu dit	Saint-Thiébault	52455	Saint-Thiébaud	
DT52-03204	Saint-Antoine et Saint-Évrard,	chapelle détruite	Servin			
DT52-02553	Moulin-à-Vent (Le),	lieu dit	Thol	52489		
DT52-02161	Maisons-Rouges (Les),	lieu dit	Velles	52513		
DT52-00692	Charles,	moulin détruit	Vernoy	52275	Lavernoy	! la Vernoy est remplacée par Lavernoy
DT52-00525	Calvaire (Le),	lieu dit	Ville-aux-Bois	52276	Ville-au-Bois	
DT52-00869	Chaufour (Le),	lieu dit	Ville-aux-Bois	52276	Ville-au-Bois	
DT52-00467	Briquerie,	lieu dit	Villiers-aux-Bois	52497	Villiers-au-Bois	
DT52-00803	Châtillon,	lieu dit	Villiers-aux-Bois	52497	Villiers-au-Bois	
DT52-01370	Folie (La),	lieu dit	Villiers-aux-Bois	52497	Villiers-au-Bois	
DT52-01822	Grigny,	lieu dit	Villiers-aux-Bois	52497	Villiers-au-Bois	
DT52-03843	Tuilerie (La),	lieu dit	Villiers-aux-Bois	52497	Villiers-au-Bois	
DT52-00255	Bermouche,	ferme	Villiers-aux-Chênes	52178	Villiers-au-Chêne	
