Vedette Longue (>30chars)
out:DT54-00150 Bansey (Ruisseau de), de l’Étang ou 
out:DT54-00162 Baraques-du-Bois-de-Chêne (Les),
out:DT54-00163 Baraques-du-Bois-de-Chêne-d’en-Haut (Les),
out:DT54-00292 Bergerie (Vieille tour à Oron nommée la),
out:DT54-00336 Blanche-Fontaine (Ruisseau de) ou 
out:DT54-00360 Bois-du-Chauffeur (Ruisseau du) ou 
out:DT54-00389 Borde (Chemin du Pâquis-de-la-),
out:DT54-00409 Bouge (Ruisseau du Moulin du) ou 
out:DT54-00471 Brémoncourt (Ruisseau de la Forêt de),
out:DT54-00532 Calvelin (Ruisseau de), de Bréhain ou 
out:DT54-00534 Cambreholz-la-Grande (vulgairement 
out:DT54-00540 Canal-de-la-Flotte (Ruisseau du) ou 
out:DT54-00611 Champey (Ruisseau du Moulin de),
out:DT54-00638 Chapelle-Saint-Laurent (Chemin de la),
out:DT54-00697 Châtellenie d’Albestroff (Forêt de la),
out:DT54-00698 Châtellenie de la Garde (Forêt de la),
out:DT54-00702 Châtillon (Ruisseau du Bois de),
out:DT54-00757 Cimetière de Savonnières (Ancien),
out:DT54-00759 Cimetière des Juifs de Lorraine,
out:DT54-00780 Coie (Ruisseau du Moulin-de-la-),
out:DT54-00821 Corvée-d’Abrival (Chemin de la),
out:DT54-00822 Corvée-d’Allemagne (Chemin de la),
out:DT54-00823 Corvée-d’Assenoncourt (Chemin de la),
out:DT54-00824 Corvée-de-Commet (Chemin de la),
out:DT54-00825 Corvée-de-Frémonville (Chemin de la),
out:DT54-00826 Corvée-de-Mérigny (Chemin de la),
out:DT54-00827 Corvée-de-Misère (Chemin de la),
out:DT54-00828 Corvée-des-Moines (Chemin de la),
out:DT54-00829 Corvée-des-Seigneurs (Ruelle de la),
out:DT54-00835 Corvées-Saint-Gengoult (Chemin des),
out:DT54-00890 Craincourt (La Maison forte de),
out:DT54-00893 Cras (Ruisseau de la Pointe-des-),
out:DT54-00909 Croix (Chemins du Champ de-la-),
out:DT54-00924 Croix-des-Allemands (Chemin de la),
out:DT54-00928 Croix-du-Tonnerre (Sentier de la),
out:DT54-00932 Croix-le-Meunier (Chemins de la),
out:DT54-00939 de la Rouge-Croix (Chemins de la),
out:DT54-00941 Croix-Saint-Claude (Chemins de la),
out:DT54-00943 Croix-Saint-Martin (Chemins de la),
out:DT54-00944 Croix-Saint-Nicolas (Chemins de la),
out:DT54-00945 Croix-Saint-Privat (Chemin de la),
out:DT54-00946 Croix-Saint-Urbain (Chemin de la),
out:DT54-00947 Croix-Son-Altesse (Chemin de la),
out:DT54-00996 Devant-Humbepaire-Roche-de-la-Grandeur,
out:DT54-01070 Einville-au-Jard (à cause du jardin ou du parc dépendant de son château ducal),
out:DT54-01122 Étang (Ruisseau de l’), de Saint-Jean ou 
out:DT54-01124 Étang-de-Villers (Ruisseau de l’).
out:DT54-01229 Fontaine-aux-Fées (Chemin de la),
out:DT54-01230 Fontaine-aux-Pierres (Chemin de la),
out:DT54-01234 Fontaine-de-Grémecey (Ruisseau de la),
out:DT54-01239 Fontaine-d’Ormes (Ruisseau de la),
out:DT54-01240 Fontaine-du-Bon-Père (Chemin de la),
out:DT54-01242 Fontaine du Bon-Père-de-Mattaincourt,
out:DT54-01244 Fontaine-du-Renard (Ruisseau de la) ou 
out:DT54-01247 Fontaine-Mariotte (Ruisseau de la),
out:DT54-01250 Fontaine-Saint-Aignan (Chemin de la),
out:DT54-01252 Fontaine-Sainte-Barbe (Chemin de la),
out:DT54-01284 Fosse (Ruelle des Champs de la),
out:DT54-01421 Goutte-Ganiche (Ruisseau de la),
out:DT54-01435 Grande-Fontaine (Ruisseau de la),
out:DT54-01449 Grande-Voile (La), Grande-Valle ou 
out:DT54-01486 Grange (Ruisseau du Bas-de-la-),
out:DT54-01489 Grange-aux-Dîmes (Chemin de la),
out:DT54-01493 Grave (Ruisseau de l’Étang-de-),
out:DT54-01499 Grémecey (Ruisseau de la Fontaine-de-),
out:DT54-01542 Guittveiher (Ruisseau de l’Étang-de-),
out:DT54-01557 Haie-des-Malades (Chemin de la),
out:DT54-01721 Hesselbrounn-Graben (Ruisseau de) ou 
out:DT54-01746 Homme-Mort (Chemin de la Haie de l’),
out:DT54-01773 Hültenhausen (on prononce vulgairement 
out:DT54-01835 Justice (Chemin de la Vieille-),
out:DT54-01840 Justice (Sentier de la Haye-de-la-),
out:DT54-01959 Lesse (Ruisseau du Petit-Moulin de),
out:DT54-02079 Maison-Neuve-de-la-Tranchée (La),
out:DT54-02229 Métairies-de-Saint-Quirin (Les),
out:DT54-02389 Moulin-de-Saint-Jean (Ruisseau du) ou 
out:DT54-02391 Moulin-des-Champs (Ruisseau du),
out:DT54-02415 Moulins-de-Bouxières (Ruisseau des),
out:DT54-02481 Neuveville-derrière-Foug (La) ou 
out:DT54-02552 Notre-Dame-de-la-Bonne-Fontaine,
out:DT54-02579 Onze-Mille-Vierges (Chapelle des),
out:DT54-02727 Poirier-de-Jérusalem (Sentier du),
out:DT54-02740 Pont-de-l’Eau-Salée (Chemin du),
out:DT54-02791 Pré-sous-le-Rupt (Ruisseau du) ou 
out:DT54-02802 Prés-Saint-Thiébaut (Ruisseau des),
out:DT54-02944 Rivière-de-Meuse (Doyenné de la).
out:DT54-03028 Ruelle Métropolitaine (Chemin dit la),
out:DT54-03057 Salines de Rosières-Varangéville,
out:DT54-03058 Salines de Saint-Nicolas-Varangéville,
out:DT54-03107 Saxon-Sion (on prononce vulgairement 
out:DT54-03184 Spada (Ruisseau de l’Étang-de-),
out:DT54-03409 Saint-Quirin (Haute Chapelle de),
out:DT54-03428 Saint-Thiébaut et Sainte-Marguerite-de-l’Étanche,
out:DT54-03517 Télégraphe de Château-Salins (Le),
out:DT54-03534 Tête-de-la-Vieille-Marcarerie (La),
out:DT54-03585 Tour-des-Seigneurs-d’Anglure (La),
out:DT54-03589 Tour-Seigneuriale-d’Amelécourt (La),
out:DT54-03627 Tuilerie de la Maison-de-Briques (La),
out:DT54-03630 Tuilerie-de-Ville-en-Vermois (La),
out:DT54-03631 Tuilerie du Haut-de-la-Grande-Maison (La),
out:DT54-03732 Verreries-de-Saint-Quirin (Les).
out:DT54-03758 Vierge-de-Rinchard (Chemin de la),
out:DT54-03844 Voie des Censiers, Voie des Maréchaux,
