Article	Vedette	Typologie	Localisation	INSEE_corrigé	Nom_corrigé	
DT54-00390	Sentiers de la),		Aboncourt-en-Vosge	54003		
DT54-01175	Chemin Ferré,	chemins	Aboncourt-en-Vosge	54003		
DT54-00932	Croix-le-Meunier (Chemins de la),		Aboncourt-sur-Seille	57002		
DT54-02510	Nolleu,	scierie	Abreschviller	57003		
DT54-03767	Vieux-Chemin (Le),	chemins	Aître	54289		
DT54-03596	Treille (La),	écart	Ancerville	54014	Ancerviller	
DT54-00148	Ban-le-Moine,	seigneurie	Angomont, Bréménil et Fenneviller	54017 / 54097 / 54191		
DT54-00625	Chantraine (Ruisseau de),		Armaucourt, Villers et Moivron	54021 / 54577 / 54372		
DT54-00089	la Fontaine-des-Fées,	ruisseau	Aroffe	88013		
DT54-00580	Chambille,	moulin (haute justice)	Arraye	54024		
DT54-01279	du Vieil-Étang,		Bathelémont	54050		
DT54-01450	Grand-Fontaine (Ruisseau de),		Blainville	54076		
DT54-03204	Saint-Antoine,	ferme	Blainville	54076		
DT54-00658	Charmois,	ferme	Bonviller	54083		! commune non identifiée par Camille (article DT54-00381). Il faut y corriger « commune de Lunéville-Nord » en « canton de Lunéville-Nord »
DT54-01435	Grande-Fontaine (Ruisseau de la),		Bonviller	54083		
DT54-01561	Haie-Sarrazin (Chemins de la),		Bonviller	54083		
DT54-02680	Petite-Rochelle (La),	écart (fief)	Bonviller	54083		
DT54-02948	Roche-de-la-Justice (La),	ferme	Bonviller	54083		
DT54-02951	Rochelle (La),	écart	Bonviller	54083		
DT54-02433	Mulcey (Ruisseau du Moulin de),		Bride	NON		
DT54-03062	Salm	ferme et ch. ruiné	Broque	67066		
DT54-03743	Vicherey		Châtenois	88095		
DT54-00454	Brabant (Chemins),		Choloy	54128		
DT54-03399	Saint Pierre,	hameau (ermitage)	Choloy	54128		
DT54-03662	Val-de-Passey,	hameau	Choloy	54128		
DT54-00358	Bois-de-Thou,	ferme	Cirey	54129		
DT54-00644	Charbonnière (La),	ferme	Cirey	54129		
DT54-01658	Haute-Seille	hameau et usine	Cirey	54129		
DT54-01886	Ladrerie (La),	bois	Cirey	54129		
DT54-02610	Papeterie (La),	écart	Cirey	54129		
DT54-03779	Vigne (La),	ferme	Cirey	54129		
DT54-02854	Raies-Montant (Aux),	canton	Colombey-les-Belles	54135		
DT54-00886	Couvay (Ruisseau du Gué-de-),		Couvay	NON		
DT54-00203	Bassing,		Dieuze	57177		! commune non identifiée par Camille (article DT54-01008)
DT54-00317	Bidestroff,		Dieuze	57177		
DT54-00334	Blanche-Église,		Dieuze	57177		
DT54-00423	Bourg-Altroff,		Dieuze	57177		
DT54-00531	Calvaire (Le),	hameau	Dieuze	57177		
DT54-00551	Capucins (Les),	ancienne chapelle	Dieuze	57177		
DT54-00958	Cutting,		Dieuze	57177		
DT54-01025	Domnom,		Dieuze	57177		
DT54-01372	Gelucourt		Dieuze	57177		
DT54-01525	Guébestroff,		Dieuze	57177		
DT54-01527	Guéblange,		Dieuze	57177		
DT54-01528	Guébling,		Dieuze	57177		
DT54-01530	Guénestroff,		Dieuze	57177		
DT54-01856	Kerprich-lez-Dieuze,		Dieuze	57177		
DT54-01957	Lessart,	métairie	Dieuze	57177		
DT54-01977	Lidrezing,		Dieuze	57177		
DT54-01980	Lindre-Basse,		Dieuze	57177		
DT54-01981	Lindre-Haute,		Dieuze	57177		
DT54-02340	Morsac-Saint-Jean,	forêt	Dieuze	57177		
DT54-02432	Mulcey,		Dieuze	57177		
DT54-02822	Produits chimiques,	usine	Dieuze	57177		
DT54-02982	Rorbach		Dieuze	57177		
DT54-03360	Saint-Médard,		Dieuze	57177		
DT54-03513	Tarquinpol,		Dieuze	57177		
DT54-03632	Tuileries (Les),	usine	Dieuze	57177		
DT54-03727	Vergaville,		Dieuze	57177		
DT54-03915	Zarbeling,		Dieuze	57177		
DT54-03923	Zommange,		Dieuze	57177		
DT54-00166	Barbezieux,	écart	Domêvre-sur-Vezouse	54161		
DT54-01242	Fontaine du Bon-Père-de-Mattaincourt,	fontaine ferrugineuse	Domêvre-sur-Vezouse	54161		
DT54-01280	Fosse (Chemins de la),		Domêvre-sur-Vezouse	54161		
DT54-01555	Haie-de-Mignéville (La),	canton	Domêvre-sur-Vezouse	54161		
DT54-01803	Jardin-d’Angleterre,	canton	Domêvre-sur-Vezouse	54161		
DT54-03015	Route des Prêtres (La),	chemin	Domêvre-sur-Vezouse	54161		
DT54-01134	Eulmont,	hameau (avec un fief)	Dommarie	54164		
DT54-00361	Bois-le-Chat (Le),	écart	Écrouves	54174		
DT54-00664	Charuettes (Les),	fontaine ferrugineuse	Écrouves	54174		
DT54-00707	Choatel,	moulin	Écrouves	54174		
DT54-00801	Concorde (La),	écart	Écrouves	54174		
DT54-01053	Écluses (Les),	maisons éclusières	Écrouves	54174		
DT54-01398	Girouin,	moulin	Écrouves	54174		
DT54-01453	Grand-Ménil,	hameau	Écrouves	54174		
DT54-01457	Grand-Moulin (Le),	moulin	Écrouves	54174		
DT54-01836	sentiers de la),		Écrouves	54174		
DT54-01838	Justice (La),	écart	Écrouves	54174		
DT54-02395	Moulin du Haut (Le),	moulin	Écrouves	54174		
DT54-02635	Patte (La),	moulin	Écrouves	54174		
DT54-02725	Point-du-Jour (Le),	ferme	Écrouves	54174		
DT54-03123	Scierie (La),	usine	Écrouves	54174		
DT54-03464	Sainte-Catherine,	moulin	Écrouves	54174		
DT54-03701	Vaux,	moulin	Écrouves	54174		
DT54-03767	Vieux-Chemin (Le),	chemins	Écrouves	54174		
DT54-03862	Voivre (La),	territoire	Essey	54182		
DT54-01657	Haute-Maison (La),	ancienne cense	Euzevin	54187	Euvezin	
DT54-00858	Couloir (Le),		Flavigny	54196		
DT54-02227	Mesnil (Le),	écart	Flavigny	54196		
DT54-02964	Romain,	hameau	Flavigny	54196		
DT54-03170	Son-Altesse (Chemin de),		Flavigny	54196		
DT54-03794	Ville-Basse (La),	sections	Flavigny	54196		
DT54-03796	Ville-Haute (La),	sections	Flavigny	54196		
DT54-03858	Voivre (La),	écart	Flavigny	54196		
DT54-02802	Prés-Saint-Thiébaut (Ruisseau des),		Fréhaut	NON		
DT54-02673	Petit-Vezin (Le),	hameau ou village détruit	Grand-Vezin	NON		
DT54-00990	Destrich		Gros-Tenquin	57262		
DT54-02338	Morhange		Gros-Tenquin	57262		
DT54-02500	Nied,	ferme	Hannoncourt	57292	Hannocourt	
DT54-02494	Niderhoff (Ruisseau de),		Hattigny, Fraquelfing, Niderhoff	57302 / 57233 / 57504		
DT54-01182	Feuillée (La),	hameau	Laloeuf	54291		
DT54-00077	Anthelupt,		Lunéville-Nord	54329		
DT54-00222	Bauzemont,		Lunéville-Nord	54329		
DT54-00319	Bienville-la-Petite,		Lunéville-Nord	54329		
DT54-00381	Bonviller,		Lunéville-Nord	54329		
DT54-00867	Courbessaux,		Lunéville-Nord	54329		
DT54-00898	Crévic,		Lunéville-Nord	54329		
DT54-00995	Deuxville,		Lunéville-Nord	54329		
DT54-01036	Drouville,		Lunéville-Nord	54329		
DT54-01070	Einville-au-Jard	bourg	Lunéville-Nord	54329		
DT54-01190	Flainval,		Lunéville-Nord	54329		
DT54-01735	Hoëville,		Lunéville-Nord	54329		
DT54-01771	Hudiviller,		Lunéville-Nord	54329		
DT54-02091	Maixe		Lunéville-Nord	54329		
DT54-02870	Raville-sur-Sanon,		Lunéville-Nord	54329		
DT54-03142	Serres,		Lunéville-Nord	54329		
DT54-03169	Sommerviller,		Lunéville-Nord	54329		
DT54-03670	Valhey,		Lunéville-Nord	54329		
DT54-03830	Vitrimont,		Lunéville-Nord	54329		
DT54-00281	Bénaménil,		Lunéville-Sud-Est	54329		
DT54-00622	Chanteheux,		Lunéville-Sud-Est	54329		
DT54-00735	Chenevières,		Lunéville-Sud-Est	54329		
DT54-00901	Crion,		Lunéville-Sud-Est	54329		
DT54-00903	Croismare		Lunéville-Sud-Est	54329		
DT54-01699	Hénaménil,		Lunéville-Sud-Est	54329		
DT54-01821	Jolivet,		Lunéville-Sud-Est	54329		
DT54-02141	Manonviller,		Lunéville-Sud-Est	54329		
DT54-02143	Marainviller,		Lunéville-Sud-Est	54329		
DT54-02279	Moncel-sur-Meurthe,		Lunéville-Sud-Est	54329		
DT54-02358	Mouacourt,		Lunéville-Sud-Est	54329		
DT54-02480	Neuveville-aux-Bois (La),		Lunéville-Sud-Est	54329		
DT54-02625	Parroy,		Lunéville-Sud-Est	54329		
DT54-02981	Ronxe (La),		Lunéville-Sud-Est	54329		
DT54-03154	Sionviller,		Lunéville-Sud-Est	54329		
DT54-03232	Saint-Clément,		Lunéville-Sud-Est	54329		
DT54-03551	Thiébauménil,		Lunéville-Sud-Est	54329		
DT54-03103	Saux (La),	ruisseau	Maizières	54336		
DT54-00488	Brocarde (La),	ancien bois	Malgrange	NON		
DT54-01714	Héronnière (La),	ancien bois	Malgrange	NON		
DT54-00847	Côte-du-Château,	monticule	Malzey	NON		
DT54-03862	Voivre (La),	territoire	Mandres	54343		
DT54-03862	Voivre (La),	territoire	Manoncourt	54346		
DT54-01416	Gorze	chef-lieu de canton	Metz	57463		
DT54-00078	Apremont,		Meuse	NON		! Apremont commune non identifiée par Camille (le balisage est incorrect). Code INSEE : 55012
DT54-00655	Charmes-sur-Moselle	chef-lieu de canton	Mirecourt	88304		
DT54-02763	Poussay		Mirecourt	88304		
DT54-03095	Sauniers (Canton des),		Moncel-sur-Seille	54374		
DT54-00114	ruisseau de Bénaménil,		Mondon	NON		
DT54-00485	Bristard (Ruisseau de l’Étang),		Mondon	NON		
DT54-00893	Cras (Ruisseau de la Pointe-des-),		Mondon	NON		
DT54-01154	le Grand-Ruisseau,		Mondon	NON		
DT54-03184	Spada (Ruisseau de l’Étang-de-),		Mondon	NON		
DT54-01633	Haut-de-Montreuil,	monticule	Montreuil	NON		
DT54-03083	Saulcy-Lambert (Le),	bois, terre et saussaie, avec titre de fief	Moselle	NON		
DT54-00760	Cimetière des Pestiférés,		Moulins	NON		
DT54-00013	Agincourt,		Nancy-Est	54395		
DT54-00021	Aître-sous-Amance (L’),		Nancy-Est	54395		
DT54-00054	Amance,	bourg	Nancy-Est	54395		
DT54-00446	Bouxières-aux-Chênes,		Nancy-Est	54395		
DT54-00447	Bouxières-aux-Dames,		Nancy-Est	54395		
DT54-00609	Champenoux,		Nancy-Est	54395		
DT54-00612	Champigneules,		Nancy-Est	54395		
DT54-00957	Custines		Nancy-Est	54395		
DT54-01020	Dommartemont,		Nancy-Est	54395		
DT54-01024	Dommartin-sous-Amance,		Nancy-Est	54395		
DT54-01110	Essey-lez-Nancy,		Nancy-Est	54395		
DT54-01133	Eulmont		Nancy-Est	54395		
DT54-01937	Lay-Saint-Christophe,		Nancy-Est	54395		
DT54-02124	Malzéville,		Nancy-Est	54395		
DT54-02477	Neuvelotte (La),		Nancy-Est	54395		
DT54-02711	Pixerécourt		Nancy-Est	54395		
DT54-02831	Pulnoy,		Nancy-Est	54395		
DT54-03088	Saulxures-lez-Nancy		Nancy-Est	54395		
DT54-03126	Séchamps		Nancy-Est	54395		
DT54-03359	Saint-Max		Nancy-Est	54395		
DT54-03714	Velaine-sous-Amance,		Nancy-Est	54395		
DT54-00579	Chaligny,		Nancy-Nord	54395		
DT54-01337	Frouard,		Nancy-Nord	54395		
DT54-01936	Laxou		Nancy-Nord	54395		
DT54-02145	Marbache,		Nancy-Nord	54395		
DT54-02160	Maron,		Nancy-Nord	54395		
