Vedette Longue (>30chars)
out:DT55-00820 Brunehaut (Chemin de), dit aussi 
out:DT55-01155 Chaumont (Bailliage et prévôté de).
out:DT55-01949 Fontaine-aux-Champs (Ruisseau de la),
out:DT55-01955 Fontaine-des-Carmes (Rue de la),
out:DT55-01971 Fontaines-à-Moulin (Ruisseau des),
out:DT55-02366 Gros-Terme (Fontaine du), dite aussi 
out:DT55-03263 Mandres-aux-Quatre-Tours (Prévôté de),
out:DT55-03465 Meuse-Commercy, Meuse-Vaucouleurs (Doyennés de),
out:DT55-03855 Nonnerie (Chemin de la), dit aussi 
out:DT55-04226 Poirons (Roches des), dites aussi 
out:DT55-04519 Reine-Blanche (Chemin de la), dit aussi 
out:DT55-04639 Rivière-de-Meuse (Doyenné de la),
out:DT55-04755 Rouyers (Chemin des), dit aussi 
out:DT55-04912 Saint-Jean-Baptiste et Saint-Jean-l’Évangéliste,
out:DT55-05088 Sainte-Madeleine-de-l’Isle-de-Tilly,
out:DT55-05198 Savonnières (Ruisseau de), dit aussi 
out:DT55-05566 Trois-Évêques (Fontaine des) ou 
out:DT55-05911 Villotte (Ruisseau de), dit aussi 
