article,ProblemeLocalisation ?
DT56-00024,"communes de Beignon, de Saint-Malo-de-Beignon et de Guer, rentre dans l’","communes de Beignon, de St-Malo-de-Beignon et de Guer, rentre dans l'"
DT56-00606,Sainte-Hélène.,Ste-Hélène.
DT56-01724,commune de Saint-Brieuc-de-Mauron.,commune de S            t-Brieuc-de-Mauron.
DT56-01766,Saint-Gravé.,St-Gravé.
DT56-02886,commune de Saint-Gravé.,commune de S            t-Gravé.
DT56-03492,commune de Saint-Thuriau.,commune de S            t-Thuriau.
DT56-03844,commune de la Grée-Saint-Laurent.,commune de la Grée-S            t-Laurent.
DT56-03984,commune de la Grée-Saint-Laurent.,commune de la Grée-S            t-Laurent.
DT56-04849,commune de Saint-Jean-Brévelay.,commune de S            t-Jean-Brévelay.
DT56-05215,commune de Saint-Brieuc-de-Mauron.,commune de S            t-Brieuc-de-Mauron.
DT56-07161,commune de Bubry.,commune de Budry         .
DT56-12563,commune de Saint-Gravé.,commune de Saint-Garvé         .
DT56-12635,commune de Saint-Caradec-Trégomel.,commune de Caradec-Trégomel         .
DT56-12827,commune de Saint-Jacut.,commune de Jacut         .
DT56-15378,commune de Saint-Tugdual.,commune de S            t-Tugdual.
DT56-15511,commune de Saint-Congard.,commune de Congard         .
DT56-18772,commune du Roc-Saint-André.,commune du Roc-S            t-André.
