Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT57-00078,"Angevillers,",Cattenom,57124,,Non identifié (art. 57-00525)
DT57-00135,"Bachmühl,",Hombourg,57332,,
DT57-00163,"Baslieux,",Longwy,54323,,Non identifié (art. 57-01835)
DT57-00166,Val-la-Basse,Longuion,54322,,
DT57-00176,"Bazailles,",Longwy,54323,,
DT57-00180,"Bazonville,",Sancy,54491,,Non identifié (art. 57-03023)
DT57-00196,"Belair,",Orne,Non,,
DT57-00229,"Berg,",Cattenom,57124,,
DT57-00246,"Bestroff,",Réthel,57576,,
DT57-00249,"Betingueville,",Labeuville,Non,,
DT57-00265,"Beuvange-sous-Saint-Michel,",Volkrange,57672,,
DT57-00270,"Beux (Haute-),",Basse-Beux,57075,,
DT57-00278,"Beyren,",Cattenom,57124,,
DT57-00280,"Bibiche (Grand Bois de),",Grande-Bibiche,57079,,
DT57-00282,"Bibiche (Petite-),",Grande-Bibiche,57079,,
DT57-00344,"Boismont,",Longwy,54323,,
DT57-00346,"Boller,",Breistroff-Grande,57109,,
DT57-00364,"Bouch,",Molvange,Non,,
DT57-00383,"Bourghübel,",Kappelkinger,57357,,Non identifié (art. 57-01613)
DT57-00396,"Boussewiller,",Volmunster,57732,,
DT57-00398,"Boust,",Cattenom,57124,,
DT57-00414,"Bréhain-la-Ville,",Longwy,54323,,
DT57-00416,"Breidenbach,",Volmunster,57732,,
DT57-00420,"Breistroff (Grande-),",Cattenom,57124,,
DT57-00426,"Brême (L’Ancienne-),",Spicheren,57659,,
DT57-00427,"Brême de la Princesse (La),",Spicheren,57659,,
DT57-00433,"Breuillot (Le),",Jouy,57350,,
DT57-00434,"Brieux,",Maizières-lez-Metz,57433,,
DT57-00439,"Brisebach,",Chémery-les-Deux,57136,,
DT57-00485,"Butte Charles-Quint,",Ban-S,57049,,! Balise <sup> dans le nom à localiser
DT57-00490,"Cadenborn,",Nousseviller-lez-Puttelange,57514,,
DT57-00505,"Caoutchouc (Le),",Sablon,57463,,Non identifié (art. 57-02830)
DT57-00519,"Casernes d’ouvriers (Les),",Styring-Wendel,57660,,
DT57-00538,"Centernbach,",Weiskirch,Non,,
DT57-00550,"Champ-de-Foire (Le),",Cattenom,57124,,
DT57-00586,"Château Fabert (Le),",Moulins,57487,,
DT57-00613,"Chenières,",Longwy,54323,,
DT57-00619,"Chérisey,",Veroy,57708,Verny,
DT57-00644,"Clair-Marais,",Longwy,54323,,
DT57-00645,"Clause (La),",Volmerange-lez-,57731,,! Pb de segmentation du nom
DT57-00650,"Clouange (Fontaine de),",Chouange,Non,,
DT57-00659,"Coinville,",Auboué,54028,,
DT57-00671,"le Colombier,",Cosne,54138,,
DT57-00688,"Cosnes,",Longwy,54323,,
DT57-00691,"Cottendorf,",Schwerdorf,57640,,
DT57-00699,"Cour (La),",Guesseling,57275,,
DT57-00740,"Cutry,",Longwy,54323,,
DT57-00749,"Dame (Bois de la),",Pierjeux,Non,,
DT57-00771,"Desiremont,",Saint-Julien,57616,,
DT57-00789,"Diffembach-lez-Puttelange,",Puttelange,57556,,
DT57-00790,"Dilling,",Dittelingen,Non,,
DT57-00800,"Dollembach,",Noussewiller-lez-Volmunster,57513,,
DT57-00848,"Ederswiller,",Puttelange,57556,,
DT57-00874,"En-Montant-la-Côte,",Moncheux,57472,,
DT57-00882,"Epping,",Volmunster,57732,,
DT57-00886,"Erching,",Volmunster,57732,,
DT57-00893,"Ernestwiller (Partie d’),",Puttelange,57556,,
DT57-00900,"Escherange,",Cattenom,57124,,
DT57-00902,"Eschwiller,",Volmunster,57732,,
DT57-00921,"Évange,",Breistroff-Grande,57109,,
DT57-00923,"Évrange,",Cattenom,57124,,
DT57-00951,"Faulx (La Grande-),",Moncheux,57472,,
DT57-00953,"Felsenhoff,",Bining,57083,,
DT57-00958,"Fercau-Moulin,",Maizières-lez-Metz,57433,,
DT57-00962,"Ferque (La),",Saint-Privat,Non,,
DT57-00967,"Fillières,",Longwy,54323,,
DT57-00975,"Fixem,",Cattenom,57124,,
DT57-01007,"Folie (Maison de la),",Moncheux,57472,,
DT57-01043,"Forges de Styring-Wendel (Les),",Styring-Wendel,57660,,
DT57-01091,"Fristot,",Moulins,57487,,
DT57-01123,"Aspelt,",Konz-Haute,57371,,
DT57-01132,"Garsch,",Cattenom,57124,,
DT57-01140,"Gawisse,",Cattenom,57124,,
DT57-01149,"Genestroy (Le),",Sablon,57463,,
DT57-01161,"Glabaix (Ruisseau de),",Piedmont,Non,,
DT57-01165,"Glasbrück,",Varsberg,57696,,
DT57-01188,"Gorcy,",Longwy,54323,,
DT57-01194,"Graffenwever,",Sturtzelbronn,57661,,
DT57-01195,"Graffenweyer,",Sturtzelbronn,57661,,
DT57-01203,"Grange (Forêt de la),",Vezin,Non,,
DT57-01218,"Grange-Rohière-sous-Sancy (La),",Sancy,54491,,
DT57-01252,"Grossmühlenbach,",Sturtzelbronn,57661,,
DT57-01258,"Grünenthurmstadt,",Bourbach,57101,Bousbach,
DT57-01259,"Grünenvaldmühl,",Wiswiller,57745,,
DT57-01267,"Guélange,",Guénange,57269,,Non identifié (art. 57-01270)
DT57-01294,"Guinkenmuhl,",Bambiderstroff,57047,,Non identifié (art. 57-00143)
DT57-01307,"Hagen,",Cattenom,57124,,
DT57-01321,"Halsidrac,",Sablon,57463,,
DT57-01326,"Ham-devant-Marville,",Saint-Jean,54476,,
DT57-01329,"Hamevillers,",Neufchef,57498,,
DT57-01330,"Ham-Haute,",Moselle,Non,,
DT57-01334,"Hanau,",Philipsbourg,57541,,
DT57-01350,"Hart (La),",Sturtzelbronn,57661,,
DT57-01353,"Hartzhoff,",Sturtzelbronn,57661,,
DT57-01361,"Haucourt,",Longwy,54323,,
DT57-01375,"Hauvald,",Ormeswiller,57526,,
DT57-01388,"Heideneck,",Roppewiller,57594,,
DT57-01404,"Helpert,",Basse-Yütz,57757,,
