id,commune_dt,insee,type,vedette,typologie
1,L'Albère,66001,commune,L'Albère,commune
2,L’Albère (L'Albera),66001,,Sant Cristau,
2,Montesquieu-des-Albères (Montesquiu),66115,,Sant Cristau,
3,Alénya,66002,commune,Alénya,commune
4,Alénya (Alenyà),66002,,Boaçà,
5,Argelès-sur-Mer,66008,commune,Argelès-sur-Mer,commune
6,Argelès-sur-Mer (Argelers),66008,,La Massana,
7,Argelès-sur-Mer (Argelers),66008,,L’Olla,
8,Argelès-sur-Mer (Argelers),66008,,La Pava,
9,Argelès-sur-Mer (Argelers),66008,,Puig d’Orfila,
10,Argelès-sur-Mer (Argelers),66008,,Pujols,
11,Argelès-sur-Mer (Argelers),66008,,Sant Bernat,
13,Argelès-sur-Mer (Argelers),66008,,Sant Jeroni,
14,Argelès-sur-Mer (Argelers),66008,,Sant Julià de Rohar,
15,Argelès-sur-Mer (Argelers),66008,,Sant Llorenç del Mont,
16,Argelès-sur-Mer (Argelers),66008,,Santa Magdalena,
17,Argelès-sur-Mer (Argelers),66008,,Santa Maria del Prat,
18,Argelès-sur-Mer (Argelers),66008,,Sant Pere,
19,Argelès-sur-Mer (Argelers),66008,,Tatzó d’Avall,
20,Argelès-sur-Mer (Argelers),66008,,Torneules,
21,Argelès-sur-Mer (Argelers),66008,,Ultrera,
22,Argelès-sur-Mer (Argelers),66008,,Vallbona,
23,Argelès-sur-Mer (Argelers),66008,,Vall de Nous,
24,Argelès-sur-Mer (Argelers),66008,,Vallmalenya,
25,Argelès-sur-Mer (Argelers),66008,,Vila Vella,
26,Bages,66011,commune,Bages,commune
27,Bages,66011,,Bajoles,
28,Bages,66011,,Sant Joan de Reart,
29,Baho,66012,commune,Baho,commune
30,Baixas,66014,commune,Baixas,commune
31,Baixas (Baixàs),66014,,Santa Caterina,
32,Banyuls-dels-Aspres,66015,commune,Banyuls-dels-Aspres,commune
34,Banyuls-dels-Aspres,66015,,Fontclara,
35,Banyuls-dels-Aspres,66015,,La Guàrdia,
36,Banyuls-dels-Aspres,66015,,Vila Vella,
37,Banyuls-sur-Mer,66016,commune,Banyuls-sur-Mer,commune
38,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Les Abelles,
39,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Alamanys,
40,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,"Armen, Elmes",
41,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Castell Ferrer,
42,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Castell Serradillo,
43,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Paulilles,
44,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Puig del Mas,
45,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,La Roma,
46,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Sant Joan de la Vassa,
47,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Vall Auger,
48,Banyuls-sur-Mer (Banyuls de la Marenda),66016,,Vallauria,
49,Le Barcarès,66017,commune,Le Barcarès,commune
50,La Bastide,66018,commune,La Bastide,commune
51,La Bastide (La Bastida),66018,,Castell de Cristall,
52,La Bastide (La Bastida),66018,,Santa Anna dels Quatre Termes,
53,Bompas,66021,commune,Bompas,commune
54,Bompas (Bonpàs),66021,,Canomals,
55,Brouilla,66026,commune,Brouilla,commune
56,Brouilla (Brullà),66026,,Darnach (Mas Tardiu),
57,Boule-d'Amont,66022,commune,Boule-d'Amont,commune
58,Boule-d'Amont (Bula d’Amunt),66022,,Arsós,
59,Boule-d'Amont (Bula d’Amunt),66022,,Casals,
60,Boule-d'Amont (Bula d’Amunt),66022,,Civenach,
61,Boule-d'Amont (Bula d’Amunt),66022,,Lausich,
62,Boule-d'Amont (Bula d’Amunt),66022,,Mas d’en Taix,
63,Boule-d'Amont (Bula d’Amunt),66022,,El Monistrol,
64,Boule-d'Amont (Bula d’Amunt),66022,,L’Oratori,
65,Boule-d'Amont (Bula d’Amunt),66022,,La Salvetat,
66,Boule-d'Amont (Bula d’Amunt),66022,,Serrabona,
67,Boule-d'Amont (Bula d’Amunt),66022,,El Vilar,
68,Bouleternère,66023,commune,Bouleternère,commune
69,Bouleternère (Bulaternera),66023,,Altanach,
70,Bouleternère (Bulaternera),66023,,Marsugà,
71,Bouleternère (Bulaternera),66023,,Mas Vernós,
72,Bouleternère (Bulaternera),66023,,Sant Nazari de Barbadell,
73,Cabestany,66028,commune,Cabestany,commune
74,Cabestany,66028,,Carles,
75,Cabestany,66028,,Guardiola,
76,Caixas,66029,commune,Caixas,commune
77,Caixas (Caixàs),66029,,Fontcoberta,
78,Caixas (Caixàs),66029,,Les Illes,
79,Caixas (Caixàs),66029,,Nostra Senyora del Coll,
80,Calce,66030,commune,Calce,commune
81,Calce,66030,,Cavanach,
82,Calce,66030,,Les Fonts,
83,Calmeilles,66032,commune,Calmeilles,commune
84,Calmeilles (Calmella),66032,,La Balma,
85,Calmeilles (Calmella),66032,,Carcase,
86,Camélas,66033,commune,Camélas,commune
87,Camélas (Cameles),,,Polig,
88,Camélas (Cameles),,,Rellà,
89,Camélas (Cameles),,,Sant Martí de la Roca,
90,Camélas (Cameles),,,Vallcrosa,
91,Canet-en-Roussillon,66037,commune,Canet-en-Roussillon,commune
92,Canet-en-Roussillon (Canet),66037,,L’Esparró,
93,Canet-en-Roussillon (Canet),66037,,Sant Miquel de Forques,
94,Canet-en-Roussillon (Canet),66037,,Vilarnau,
95,Canohès,66038,commune,Canohès,commune
96,Canohès (Cànohes),66038,,Mas de les Coves,
97,Casefabre,66040,commune,Casefabre,commune
98,Casefabre (Casafabre),66040,,Sant Ponç de Candell,
99,Cases-de-Pène,66041,commune,Cases-de-Pène,commune
100,Castelnou,66044,commune,Castelnou,commune
101,Castelnou (Castellnou),66044,,Cubrí,
102,Castelnou (Castellnou),66044,,Santa Maria del Mercadal,
103,Cerbère,66048,commune,Cerbère,commune
104,Cerbère (Cervera),66048,,Queroig,
105,Claira,66050,commune,Claira,commune
106,Claira (Clayrà),66050,,Combusta,
107,Claira (Clayrà),66050,,Peracals,
108,Claira (Clayrà),66050,,Sant Pere del Vilar,
109,Les Cluses,66063,commune,Les Cluses,commune
110,Cluses,66063,,Sant Pere de Sureda,
111,Corbère,66055,commune,Corbère,commune
112,Corbère (Corbera),66055,,Els Cortals,
113,Corbère (Corbera),66055,,Sant Julià de Vallventosa,
114,Corbère (Corbera),66055,,Sant Pere del Bosch,
115,Corbère-les-Cabanes,66056,commune,Corbère-les-Cabanes,commune
116,Corbère-les-Cabanes (Corbera la Cabana),66056,,Font de la Dou,
117,Corneilla-la-Rivière,66058,commune,Corneilla-la-Rivière,commune
118,Corneilla-la-Rivière (Cornellà de la Ribera),66058,,Cornellanell,
119,,,,Corneilla-del-Vercol,
120,,,,Nostra Senyora de Paradís,
121,Collioure,66053,commune,Collioure,commune
122,Collioure (Cotlliure),66053,,El Mirador,
123,Collioure (Cotlliure),66053,,Nostra Senyora de Consolació,
