Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT71-00374	Baignant	Allerey	71003		
DT71-04606	Château-Renaud,	Allerey	71003		
DT71-05601	Combe (La),	Allerey	71003		
DT71-05857	Corcelles,	Allerey	71003		
DT71-06664	Crotte (La),	Anthumes	71013	Authumes	
DT71-02572	Brosses (Les),	Arconce	71554		Pb de segmentation
DT71-05031	Chéru (Le),	Arconce	71554		Pb de segmentation
DT71-08180	Forges (Les),	Arconce	71554		Pb de segmentation
DT71-07121	Dracy-Saint-Loup,	Autun-nord	71014		
DT71-12347	Monthelon,	Autun-nord	71014		
DT71-17148	Saint-Forgeot,	Autun-nord	71014		
DT71-18114	Tavernay,	Autun-nord	71014		
DT71-00174	Antully	Autun-sud	71014		
DT71-00316	Auxy	Autun-sud	71014		
DT71-06794	Curgy,	Autun-sud	71014		
DT71-19794	Veziaux (Les),	Barise	71019	Barisey	
DT71-01389	Bois (Au)	Barisey	71019		
DT71-04036	Champs-du-Pont (Les),	Barisey	71019		
DT71-04143	Channière (La),	Barisey	71019		
DT71-09331	Grand-Pré (Le),	Barisey	71019		
DT71-10559	Lessard (En),	Barisey	71019		
DT71-11561	Meix (Le),	Barisey	71019		
DT71-11868	Moissenot (Le),	Barisey	71019		
DT71-12798	Moulin (Le),	Barisey	71019		
DT71-12831	Moulin-à-Vent,	Barisey	71019		
DT71-13199	Moulin-Grachet (Le),	Barisey	71019		
DT71-13260	Moulin-Neuf (Le),	Barisey	71019		
DT71-13343	Moulin-Tourneaux,	Barisey	71019		
DT71-13363	Mourotte (La),	Barisey	71019		
DT71-14448	Petit-Moulin (Le),	Barisey	71019		
DT71-15383	Poussottes (Les),	Barisey	71019		
DT71-15553	Pré-Prudhon,	Barisey	71019		
DT71-16071	Ravets (Les),	Barisey	71019		
DT71-16133	Regain-Morisot (Le),	Barisey	71019		
DT71-16324	Riaux (Les),	Barisey	71019		
DT71-17619	Scierie (La),	Barisey	71019		
DT71-18345	Theurey,	Barisey	71019		
DT71-19947	Vignes-Dessus (Les),	Barisey	71019		
DT71-02199	Bourgneuf (Le),	Beaurepaire	71027		
DT71-00193	Archeveau	Bernay	71020	Barnay	
