Article,Vedette,Type vedette,Candidat,INSEE,Définition
DT73-00006,Abbaye,lieu-dit,"territoires de Trévignin, Pugny-Châtenod et Aix-les-Bains",,"dans le bassin du lac du Bourget ; arrose les territoires de Trévignin, Pugny-Châtenod et Aix-les-Bains."
DT73-00012,Abîmes de Myans,territoire,Saint-Jeoire,,"territoire compris entre Apremont, Saint-Jeoire, Myans, Les Marches, Entremont, Bellecombe et Chapareillan."
DT73-00012,Abîmes de Myans,territoire,Les Marches,,"territoire compris entre Apremont, Saint-Jeoire, Myans, Les Marches, Entremont, Bellecombe et Chapareillan."
DT73-00012,Abîmes de Myans,territoire,Entremont,,"territoire compris entre Apremont, Saint-Jeoire, Myans, Les Marches, Entremont, Bellecombe et Chapareillan."
DT73-00012,Abîmes de Myans,territoire,Bellecombe,,"territoire compris entre Apremont, Saint-Jeoire, Myans, Les Marches, Entremont, Bellecombe et Chapareillan."
DT73-00012,Abîmes de Myans,territoire,Chapareillan,,"territoire compris entre Apremont, Saint-Jeoire, Myans, Les Marches, Entremont, Bellecombe et Chapareillan."
DT73-00016,"Acitavones,",peuples,Tarentaise,,"nom que l’on trouve dans plusieurs manuscrits de Pline pour désigner un des peuples vaincus par César, et que l’on croit être les Centrons qui occupaient, outre la Tarentaise, tout le Haut-Faucigny par où ils confinaient avec les habitants de Martigny-en-Valais."
DT73-00016,"Acitavones,",peuples,Haut-Faucigny,,"nom que l’on trouve dans plusieurs manuscrits de Pline pour désigner un des peuples vaincus par César, et que l’on croit être les Centrons qui occupaient, outre la Tarentaise, tout le Haut-Faucigny par où ils confinaient avec les habitants de Martigny-en-Valais."
DT73-00016,"Acitavones,",peuples,Martigny-en-Valais,,"nom que l’on trouve dans plusieurs manuscrits de Pline pour désigner un des peuples vaincus par César, et que l’on croit être les Centrons qui occupaient, outre la Tarentaise, tout le Haut-Faucigny par où ils confinaient avec les habitants de Martigny-en-Valais."
DT73-00018,Acrais,mont,col du Pré,,"mont entre le col du Pré et le col du Coin, sur le hameau d’Arêches (commune de Beaufort) ; altitude, 2.154 mètres."
DT73-00018,Acrais,mont,col du Coin,,"mont entre le col du Pré et le col du Coin, sur le hameau d’Arêches (commune de Beaufort) ; altitude, 2.154 mètres."
DT73-00018,Acrais,mont,hameau d’Arêches,,"mont entre le col du Pré et le col du Coin, sur le hameau d’Arêches (commune de Beaufort) ; altitude, 2.154 mètres."
DT73-00019,Acray-sur-Freta,mont,vallée du Doron,,"mont dans le bassin d’Albertville, vallée du Doron, entre le col du Cormet et Beaufort."
DT73-00019,Acray-sur-Freta,mont,col du Cormet,,"mont dans le bassin d’Albertville, vallée du Doron, entre le col du Cormet et Beaufort."
DT73-00031,Aduit,,quartier du Revers,,"sur la commune de Bellentre, quartier du Revers."
DT73-00033,Agnelin,,Maurienne,,"sur les limites de la Maurienne et de l’Isère ; met en communication Saint-Jean-de-Maurienne et Bourg-d’Oisans (Isère), et les vallées formées par le torrent de Tirequoa, affluent du torrent de la Valette, et par le torrent de l’Agnelin, affluent du torrent de l’Arvellaz, affluent lui-même de l’Arvan."
DT73-00033,Agnelin,,Isère,,"sur les limites de la Maurienne et de l’Isère ; met en communication Saint-Jean-de-Maurienne et Bourg-d’Oisans (Isère), et les vallées formées par le torrent de Tirequoa, affluent du torrent de la Valette, et par le torrent de l’Agnelin, affluent du torrent de l’Arvellaz, affluent lui-même de l’Arvan."
DT73-00033,Agnelin,,Bourg-d’Oisans,,"sur les limites de la Maurienne et de l’Isère ; met en communication Saint-Jean-de-Maurienne et Bourg-d’Oisans (Isère), et les vallées formées par le torrent de Tirequoa, affluent du torrent de la Valette, et par le torrent de l’Agnelin, affluent du torrent de l’Arvellaz, affluent lui-même de l’Arvan."
DT73-00034,"Agnelin,",mont,Maurienne,,"mont sur la limite de la Maurienne et des Hautes-Alpes, près du col de ce nom."
DT73-00034,"Agnelin,",mont,Hautes-Alpes,,"mont sur la limite de la Maurienne et des Hautes-Alpes, près du col de ce nom."
DT73-00036,"Agot,",nant,pointe du Col,,"nant qui prend sa source à la pointe du Col, près du passage Villette, et se jette dans l’Isère en aval du village de Villette."
DT73-00043,"Tier,",,montagne de l’Epine,,"sur le territoire de la commune de ce nom, à l’origine de la montagne de l’Epine et en face du plateau de Novalaise."
DT73-00043,"Tier,",,en face du plateau de Novalaise,,"sur le territoire de la commune de ce nom, à l’origine de la montagne de l’Epine et en face du plateau de Novalaise."
DT73-00056,Aiguille de la Grande-Motte,glacier,col de Fresse,,"glacier sur la commune de Val-d’Isère, entre le col de Fresse et le col du Palet."
DT73-00056,Aiguille de la Grande-Motte,glacier,col du Palet,,"glacier sur la commune de Val-d’Isère, entre le col de Fresse et le col du Palet."
DT73-00059,Aiguille-Noire,,Briançon,,"entre Valloires et Briançon (Hautes-Alpes), fait communiquer la vallée formée par la Clairée, affluent de droite de la Durance, et la combe de la Plagnetta, affluent de gauche de l’Arc, et communique lui-même avec les cols de la Plagnetta et des Rochilles."
DT73-00059,Aiguille-Noire,,combe de la Plagnetta,,"entre Valloires et Briançon (Hautes-Alpes), fait communiquer la vallée formée par la Clairée, affluent de droite de la Durance, et la combe de la Plagnetta, affluent de gauche de l’Arc, et communique lui-même avec les cols de la Plagnetta et des Rochilles."
DT73-00059,Aiguille-Noire,,cols de la Plagnetta et des Rochilles,,"entre Valloires et Briançon (Hautes-Alpes), fait communiquer la vallée formée par la Clairée, affluent de droite de la Durance, et la combe de la Plagnetta, affluent de gauche de l’Arc, et communique lui-même avec les cols de la Plagnetta et des Rochilles."
DT73-00060,Aiguille-Noire,massif,col du Girard,,"massif sur la commune de Bonneval (Maurienne), entre le col du Girard et le col de Montel."
DT73-00060,Aiguille-Noire,massif,col de Montel,,"massif sur la commune de Bonneval (Maurienne), entre le col du Girard et le col de Montel."
DT73-00061,Aiguille-Noire,pic,col de la Crasse,,"pic sur la commune de Peisey, entre le col de la Crasse et le col du Palet."
DT73-00061,Aiguille-Noire,pic,col du Palet,,"pic sur la commune de Peisey, entre le col de la Crasse et le col du Palet."
DT73-00062,Aiguille-Percée,massif,Mont-Pourri,,"massif du Mont-Pourri, sur la commune de Tignes."
DT73-00063,Aiguille-Rousse,massif,Mont-Pourri,,massif entre le Mont-Pourri et la commune de Villaroger.
DT73-00065,Aiguilles,massif,col de Véry,,"massif sur la commune de Hauteluce, entre le col de Véry et le col du Joly."
DT73-00065,Aiguilles,massif,col du Joly,,"massif sur la commune de Hauteluce, entre le col de Véry et le col du Joly."
DT73-00066,Aiguilles,massif,Verney,,"dans le bassin de l’Arc, arrose le Verney (commune de Lanslebourg)."
DT73-00068,Aiguillette,,col du Mont-Iseran,,entre le col du Mont-Iseran et la commune de Val-d’Isère ; il déverse ses eaux dans l’Isère.
DT73-00069,"Oeillon,",,vallées de l’Allée-Blanche et des Glaciers,,"fait communiquer les vallées de l’Allée-Blanche et des Glaciers avec celle de Versoyen, et communique lui-même avec le col de la Seigne."
DT73-00069,"Oeillon,",,Versoyen,,"fait communiquer les vallées de l’Allée-Blanche et des Glaciers avec celle de Versoyen, et communique lui-même avec le col de la Seigne."
DT73-00069,"Oeillon,",,col de la Seigne,,"fait communiquer les vallées de l’Allée-Blanche et des Glaciers avec celle de Versoyen, et communique lui-même avec le col de la Seigne."
DT73-00070,"Aillon,",chartreuse,Bauges,,"chartreuse fondée en 1184 par Humbert III, comte de Maurienne, à l’extrémité S.-O. des Bauges."
DT73-00084,Aisse,hameau,au-dessus du mont Galoppaz,,"dans le bassin du lac du Bourget, prend sa source au-dessus du mont Galoppaz près du col du Lindar, sur les confins d’Aillon, reçoit les eaux du lac de La Thuile, puis, à quelque distance de Chambery qu’elle traverse, celles des deux Doria, de l’Albane et de l’Hyère, et se jette dans le lac du Bourget au-dessus du village de ce nom."
DT73-00084,Aisse,hameau,Aillon,,"dans le bassin du lac du Bourget, prend sa source au-dessus du mont Galoppaz près du col du Lindar, sur les confins d’Aillon, reçoit les eaux du lac de La Thuile, puis, à quelque distance de Chambery qu’elle traverse, celles des deux Doria, de l’Albane et de l’Hyère, et se jette dans le lac du Bourget au-dessus du village de ce nom."
DT73-00086,"Aiton,",prieuré,"territoires d’Aiton, d’Argentine et de Montsapey",,"prieuré qui comprenait les territoires d’Aiton, d’Argentine et de Montsapey, et qui fut supprimé en 1458 par bulle du pape Pie II pour être uni à la mense épiscopale des évêques de Maurienne."
DT73-00090,Aix-les-Bains,,montagne de Saint-Innocent,,"fermée au N. par la montagne de Saint-Innocent, au S. par le mont Granier et le mont Pellaz."
DT73-00090,Aix-les-Bains,,mont Granier,,"fermée au N. par la montagne de Saint-Innocent, au S. par le mont Granier et le mont Pellaz."
DT73-00090,Aix-les-Bains,,mont Pellaz,,"fermée au N. par la montagne de Saint-Innocent, au S. par le mont Granier et le mont Pellaz."
DT73-00091,"Albanais,",district,"territoires de Rumilly, Alby, Albens, Annecy, Talloires",,"district de l’ancienne Savoie qui comprenait tout les territoires de Rumilly, Alby, Albens, Annecy, Talloires et la vallée de Faverges jusqu’à Marlens."
DT73-00091,"Albanais,",district,vallée de Faverges,,"district de l’ancienne Savoie qui comprenait tout les territoires de Rumilly, Alby, Albens, Annecy, Talloires et la vallée de Faverges jusqu’à Marlens."
DT73-00091,"Albanais,",district,Marlens,,"district de l’ancienne Savoie qui comprenait tout les territoires de Rumilly, Alby, Albens, Annecy, Talloires et la vallée de Faverges jusqu’à Marlens."
DT73-00094,Albane,,"territoires de Chambéry, Chambéry-le-Vieux, Bissy, La Motte-Servolex, Voglans et le Bourget-du-Lac",,"dans le bassin du lac du Bourget, traverse les territoires de Chambéry, Chambéry-le-Vieux, Bissy, La Motte-Servolex, Voglans et le Bourget-du-Lac."
DT73-00096,Albane,,marais d’Apremont et de Saint-Baldoph,,"vient des marais d’Apremont et de Saint-Baldoph, arrose Chambery, Chambery-le-Vieux et Voglans, et se jette dans le lac du Bourget après avoir traversé les marais de Voglans."
DT73-00096,Albane,,marais de Voglans,,"vient des marais d’Apremont et de Saint-Baldoph, arrose Chambery, Chambery-le-Vieux et Voglans, et se jette dans le lac du Bourget après avoir traversé les marais de Voglans."
DT73-00099,Albaron,,Maurienne,,"en Maurienne, entre le col de Sca et le passage du Collerin."
DT73-00099,Albaron,,col de Sca,,"en Maurienne, entre le col de Sca et le passage du Collerin."
DT73-00099,Albaron,,passage du Collerin,,"en Maurienne, entre le col de Sca et le passage du Collerin."
DT73-00100,Albenche,,La Biolle,,"dans le bassin du lac du Bourget, arrose Saint-Germain, La Biolle et Albens."
DT73-00104,Alberges,hameau,"finages de Montagnole, Saint-Cassin et Cognin",,"dans le bassin du lac du Bourget, arrose les finages de Montagnole, Saint-Cassin et Cognin."
DT73-00112,Alices,,Curtets,,"dans le bassin de l’Isère, arrose les Curtets et Pugnet (commune de La Table) et La Table."
DT73-00112,Alices,,Pugnet,,"dans le bassin de l’Isère, arrose les Curtets et Pugnet (commune de La Table) et La Table."
DT73-00112,Alices,,La Table,,"dans le bassin de l’Isère, arrose les Curtets et Pugnet (commune de La Table) et La Table."
DT73-00113,Aliet,,col de la Chale,,"sur la commune de Peisey, entre le col de la Chale et le col de la Grasse."
DT73-00113,Aliet,,col de la Grasse,,"sur la commune de Peisey, entre le col de la Chale et le col de la Grasse."
DT73-00115,Allan,,Belletan,,"dans le bassin du lac du Bourget, arrose Belletan."
DT73-00125,"Allobroges,",peuplades,Savoie,,"la plus célèbre et la plus anciennement connue des peuplades qui, avant la conquête romaine, habitaient la majeure partie de la Savoie et du Dauphiné."
DT73-00125,"Allobroges,",peuplades,Dauphiné,,"la plus célèbre et la plus anciennement connue des peuplades qui, avant la conquête romaine, habitaient la majeure partie de la Savoie et du Dauphiné."
DT73-00127,Allons,mont,massif des Bauges,,"mont du massif des Bauges, près de la commune de Sainte-Reine."
DT73-00130,Allues,château,hameau des Allues-Dessous,,"château, hameau des Allues-Dessous (commune des Allues)."
DT73-00136,Alpe,,Barraux,,entre Saint-Pierre-d'Entremont et Barraux (Isère).
DT73-00137,"Alpes,",grande chaîne de montagnes,Allemagne,,"grande chaîne de montagnes très élevées qui sépare l’Allemagne, la Suisse et la France de l’Italie."
DT73-00137,"Alpes,",grande chaîne de montagnes,Suisse,,"grande chaîne de montagnes très élevées qui sépare l’Allemagne, la Suisse et la France de l’Italie."
DT73-00137,"Alpes,",grande chaîne de montagnes,France,,"grande chaîne de montagnes très élevées qui sépare l’Allemagne, la Suisse et la France de l’Italie."
DT73-00137,"Alpes,",grande chaîne de montagnes,Italie,,"grande chaîne de montagnes très élevées qui sépare l’Allemagne, la Suisse et la France de l’Italie."
DT73-00142,Alpette,massif,Sainte-Marie-du-Mont,,massif entre Saint-Pierre-d'Entremont et Sainte-Marie-du-Mont (Isère).
DT73-00146,Ambin,,mont d’Ambin,,"à l’extrémité sud du mont d’Ambin, entre Bramans et Exilles (Italie)."
DT73-00146,Ambin,,Exilles,,"à l’extrémité sud du mont d’Ambin, entre Bramans et Exilles (Italie)."
DT73-00147,Ambin,,Mont-Cenis,,au sud du Mont-Cenis.
DT73-00149,Ambin,,col du Mont-Cenis,,"dans le bassin de Saint-Jean-de-Maurienne, entre le col du Mont-Cenis et le col d’Ambin, et au S. du Mont-Cenis ; altitude, 3.384 mètres."
DT73-00149,Ambin,,col d’Ambin,,"dans le bassin de Saint-Jean-de-Maurienne, entre le col du Mont-Cenis et le col d’Ambin, et au S. du Mont-Cenis ; altitude, 3.384 mètres."
DT73-00149,Ambin,,Mont-Cenis,,"dans le bassin de Saint-Jean-de-Maurienne, entre le col du Mont-Cenis et le col d’Ambin, et au S. du Mont-Cenis ; altitude, 3.384 mètres."
DT73-00150,Ambin,,col d’Ambin,,"descend du col d’Ambin et se jette dans le ruisseau d’Etache, affluent de l’Arc, près du hameau du Planay (commune de Bramans)."
DT73-00156,Amis,,au-dessus d’Arêches,,au-dessus d’Arêches (commune de Beaufort).
DT73-00185,Aravis,chapelle,"vallées de l’Arly, du Fier et de la Borne",,"fait communiquer les vallées de l’Arly, du Fier et de la Borne."
DT73-00186,Aravis,chapelle,Savoie,,"sur les confins de la Savoie et de la Haute-Savoie, entre La Giettaz et Saint-Jean-de-Sixt (Haute-Savoie)."
DT73-00186,Aravis,chapelle,Haute-Savoie,,"sur les confins de la Savoie et de la Haute-Savoie, entre La Giettaz et Saint-Jean-de-Sixt (Haute-Savoie)."
DT73-00186,Aravis,chapelle,La Giettaz,,"sur les confins de la Savoie et de la Haute-Savoie, entre La Giettaz et Saint-Jean-de-Sixt (Haute-Savoie)."
DT73-00186,Aravis,chapelle,Saint-Jean-de-Sixt,,"sur les confins de la Savoie et de la Haute-Savoie, entre La Giettaz et Saint-Jean-de-Sixt (Haute-Savoie)."
DT73-00187,Aravis,chapelle,rocher de Merdière,,descend du rocher de Merdière et se jette dans l’Arondine à La Giettaz.
DT73-00187,Aravis,chapelle,La Giettaz,,descend du rocher de Merdière et se jette dans l’Arondine à La Giettaz.
DT73-00195,Arbenne,,vallée de la Haute-Isère,,"dans le bassin de Moûtiers et la vallée de la Haute-Isère, entre Celliers et Montsapey."
DT73-00197,Arbettaz,,vallée du Guiers,,dans le bassin de Chambéry et la vallée du Guiers.
DT73-00202,Arbonne,montagne,en aval de Bourg-Saint-Maurice,,se jette dans l’Isère en aval de Bourg-Saint-Maurice.
DT73-00208,Arc,lieu-dit et chalets,au-dessus de Bonneval-en-Maurienne,,"prend naissance au-dessus de Bonneval-en-Maurienne, dans les glaciers du mont Lévanne, à 1.563 mètres au-dessus du niveau de la mer, coule dans la vallée de Bessans, arrose Lanslebourg, Modane, Saint-Michel, la Chambre, Aiguebelle en formant la vallée de l’Arc, et se jette dans l’Isère au-dessus de Chamousset et vis-à-vis de Fréterive."
DT73-00208,Arc,lieu-dit et chalets,vallée de Bessans,,"prend naissance au-dessus de Bonneval-en-Maurienne, dans les glaciers du mont Lévanne, à 1.563 mètres au-dessus du niveau de la mer, coule dans la vallée de Bessans, arrose Lanslebourg, Modane, Saint-Michel, la Chambre, Aiguebelle en formant la vallée de l’Arc, et se jette dans l’Isère au-dessus de Chamousset et vis-à-vis de Fréterive."
DT73-00208,Arc,lieu-dit et chalets,vallée de l’Arc,,"prend naissance au-dessus de Bonneval-en-Maurienne, dans les glaciers du mont Lévanne, à 1.563 mètres au-dessus du niveau de la mer, coule dans la vallée de Bessans, arrose Lanslebourg, Modane, Saint-Michel, la Chambre, Aiguebelle en formant la vallée de l’Arc, et se jette dans l’Isère au-dessus de Chamousset et vis-à-vis de Fréterive."
DT73-00208,Arc,lieu-dit et chalets,au-dessus de Chamousset,,"prend naissance au-dessus de Bonneval-en-Maurienne, dans les glaciers du mont Lévanne, à 1.563 mètres au-dessus du niveau de la mer, coule dans la vallée de Bessans, arrose Lanslebourg, Modane, Saint-Michel, la Chambre, Aiguebelle en formant la vallée de l’Arc, et se jette dans l’Isère au-dessus de Chamousset et vis-à-vis de Fréterive."
DT73-00208,Arc,lieu-dit et chalets,vis-à-vis de Fréterive,,"prend naissance au-dessus de Bonneval-en-Maurienne, dans les glaciers du mont Lévanne, à 1.563 mètres au-dessus du niveau de la mer, coule dans la vallée de Bessans, arrose Lanslebourg, Modane, Saint-Michel, la Chambre, Aiguebelle en formant la vallée de l’Arc, et se jette dans l’Isère au-dessus de Chamousset et vis-à-vis de Fréterive."
DT73-00209,Arcalod,mont,massif des Bauges,,"mont du massif des Bauges, entre le mont Trélod et le col d’Orgeval, sur la commune de Jarsy ; altitude, 2.223 mètres."
DT73-00209,Arcalod,mont,mont Trélod,,"mont du massif des Bauges, entre le mont Trélod et le col d’Orgeval, sur la commune de Jarsy ; altitude, 2.223 mètres."
DT73-00209,Arcalod,mont,col d’Orgeval,,"mont du massif des Bauges, entre le mont Trélod et le col d’Orgeval, sur la commune de Jarsy ; altitude, 2.223 mètres."
DT73-00213,Arcellaz,glacier,Maurienne,,"glacier de la Maurienne, sur Bonneval, entre les glaciers de la Vanoise et le col du Mont-Iseran."
DT73-00213,Arcellaz,glacier,col du Mont-Iseran,,"glacier de la Maurienne, sur Bonneval, entre les glaciers de la Vanoise et le col du Mont-Iseran."
DT73-00215,Arcelle-Neune,,en amont de Lanslebourg,,se jette dans l’Arc en amont de Lanslebourg après avoir traversé le territoire de Lanslevillard.
DT73-00217,Arcellin,petit col,col de la Vanoise,,petit col qui se détache du col de la Vanoise et aboutit au village d’Arcellin.
DT73-00220,Arces,mont,massif des Bauges,,"mont du massif des Bauges, dans la chaîne de la Chas, entre Gresy-sur-Isere et Ecole ; altitude, 2.144 mètres."
