ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT73-00044	Aiguebelle	AIGUEBELLE	Saint-Jean-de-Maurienne	73002	AIGUEBELLE
DT73-00045	Aigueblanche	AIGUEBLANCHE	canton de Moûtiers	73003	AIGUEBLANCHE
DT73-00072	Aillon-le-Jeune	AILLON-LE-JEUNE	canton du Châtelard	73004	AILLON-LE-JEUNE
DT73-00073	Aillon-le-Vieux	AILLON-LE-VIEUX	canton du Châtelard	73005	AILLON-LE-VIEUX
DT73-00079	Aime	AIME	Moûtiers	73006	AIME
DT73-00085	Aiton	AITON	canton d’Aiguebelle	73007	AITON
DT73-00089	Aix-les-Bains	AIX-LES-BAINS	Chambéry	73008	AIX-LES-BAINS
DT73-00101	Albens	ALBENS	Chambéry	73010	ALBENS
DT73-00106	Albertville	ALBERTVILLE		73011	ALBERTVILLE
DT73-00107	Albiez-le-Jeune	ALBIEZ-LE-JEUNE	canton de Saint-Jean-de-Maurienne	73012	ALBIEZ-LE-JEUNE
DT73-00126	Allondaz	ALLONDAZ	canton d’Albertville	73014	ALLONDAZ
DT73-00129	Allues	ALLUES	canton de Bozel	73015	ALLUES
DT73-00179	Apremont	APREMONT	canton de Montmélian	73017	APREMONT
DT73-00198	Arbin	ARBIN	canton de Montmélian	73018	ARBIN
DT73-00241	Argentine	ARGENTINE	canton d’Aiguebelle	73019	ARGENTINE
DT73-00246	Arith	ARITH	canton du Châtelard	73020	ARITH
DT73-00305	Arvillard	ARVILLARD	canton de La Rochette	73021	ARVILLARD
DT73-00310	Attignat-Oncin	ATTIGNAT-ONCIN	canton des Echelles	73022	ATTIGNAT-ONCIN
DT73-00317	Aussois	AUSSOIS	canton de Modane	73023	AUSSOIS
DT73-00338	Avressieux	AVRESSIEUX	canton de Saint-Genix	73025	AVRESSIEUX
DT73-00339	Avrieux	AVRIEUX	canton de Modane	73026	AVRIEUX
DT73-00341	Ayn	AYN	canton de Pont-de-Beauvoisin	73027	AYN
DT73-00379	Balme	BALME	canton d’Yenne	73028	BALME
DT73-00438	Barberaz	BARBERAZ	canton de Chambéry	73029	BARBERAZ
DT73-00450	Barby	BARBY	canton de Chambéry	73030	BARBY
DT73-00506	Bassens	BASSENS	canton de Chambéry	73031	BASSENS
DT73-00520	Bathie	BATHIE	canton d’Albertville	73032	BATHIE
DT73-00529	Bauche	BAUCHE	canton des Echelles	73033	BAUCHE
DT73-00548	Beaufort	BEAUFORT	canton d’Albertville	73034	BEAUFORT
DT73-00618	Bellecombe-en-Bauges	BELLECOMBE-EN-BAUGES	canton du Châtelard	73036	BELLECOMBE-EN-BAUGES
DT73-00630	Bellentre	BELLENTRE	canton d’Aime	73038	BELLENTRE
DT73-00658	Belmont-Tramonet	BELMONT-TRAMONET	canton de Pont-de-Beauvoisin	73039	BELMONT-TRAMONET
DT73-00745	Bessans	BESSANS	canton de Lanslebourg	73040	BESSANS
DT73-00765	Betton-Bettonet	BETTON-BETTONET	canton de Chamoux	73041	BETTON-BETTONET
DT73-00791	Billième	BILLIEME	canton d’Yenne	73042	BILLIEME
DT73-00814	Biolle	BIOLLE	canton d’Albens	73043	BIOLLE
DT73-00898	Bois	BOIS	canton de Moûtiers	73045	BOIS
DT73-00993	Bonneval	BONNEVAL	canton de Lanslebourg	73046	BONNEVAL
DT73-00994	Bonneval	BONNEVAL	canton de Moûtiers	73046	BONNEVAL
DT73-01009	Bonvillard	BONVILLARD	canton de Grésy-sur-Isère	73048	BONVILLARD
