article,output6.xml,DT79.xml
DT79-00010,commune de Secondigny-en-Gâtine.,commune de Secondigny en Gâtine         .
DT79-00013,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-00022,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00023,commune de Saint-Généroux.,commune de S            t-Généroux.
DT79-00025,commune de Saint-Éanne.,commune de S            t-Éanne.
DT79-00037,commune de Saint-Symphorien.,commune de S            t-Symphorien.
DT79-00041,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00052,commune de Saint-Georges-de-Noisné.,commune de S            t-Georges-de-Noisné.
DT79-00059,"paroisse de Saint-Maxire, ","paroisse de S            t-Maxire, "
DT79-00060,commune de Saint-Loup.,commune de S            t-Loup.
DT79-00067,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00077,commune de Saint-Christophe-sur-Roc.,commune de S            t-Christophe-sur-Roc.
DT79-00081,commune de Saint-Pompain.,commune de S            t-Pompain.
DT79-00086,"commune de Saint-Médard 
         ",commune de S            t-Médard          
DT79-00100,commune de Saint-Martin-du-Fouilloux.,commune de S            t-Martin-du-Fouilloux.
DT79-00104,commune de Saint-Coutant.,commune de S            t-Coutant.
DT79-00109,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-00115,commune de Saint-Généroux.,commune de S            t-Généroux.
DT79-00116,commune de Saint-Léger-de-Montbrun.,commune de S            t-Léger-de-Montbrun.
DT79-00117,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-00118,commune de Sainte-Pezenne.,commune de S            te-Pezenne.
DT79-00121,communes de Sainte-Pezenne et Niort.,communes de Ste-Pezenne et Niort.
DT79-00125,commune de Saint-Paul-en-Gâtine.,commune de S            t-Paul-en-Gâtine.
DT79-00130,commune de Saint-Martin-de-Bernegoue.,commune de S            t-Martin-de-Bernegoue.
DT79-00133,commune de Saint-Clémentin.,commune de S            t-Clémentin.
DT79-00137,commune de Saint-Germier.,commune de S            t-Germier.
DT79-00148,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-00149,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-00157,commune de Saint-Lin.,commune de S            t-Lin.
DT79-00160,commune de Saint-Généroux.,commune de S            t-Généroux.
DT79-00163,commune de Saint-Généroux.,commune de S            t-Généroux.
DT79-00170,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-00172,commune de Saint-Amand.,commune de S            t-Amand.
DT79-00191,commune de Sainte-Soline.,commune de S            te-Soline.
DT79-00194,commune de Saint-Martin-du-Fouilloux.,commune de S            t-Martin-du-Fouilloux.
DT79-00195,canton de Saint-Loup.,canton de St-Loup.
DT79-00198,canton de Saint-Maixent.,canton de St-Maixent.
DT79-00200,commune de Sainte-Néomaye.,commune de S            te-Néomaye.
DT79-00211,commune de la Chapelle-Saint-Laurent.,commune de la Chapelle-S            t-Laurent.
DT79-00212,commune de Saint-Marsault.,commune de S            t-Marsault.
DT79-00216,commune de Saint-Martin-de-Saint-Maixent.,commune de S            t-Martin-de-St-Maixent.
DT79-00220,commune de Saint-Germier.,commune de S            t-Germier.
DT79-00222,commune de Saint-Martin-de-Bernegoue.,commune de S            t-Martin-de-Bernegoue.
DT79-00227,commune de Saint-Germain.,commune de S            t-Germain.
DT79-00233,commune de Saint-André-sur-Sèvre.,commune de S            t-André-sur-Sèvre.
DT79-00238,commune de Sainte-Soline ; ,commune de S            te-Soline ; 
DT79-00239,commune de Saint-Aubin-du-Plain ; relev. de cette seigneurie ,commune de S            t-Aubin-du-Plain ; relev. de cette seigneurie 
DT79-00241,commune de Bouillé-Saint-Paul.,commune de Bouillé-S            t-Paul.
DT79-00248,commune de Saint-Martin-du-Fouilloux.,commune de S            t-Martin-du-Fouilloux.
DT79-00256,commune de la Chapelle-Saint-Étienne.,commune de la Chapelle-S            t-Étienne.
DT79-00262,commune de Saint-Jouin-de-Milly.,commune de S            t-Jouin-de-Milly.
DT79-00265,commune de Saint-Germier.,commune de S            t-Germier.
DT79-00269,1er canton de Saint-Maixent.,1er canton de St-Maixent.
DT79-00271,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-00273,commune de Saint-Symphorien.,commune de S            t-Symphorien.
