Vedette Longue (>30chars)
out:DT80-01128 Chapelle de l’Exaltation de la Ste.-Croix,
out:DT80-01129 Chapelle de l’Immaculée Conception,
out:DT80-01315 Corps-de-garde de la Dune blanche,
out:DT80-01316 Corps-de-garde de la grande vallée,
out:DT80-01318 Corps-de-garde de la place royale,
out:DT80-01319 Corps-de-garde de la vallée picard,
out:DT80-01320 Corps-de-garde de la vieille église,
out:DT80-01321 Corps-de-garde de la voye a baudet,
out:DT80-01333 Corps-de-garde des moulins bleus,
out:DT80-01801 Ferme de Mme la princesse de Berghes,
out:DT80-01820 Ferme du bois Dussart (du Sart),
out:DT80-02126 Garenne du laris du bois de Buire,
out:DT80-02379 Haute-Chaussée (la) ou Chaussée-Brunehaut,
out:DT80-02701 Magdelaine (la) ou la Madeleine,
out:DT80-03079 Mollimansum Ambianensis dyocesis.
out:DT80-04126 Rivière des Pécheurs d’eau douce.
out:DT80-04133 Rivière du grand et du petit Moulin.
out:DT80-04281 Ruisseau de la fontaine du Petit-Plachy,
out:DT80-04284 Ruisseau de la rue du chemin de fer,
out:DT80-04287 Ruisseau de la vallée Moisemont,
out:DT80-04298 Ruisseau de Vauchelles-lès-Domart,
out:DT80-04316 Ruisseau du fond du Pré Beaucourt.
out:DT80-04324 Ruisseaux de Dreuil-les-Molliens,
out:DT80-04325 Ruisseaux de Fontaine-le-Sec (Oisemont).
out:DT80-04581 Saint-Quentin-la-Motte-Croix-au-Bailly
out:DT80-05219-1 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-2 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-3 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-4 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-5 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-6 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-7 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-8 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-9 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-10 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-11 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-12 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-13 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-14 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-15 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-16 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-17 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-18 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-19 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-20 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-21 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-22 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-23 Vigne (la), les Vignes, les Vignettes.
out:DT80-05219-24 Vigne (la), les Vignes, les Vignettes.
