Article,Vedette,type vedette,Candidat,INSEE,Definition,Correction,Commentaire
DT80-04109,Rivière de la Plume.,Bras,"
            Abbeville
         ",80001,"
         Bras de la Somme qui traversait 
            Abbeville
         , reprenait la Somme un peu en aval de Saint-Vulfran ; il a été supprimé un peu avant la Révolution.",,
DT80-04527,"S. Milfort,",chapelle,"
            Abbeville
         ",80001,"
         chapelle dép. d’
            Abbeville
         .",,
DT80-00010,Abbaye-du-Gard,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-01049,"Cauchiette,",écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-02108,Gard,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-02194,Grand Jardin,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-04186,Roques,écart,"
            Abbeville
         ",80001,"
         écart dép. d’
            Abbeville
         .",,
DT80-04237,"Rouvroy-les-Abbeville,",faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         , 1386 habitants.",,
DT80-04428,"S. Gilles,",faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         , 2,888 habitants.",,
DT80-02967,"Menchecourt,",faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         .",,
DT80-03725,Planches,faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         .",,
DT80-03818,Portelette,faubourg,"
            Abbeville
         ",80001,"
         faubourg d’
            Abbeville
         .",,
DT80-03769,"Pont-aux-Poissons,",fief,"
            Abbeville
         ",80001,"
         fief sis à 
            Abbeville
         .",,
DT80-02722,"Maillefeu,",fief,"
            Abbeville
         ",80001,"
         fief. Prairies dép. d’
            Abbeville
         .",,
DT80-02267,"Guaden selve,",forêt,"
            Abbeville
         ",80001,"
         forêt qui s’etendait de Forest-l’Abbaye à 
            Abbeville
         .",,
DT80-02756,"Maison-Dubromel,",habitation isolée,"
            Abbeville
         ",80001,"
         habitation isolée dép. d’
            Abbeville
         . Route de Calais à Hesdin.",,
