Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT80-01613	Epine au Puits,	Abbeville	80001		
DT80-00809	Bruile,	Abbeville	80001		
DT80-03819	Porte rouge	Abbeville	80001		
DT80-00985	CAOURS	Abbeville	80001		
DT80-00908	CAMBRON	Abbeville	80001		
DT80-02896	MAREUIL	Abbeville	80001		
DT80-02607	LAVIERS	Abbeville	80001		
DT80-01514	DRUCAT	Abbeville	80001		
DT80-01599	EPAGNE	Abbeville	80001		
DT80-01527	EAUCOURT-SUR-SOMME	Abbeville	80001		
DT80-00752	BRAY-LÈS-MAREUIL	Abbeville	80001		
DT80-00380	BELLANCOURT	Abbeville	80001		Commune non identifiée (art. 80-00011)
DT80-05136	VAUCHELLES-LES-QUESNOY	Abbeville	80001		
DT80-01249	Cocquelet,	Ailly	non		
DT80-04099	Rivière de Barabant.	Amiens	80021		commune non identifiée (art. 80-00079)
DT80-04603	SAINT-SAUVEUR	Amiens	80021		
DT80-00913	CAMON	Amiens	80021		
DT80-00895	CAGNY	Amiens	80021		
DT80-01507	DREUIL-LÈS-AMIENS	Amiens	80021		
DT80-03836	POULAINVILLE	Amiens	80021		
DT80-00066	ALLONVILLE	Amiens	80021		
DT80-04726	SAVEUSE,	Amiens	80021		
DT80-00146	ARGŒUVES	Amiens	80021		
DT80-02662	LONGUEAU	Amiens	80021		
DT80-03790	PONT-DE-METZ	Amiens	80021		
DT80-04085	RIVERY	Amiens	80021		
DT80-04647	Lironne,	Beaufort	80067		
DT80-00530	Bloixus,	Beaurepaire-lès-Doullens	80253		
DT80-02569	Jehancourt,	Boucly	80762		
DT80-04102	Rivière de Brache.	Braches	80132		
DT80-03252	MORLANCOURT,	Bray	80136		
DT80-04098	Rivière d’Arleux.	Bray	80136		
DT80-00906	Calvaire	Bray	non		
DT80-00845	Buisson-Notre-Dame,	Bray	non		
DT80-00848	Buisson-S.-Pierre,	Bray	non		
DT80-03097	Monglant,	Bray	non		
DT80-00998	Cardonval	Bray	non		
DT80-05071	Vallée d’Annival,	Bray	non		
DT80-05075	Vallée de Noirsain,	Bray	non		
DT80-00990	CAPPY	Bray	80136		
