Vedette Longue (>30chars)
out:DT89-00039 Anciens-Moulins-de-Seignelay (Les),
out:DT89-00402 Bénards (Les Grands et les Petits),
out:DT89-00689 Bouchet-Gondart (Le) ou du Haut,
out:DT89-00690 Bouchet-Gouverneur (Le) ou du Bas,
out:DT89-00691 Bouchet-Lazare (Le) ou du Milieu,
out:DT89-01186 Champ-Martin-d'en-Bas et d'en-Haut,
out:DT89-01359 Châtillons (Les Grands et les Petits),
out:DT89-01403 Chaumont (Le Grand et le Petit),
out:DT89-01431 Chemins anciens, connus au Moyen Âge.
out:DT89-02009 Étang-de-Charrière (Ruisseau de l'),
out:DT89-02013 Étang-des-Minimes (Ruisseau de l'),
out:DT89-02021 Étangs-de-Marrault (Ruisseau des),
out:DT89-02073 Ferme-du-Haut-de-Fontenelle (La) ou 
out:DT89-02081 Ferrier-de-la-Rive-des-Bois (Le),
out:DT89-02282 Fourniers-près-Breuillotte (Les),
out:DT89-02309 Fréchots (Les Grands et les Petits),
out:DT89-02378 Garciaux (Les Grands et les Petits),
out:DT89-02454 Genièvres (Le Moulin des Grands-),
out:DT89-02718 Guilloteaux (Les Grands et les Petits),
out:DT89-02745 Haie-Neuve (La Grande et la Petite),
out:DT89-02750 Halliers (Les Grands et les Petits),
out:DT89-02866 Jarronnée (La Grande et la Petite),
out:DT89-02902 Joumiers (Les Grands et les Petits),
out:DT89-02924 Justice (La Grande et la Petite),
out:DT89-02925 Labeur (Ruisseau de l'Étang de),
out:DT89-02960 Lapeirouse (Montagne du Bois de),
out:DT89-03080 Lucas (Les Grands et les Petits),
out:DT89-03134 Maison-de-la-Carrière-de-la-Mareinerie (La),
out:DT89-03218 Marat (Bois du Grand et du Petit),
out:DT89-03405 Métairie-du-Seigneur-d'Ardeau (La),
out:DT89-03509 Montagne dite le Haut-de-Fontenailles (La),
out:DT89-03721 Moulin-des-Quatre-Murailles (Le),
out:DT89-03789 Moyeux (Les Grands et les Petits),
out:DT89-03819 Naudins (Les Grands et les Petits-),
out:DT89-03840 Notre-Dame-aux-Grandes-Ailes ou 
out:DT89-03845 Noue (Ruisseau de la) ou des Touches,
out:DT89-03979 Pavillon-des-Belles-Fontaines (Le),
out:DT89-04468 Rivière-de-Vanne (Doyenné de la),
out:DT89-04714 Sainte-Langueur (Chapelle Notre-Dame de),
out:DT89-04755 Saint-Maurice-aux-Riches-Hommes,
out:DT89-04764 Saint-Nicolas-lez-Villeneuve-le-Roi,
out:DT89-04784 Saint-Quentin (Chapelle Notre-Dame-de-),
out:DT89-04788 Saint-Romain-le-Preux, mieux nommé 
out:DT89-04892 Segrin (Ruisseau des étangs de),
out:DT89-04898 Seignelay (chapelle Saint-Jean),
out:DT89-04902 Senardière (La Grande et la Petite),
out:DT89-05040 Tenards (Les Grands et les Petits),
out:DT89-05062 Thénards (Les Grands et les Petits),
out:DT89-05082 Ticisnaum in comitatu Autissiodorensi,
out:DT89-05117 Tournelle (La Haute et la Basse),
out:DT89-05142 Tresogensis ager, in pago Autissiodorensi,
out:DT89-05167 Truchien (Le Grand et le Petit),
out:DT89-05177-31 Tuilerie de la Quillonnerie (La),
out:DT89-05242 Vanne (Doyenné de la rivière de),
out:DT89-05299 Vault-de-Lannai (Le Grand et le Petit),
out:DT89-05384 Verrerie (La Haute et la Basse),
out:DT89-05428 Villasalum in pago Otisioderensi,
out:DT89-05439 Villecul (Le Grand et le Petit),
out:DT89-05477 Villiers (Les Hauts et les Petits),
