article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-00001,Abbaye,Die,26113,P98573349,DT26-00002,Abbaye,ferme et ruines,commune de Die,26113,localisationco_exact,,,,,
PO7-00002,Abbaye,Marnans,38221,,,,,,,nulle,Isère,38,Roybon,dpt_exact,     Abbaye  l       Isère     con de Roybon     cne de Marnans       Vallis Breyssiaci  abbatissa  293 c    
PO7-00003,Abbaye,Saint-Jean-d’Aulph,74238,,,,,,,nulle,Haute-Savoie,74,Biot,dpt_fuzzy,     Abbaye  l       Haute Savoie     con du Biot     cne de Saint Jean d Aulph       Alpes  abbas  345 f  360  capellanus  310 d  capellanus Capelle  331 c  curatus  339 f    
PO7-00005,Abbaye Acey,Ougney,39398,,,,,,,nulle,Jura,39,Gendrey,dpt_exact,     Abbaye d Acey  l       Jura     con de Gendrey     cne d Ougney       Acceyum  abbas  82 a  monasterium  81 f  83 d      Aceyum  abbas  49 c      Acyum  abbacia  6 b    
PO7-00006,Abbaye Grandvaux,Rivière-Devant,39258,,,,,,,nulle,Jura,39,Saint-Laurent,nulle,     Abbaye de Grandvaux  l       Jura     con de Saint Laurent     cne de Rivière Devant       Grandis Vallis  capellanus  44 c  eccl   75 e  prior  43 b  74 a  75 e      Granval  d   26 d    
PO7-00007,Abbaye Charite,Neuvelle-lès-la-Charité,70384,,,,,,,nulle,Haute-Saône,70,Scey-sur-Saône,dpt_exact,     Abbaye de la Charité  l       Haute Saône     con de Scey sur Saône     cne de Neuvelle lès la Charité       Caritas  abbas  49 c      Charitas  abbas  82 b  monasterium  82 f  83 f g  84 e  85 a  89 f  90 a    
PO7-00008,Abbaye Trois Rois,Mancenans,25365,,,,,,,nulle,Doubs,25,l’Isle-sur-le-Doubs,dpt_exact,     Abbaye des Trois Rois  l       Doubs     con de l Isle sur le Doubs     cne de Mancenans       Locus Crescens  abbas  59 b  94 b  monasterium  94 e  96 d f  97 b    
PO7-00009,Abbenans,none,25003,,,,,,,nulle,Doubs,25,Rougemont,dpt_exact,     Abbenans     Doubs     con de Rougemont       Abbenans  eccl   95 f      Abenans  cappellanus  60 e      Abennas  eccl   23 e    
PO7-00010,Abbevillers,none,25004,,,,,,,nulle,Doubs,25,Hérimoncourt,dpt_fuzzy,     Abbevillers     Doubs     con d Hérimoncourt       Abativillarium  capellanus  58 f      Abeveler  eccl   34 c      Arbevillers  eccl   92 g    
PO7-00011,Aboncourt,none,70002,,,,,,,nulle,Haute-Saône,70,Combeaufontaine,dpt_fuzzy,     Aboncourt     Haute Saône     con de Combeaufontaine       Aboncourt  eccl   87 b      Aboncour  capellanus  53 a      Arboncort  eccl   20 f    
