article_id,vedette,vedette_orig,localisationco,localisationco_orig,NCCENR_orig,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
P08-00766bis,Salagon,Salagon,Mane,Mane,Mane,Mane (04111),,,,,,,nulle,Basses-Alpes,04,Forcalquier,dpt_exact,     Salagon     Basses Alpes     con de Forcalquier     cne de Mane     Salago  capellanus  120 e  eccl   120 e      Salagons  Beata Maria  eccl   116 c      Salagonum  prior  125 d    
P08-00814bis,Barbarins  les ,Barbarins (les),Mirabeau,Mirabeau,Mirabeau,Mirabeau (04122),,,,,,,nulle,Basses-Alpes,04,Mées,dpt_exact,     Barbarins  les      Basses Alpes     con des Mées     cne de Mirabeau       Barrabina  eccl   88 e  rector  88 e      Barrabina  Sanctus Johannes  prior  93 c    
P08-01287bis,Saint Mitre,Saint-Mitre,Reillanne,Reillanne,Reillanne,Reillanne (04160),,,,,,,nulle,Basses-Alpes,04,none,dpt_exact,     Saint Mitre     Basses Alpes     arr  de Forcalquier     cne de Reillanne     Sanctus Mictrius  eccl   26 c  38 f      Sanctus Mitrius  45 c    
PO8-00001,Abries,Abriès,none,none,Abriès,Abries (05001),,,,,,,nulle,Hautes-Alpes,05,Aiguilles,dpt_exact,     Abriès     Hautes Alpes     con d Aiguilles       Abrii  capellanus  247 b      Abroii  capellanus  250 d    
PO8-00002,Abros,Abros,Saint Geniez,Saint-Geniez,Saint-Geniez,Saint Geniez (04179),,,,,,,nulle,Basses-Alpes,04,Sisteron,dpt_exact,     Abros     Basses Alpes     con de Sisteron     cne de Saint Geniez       Abrosii  103 f    
PO8-00003,Accoules,Accoules,Marseille,Marseille,Marseille,Marseille (13055),,,,,,,nulle,none,none,none,nodpt_exact,     Accoules  les      cne de Marseille       Acue  Beata Maria  eccl   216 a  vicarius  216 a  eccl   214 b c  vicarius  214 c    
PO8-00004,Agnielles,Agnielles,none,none,,05010,P36047479,DT05-00061,Agnielles ,commune,canton d’Aspres-les-Veynes,05010,communes_fuzzy,,,,,
PO8-00004,Agnielles,Agnielles,none,none,,05010,P57725969,DT05-00072,Aiguebelle ,ferme,commune d’Aspres-les-Veynes,05010,communes_fuzzy,,,,,
PO8-00004,Agnielles,Agnielles,none,none,,05010,P11609239,DT05-00063,Agnielles  Montagne d   ,montagne et bois,commune d’Agnielles,05010,communes_fuzzy,,,,,
PO8-00004,Agnielles,Agnielles,none,none,,05010,P82452415,DT05-00062,Agnielles  Torrent d   ,torrent,commune d’Agnielles,05010,communes_fuzzy,,,,,
