article_id,vedette,vedette_orig,localisationde,dpt_code,canton_code,localisationco,localisationco_orig,NCCENR_orig,insee_code,method,reference
PO9-00620,Breuil,Breuil,Allier,03,Souvigny,Agonges,Agonges,Agonges,Agonges (03002),dpt_exact,     Breuil  Le      Allier     con de Souvigny     cne d Agonges       Le Broy  149 f      Brolium  capellanus Sancti Raphaelis  88 f  parochia  113 g      Brolhium  capellanus  36 e    
PO9-03596,Saint Benin,Saint-Benin,Allier,03,Cérilly,Ainay le Chateau,Ainay-le-Château,Ainay-le-Château,Ainay le Chateau (03003),dpt_exact,     Saint Benin     Allier     con de Cérilly     cne d Ainay le Château       Benegon  152 k      Sanctus Benignus  capellanus  31 a  94 d  122 f  prior  30 e  79 b    
PO9-05233,Verys,Verys,Allier,03,Lapalisse,Andelaroche,Andelaroche,Andelaroche,Andelaroche (03004),dpt_exact,     Verys     Allier     con de Lapalisse     cne d Andelaroche       Vayrens  182 b      D après Aubert de la Forge  Les fiefs du Bourbonnais  p  28    
PO9-01756,Frontenat,Frontenat,Allier,03,Huriel,Archignat,Archignat,Archignat,Archignat (03005),dpt_exact,     Frontenat     Allier     con d Huriel     cne d Archignat       Frontenacus  capellanus  99 b  parochia  130 b    
PO9-04455,Saint Priest,Saint-Priest,Allier,03,Marcillat,Arpheuilles Saint Priest,Arpheuilles-Saint-Priest,Arpheuilles-Saint-Priest,Arpheuilles Saint Priest (03007),dpt_exact,     Saint Priest     Allier     con de Marcillat     cne d Arpheuilles Saint Priest       Sanctus Prejectus  2 c  11 c  17 b  134 b  capellanus  34 c  76 e    
PO9-01386,Crete,Crête,Allier,03,Hérisson,Audes,Audes,Audes,Audes (03010),dpt_exact,     Crête  La      Allier     con d Hérisson     cne d Audes       La Creste  148 b      Crista  vicarius  98 c    
PO9-03240,Preuille,Preuille,Allier,03,Hérisson,Audes,Audes,Audes,Audes (03010),dpt_exact,     Preuille     Allier     con d Hérisson     cne d Audes       Perolia  128 h      Perolium  capellanus  31 g      Perollia  capellanus  98 b      Perouille  148 a    
PO9-04284,Saint Maurice,Saint-Maurice,Allier,03,Souvigny,Autry Issards,Autry-Issards,Autry-Issards,Autry Issards (03012),dpt_exact,     Saint Maurice     Allier     con de Souvigny     cne d Autry Issards       Sanctus Mauricius  prior  83 f    
PO9-00298,Barrais,Barrais,Allier,03,Lapalisse,Barrais Bussolles,Barrais-Bussolles,Barrais-Bussolles,Barrais Bussolles (03017),dpt_exact,     Barrais     Allier     con de Lapalisse     cne de Barrais Bussolles       Barres  184 d  prior  218 c    
PO9-00686,Bussolles,Bussolles,Allier,03,Lapalisse,Barrais Bussolles,Barrais-Bussolles,Barrais-Bussolles,Barrais Bussolles (03017),dpt_exact,     Bussolles     Allier     con de Lapalisse     cne de Barrais Bussolles       Bueyssolas  182 b      Buyssolas  188 b    
