INSEE,NCC,NCCENR
01001,ABERGEMENT-CLEMENCIAT,Abergement-Clémenciat
01002,ABERGEMENT-DE-VAREY,Abergement-de-Varey
01004,AMBERIEU-EN-BUGEY,Ambérieu-en-Bugey
01005,AMBERIEUX-EN-DOMBES,Ambérieux-en-Dombes
01006,AMBLEON,Ambléon
01007,AMBRONAY,Ambronay
01008,AMBUTRIX,Ambutrix
01009,ANDERT-ET-CONDON,Andert-et-Condon
01010,ANGLEFORT,Anglefort
01011,APREMONT,Apremont
01012,ARANC,Aranc
01013,ARANDAS,Arandas
01014,ARBENT,Arbent
01015,ARBIGNIEU,Arbignieu
01016,ARBIGNY,Arbigny
01017,ARGIS,Argis
01019,ARMIX,Armix
01021,ARS-SUR-FORMANS,Ars-sur-Formans
01022,ARTEMARE,Artemare
01023,ASNIERES-SUR-SAONE,Asnières-sur-Saône
01024,ATTIGNAT,Attignat
01025,BAGE-LA-VILLE,Bâgé-la-Ville
01026,BAGE-LE-CHATEL,Bâgé-le-Châtel
01027,BALAN,Balan
01028,BANEINS,Baneins
01029,BEAUPONT,Beaupont
01030,BEAUREGARD,Beauregard
01031,BELLIGNAT,Bellignat
01032,BELIGNEUX,Béligneux
01033,BELLEGARDE-SUR-VALSERINE,Bellegarde-sur-Valserine
01034,BELLEY,Belley
01035,BELLEYDOUX,Belleydoux
01036,BELMONT-LUTHEZIEU,Belmont-Luthézieu
01037,BENONCES,Bénonces
01038,BENY,Bény
01039,BEON,Béon
01040,BEREZIAT,Béréziat
01041,BETTANT,Bettant
01042,BEY,Bey
01043,BEYNOST,Beynost
01044,BILLIAT,Billiat
01045,BIRIEUX,Birieux
01046,BIZIAT,Biziat
01047,BLYES,Blyes
01049,BOISSE,Boisse
01050,BOISSEY,Boissey
01051,BOLOZON,Bolozon
01052,BOULIGNEUX,Bouligneux
01053,BOURG-EN-BRESSE,Bourg-en-Bresse
01054,BOURG-SAINT-CHRISTOPHE,Bourg-Saint-Christophe
01056,BOYEUX-SAINT-JEROME,Boyeux-Saint-Jérôme
01057,BOZ,Boz
01058,BREGNIER-CORDON,Brégnier-Cordon
01059,BRENAZ,Brénaz
01060,BRENOD,Brénod
01061,BRENS,Brens
01062,BRESSOLLES,Bressolles
01063,BRION,Brion
01064,BRIORD,Briord
01065,BUELLAS,Buellas
01066,BURBANCHE,Burbanche
01067,CEIGNES,Ceignes
01068,CERDON,Cerdon
01069,CERTINES,Certines
01071,CESSY,Cessy
01072,CEYZERIAT,Ceyzériat
01073,CEYZERIEU,Ceyzérieu
01074,CHALAMONT,Chalamont
01075,CHALEINS,Chaleins
01076,CHALEY,Chaley
01077,CHALLES-LA-MONTAGNE,Challes-la-Montagne
01078,CHALLEX,Challex
01079,CHAMPAGNE-EN-VALROMEY,Champagne-en-Valromey
01080,CHAMPDOR,Champdor
01081,CHAMPFROMIER,Champfromier
01082,CHANAY,Chanay
01083,CHANEINS,Chaneins
01084,CHANOZ-CHATENAY,Chanoz-Châtenay
01085,CHAPELLE-DU-CHATELARD,Chapelle-du-Châtelard
01087,CHARIX,Charix
01088,CHARNOZ-SUR-AIN,Charnoz-sur-Ain
01089,CHATEAU-GAILLARD,Château-Gaillard
01090,CHATENAY,Châtenay
01091,CHATILLON-EN-MICHAILLE,Châtillon-en-Michaille
01092,CHATILLON-LA-PALUD,Châtillon-la-Palud
