article_id,vedette,localisationde,dpt_code,canton_code,localisationco,insee_code,method,origine,NCCENR
PO7-01925,Lieu-Dieu,Doubs,DEP_25,Boussières,Abbans-Dessous,25001,exact,avecloc,Abbans-Dessous
PO7-00009,Abbenans,Doubs,DEP_25,Rougemont,none,25003,exact,sansloc,Abbenans
PO7-00010,Abbevillers,Doubs,DEP_25,Hérimoncourt,none,25004,fuzzy,sansloc,Abbévillers
PO7-00011,Aboncourt,Haute-Saône,DEP_70,Combeaufontaine,none,54003,exact,sansloc,Aboncourt
PO7-00012,Abondance,Haute-Savoie,DEP_74,none,none,74001,exact,sansloc,Abondance
PO7-00013,Abrets,Isère,DEP_38,Pont-de-Beauvoisin,none,38001,exact,sansloc,Abrets
PO7-00014,Accolans,Doubs,DEP_25,l’Isle-sur-le-Doubs,none,25005,exact,sansloc,Accolans
PO7-00017,Adrets,Isère,DEP_38,Goncelin,none,38002,exact,sansloc,Adrets
PO7-00020,Agnin,Isère,DEP_38,Roussillon,none,38003,exact,sansloc,Agnin
PO7-00022,Aigremont,Haute-Marne,DEP_52,Bourbonne-les-Bains,none,30002,exact,sansloc,Aigremont
PO7-00023,Aiguebelette,Savoie,DEP_73,Pont-de-Beauvoisin,none,none,nulle,sansloc,none
PO7-00953,Col d’Aiguebelette,Savoie,DEP_73,Pont-de-Beauvoisin,Aiguebelette,none,nulle,avecloc,none
PO7-00024,Aiguebelle,Savoie,DEP_73,none,none,73002,exact,sansloc,Aiguebelle
PO7-00025,Aigueblanche,Savoie,DEP_73,Moûtiers,none,73003,exact,sansloc,Aigueblanche
PO7-00027,Ailhon,Ardèche,DEP_07,Aubenas,none,07002,exact,sansloc,Ailhon
PO7-00028,Aillevillers,Haute-Saône,DEP_70,Saint-Loup-sur-Semouse,none,none,nulle,sansloc,none
PO7-00029,Aillon-le-Vieux,Savoie,DEP_73,Châtelard,none,73005,exact,sansloc,Aillon-le-Vieux
PO7-00030,Ailloncourt,Haute-Saône,DEP_70,Luxeuil,none,70007,exact,sansloc,Ailloncourt
PO7-00031,Aime,Savoie,DEP_73,none,none,73006,exact,sansloc,Aime
PO7-00032,Ainvelle,Haute-Saône,DEP_70,Saint-Loup-sur-Semouse,none,70008,exact,sansloc,Ainvelle
PO7-00033,Aire,none,none,none,none,08004,nodpt,sansloc,Aire
PO7-00034,Aisey-et-Richecourt,Haute-Saône,DEP_70,Jussey,none,70009,exact,sansloc,Aisey-et-Richecourt
PO7-00035,Aiton,Savoie,DEP_73,Aiguebelle,none,73007,exact,sansloc,Aiton
PO7-00036,Aix,Drôme,DEP_26,Die,none,19002,exact,sansloc,Aix
PO7-00037,Aix-les-Bains,Savoie,DEP_73,none,none,73008,exact,sansloc,Aix-les-Bains
PO7-03518,Saint-Simon,Savoie,DEP_73,Aix-les-Bains,Aix-les-Bains,73008,exact,avecloc,Aix-les-Bains
PO7-00038,Aizac,Ardèche,DEP_07,Antraigues,none,07003,exact,sansloc,Aizac
PO7-00039,Ajoie,none,none,none,none,none,nulle,sansloc,none
PO7-00040,Ajoux,Ardèche,DEP_07,Privas,none,07004,exact,sansloc,Ajoux
PO7-00041,Ajoye,none,none,none,none,none,nulle,sansloc,none
PO7-00042,Alaincourt,Haute-Saône,DEP_70,Vauvillers,none,02009,exact,sansloc,Alaincourt
PO7-00043,Alaise,Doubs,DEP_25,Amancey,none,none,nulle,sansloc,none
PO7-00044,Alba,Ardèche,DEP_07,Viviers,none,none,nulle,sansloc,none
PO7-03324,Saint-Martin,Ardèche,DEP_07,Viviers,Alba,none,nulle,avecloc,none
PO7-03435,Saint-Philippe,Ardèche,DEP_07,Viviers,Alba,none,nulle,avecloc,none
PO7-03438,Saint-Pierre,Ardèche,DEP_07,Viviers,Alba,none,nulle,avecloc,none
PO7-00045,Albane,Savoie,DEP_73,Saint-Jean-de-Maurienne,none,none,nulle,sansloc,none
PO7-00046,Albenc,Isère,DEP_38,Vinay,none,38004,exact,sansloc,Albenc
PO7-00047,Albens,Savoie,DEP_73,none,none,73010,exact,sansloc,Albens
PO7-00049,Albertville,Savoie,DEP_73,none,none,73011,exact,sansloc,Albertville
PO7-01002,Conflans,Savoie,DEP_73,Albertville,Albertville,73011,exact,avecloc,Albertville
PO7-00051,Albiez-le-Jeune,Savoie,DEP_73,Saint-Jean-de-Maurienne,none,73012,exact,sansloc,Albiez-le-Jeune
PO7-00052,Albiez-le-Vieux,Savoie,DEP_73,Saint-Jean-de-Maurienne,none,none,nulle,sansloc,none
PO7-03330,Saint-Martin,Drôme,DEP_26,Saint-Vallier,Albon,26002,exact,avecloc,Albon
PO7-03434,Saint-Philibert,Drôme,DEP_26,Saint-Vallier,Albon,26002,exact,avecloc,Albon
PO7-03494,Saint-Romain-d’Albon,Drôme,DEP_26,Saint-Vallier,Albon,26002,exact,avecloc,Albon
PO7-03079,Saint-Didier-de-Crusol,Ardèche,DEP_07,Saint-Péray,Alboussière,07007,exact,avecloc,Alboussière
PO7-00053,Alby,Haute-Savoie,DEP_74,none,none,none,nulle,sansloc,none
PO7-00055,Alex,Haute-Savoie,DEP_74,Annecy,none,74003,exact,sansloc,Alex
PO7-00056,Algolsheim,Haut-Rhin,DEP_68,Neuf-Brisach,none,68001,exact,sansloc,Algolsheim
PO7-00058,Alissas,Ardèche,DEP_07,Privas,none,07008,exact,sansloc,Alissas
PO7-00059,Alixan,Drôme,DEP_26,Bourg-de-Péage,none,26004,exact,sansloc,Alixan
PO7-01077,Coussaud,Drôme,DEP_26,Bourg-de-Péage,Alixan,26004,exact,avecloc,Alixan
PO7-00057,Alièze,Jura,DEP_39,Orgelet,none,39007,exact,sansloc,Alièze
PO7-00062,Allemond,Isère,DEP_38,Bourg-d’Oisans,none,38005,exact,sansloc,Allemond
PO7-00063,Allenjoie,Doubs,DEP_25,Audincourt,none,25011,exact,sansloc,Allenjoie
PO7-00064,Allevard,Isère,DEP_38,none,none,38006,exact,sansloc,Allevard
PO7-00026,Aiguebonne,Drôme,DEP_26,Crest,Allex,26006,exact,avecloc,Allex
PO7-00066,Allex,Drôme,DEP_26,Crest,none,26006,exact,sansloc,Allex
PO7-00068,Allinges,Haute-Savoie,DEP_74,Thonon-les-Bains,none,74005,exact,sansloc,Allinges
PO7-01426,Fontagneux,Isère,DEP_38,Vif,Allières-et-Risset,none,nulle,avecloc,none
PO7-02846,Risset,Isère,DEP_38,Vif,Allières-et-Risset,none,nulle,avecloc,none
PO7-02993,Saint-Ange,Isère,DEP_38,Vif,Allières-et-Risset,none,nulle,avecloc,none
PO7-00069,Allondaz,Savoie,DEP_73,Albertville,none,73014,exact,sansloc,Allondaz
PO7-00070,Allonzier,Haute-Savoie,DEP_74,Cruseilles,none,none,nulle,sansloc,none
PO7-00072,Allues,Savoie,DEP_73,Bozel,none,73015,exact,sansloc,Allues
PO7-00065,Allèves,Haute-Savoie,DEP_74,Alby,none,74004,exact,sansloc,Allèves
PO7-00075,Altenach,Haut-Rhin,DEP_68,Dannemarie,none,68002,exact,sansloc,Altenach
PO7-00077,Altkirch,Haut-Rhin,DEP_68,none,none,68004,exact,sansloc,Altkirch
PO7-03396,Saint-Morand,Haut-Rhin,DEP_68,Altkirch,Altkirch,68004,exact,avecloc,Altkirch
PO7-00078,Amagney,Doubs,DEP_25,Marchaux,none,25014,exact,sansloc,Amagney
PO7-00079,Amance,Haute-Saône,DEP_70,none,none,10005,exact,sansloc,Amance
PO7-00080,Amancey,Doubs,DEP_25,none,none,25015,exact,sansloc,Amancey
PO7-00081,Amancy,Haute-Savoie,DEP_74,la Roche,none,74007,exact,sansloc,Amancy
PO7-04005,Veige,Haute-Savoie,DEP_74,la Roche,Amancy,74007,exact,avecloc,Amancy
PO7-00082,Amange,Jura,DEP_39,Rochefort-sur-Nenon,none,39008,exact,sansloc,Amange
PO7-04059,Vésigneux,Doubs,DEP_25,Ornans,Amathay-Vésigneux,25016,exact,avecloc,Amathay-Vésigneux
PO7-00083,Ambléon,Ain,DEP_01,Belley,none,01006,exact,sansloc,Ambléon
PO7-00085,Ammerschwihr,Haut-Rhin,DEP_68,Kaysersberg,none,68005,exact,sansloc,Ammerschwihr
PO7-02156,Meywihr,Haut-Rhin,DEP_68,Kaysersberg,Ammerschwihr,68005,exact,avecloc,Ammerschwihr
PO7-00086,Ammerzwiller,Haut-Rhin,DEP_68,Dannemarie,none,68006,exact,sansloc,Ammerzwiller
PO7-00087,Ampuis,Rhône,DEP_69,Condrieu,none,69007,exact,sansloc,Ampuis
PO7-04033,Vérenay,Rhône,DEP_69,Condrieu,Ampuis,69007,exact,avecloc,Ampuis
PO7-00089,Anchenoncourt-et-Chazel,Haute-Saône,DEP_70,Amance,none,70017,exact,sansloc,Anchenoncourt-et-Chazel
PO7-00090,Ancône,Drôme,DEP_26,Montélimar,none,26008,exact,sansloc,Ancône
PO7-00091,Andance,Ardèche,DEP_07,Serrières,none,07009,exact,sansloc,Andance
PO7-00092,Andelarre,Haute-Saône,DEP_70,Vesoul,none,70019,exact,sansloc,Andelarre
PO7-00093,Andert,Ain,DEP_01,Belley,Andert-et-Condon,01009,exact,avecloc,Andert-et-Condon
PO7-00998,Condon,Ain,DEP_01,Belley,Andert-et-Condon,01009,exact,avecloc,Andert-et-Condon
PO7-00094,Andilly,Haute-Savoie,DEP_74,Cruseilles,none,17008,exact,sansloc,Andilly
PO7-00095,Andolsheim,Haut-Rhin,DEP_68,none,none,68007,exact,sansloc,Andolsheim
PO7-00097,Angeot,territoire de Belfort,none,Fontaine,none,90002,nodpt,sansloc,Angeot
PO7-00098,Angirey,Haute-Saône,DEP_70,Gray,none,70022,exact,sansloc,Angirey
PO7-00099,Anglefort,Ain,DEP_01,Seyssel,none,01010,exact,sansloc,Anglefort
